block,order,arm,run,pid,elapsed_ms,rss_kib,hwm_kib,smaps_rss_kib,private_clean_kib,private_dirty_kib,private_total_kib
1,AB,B,4,3157560,10,21084,21084,22040,20404,1628,22032
1,AB,B,4,3157560,52,28680,28680,29172,23920,5244,29164
1,AB,B,4,3157560,95,30980,30980,30980,23920,7052,30972
1,AB,B,4,3157560,137,31816,31816,32064,23920,8136,32056
1,AB,B,4,3157560,179,32844,32844,32844,24432,8404,32836
1,AB,B,4,3157560,222,32844,32844,32844,24432,8404,32836
1,AB,B,4,3157560,264,33080,33080,33080,24432,8640,33072
1,AB,B,4,3157560,306,33360,33360,33360,24432,8920,33352
1,AB,B,4,3157560,349,33360,33360,33360,24432,8920,33352
1,AB,B,4,3157560,390,33568,33568,33568,24432,9128,33560
1,AB,B,4,3157560,433,33568,33568,33568,24432,9128,33560
1,AB,B,4,3157560,476,33568,33568,33568,24432,9128,33560
1,AB,B,4,3157560,518,33568,33568,33568,24432,9128,33560
1,AB,B,4,3157560,560,33672,33672,33672,24432,9232,33664
1,AB,B,4,3157560,602,33672,33672,33672,24432,9232,33664
1,AB,B,4,3157560,644,33720,33720,33720,24432,9280,33712
1,AB,B,4,3157560,687,33788,33788,33788,24432,9348,33780
1,AB,B,4,3157560,730,33820,33820,33820,24432,9380,33812
1,AB,B,4,3157560,773,33928,33928,33928,24432,9488,33920
1,AB,B,4,3157560,816,34212,34212,34212,24624,9580,34204
1,AB,B,4,3157560,859,34952,36496,34952,24624,10320,34944
1,AB,B,4,3157560,903,36208,36496,36208,24624,11576,36200
1,AB,B,4,3157560,945,36248,36496,36248,24624,11616,36240
1,AB,B,4,3157560,988,36472,36496,36472,24624,11840,36464
1,AB,B,4,3157560,1031,36972,36972,36972,24624,12340,36964
1,AB,B,4,3157560,1075,36972,36972,36972,24624,12340,36964
1,AB,B,4,3157560,1117,36972,36972,36972,24624,12340,36964
1,AB,B,4,3157560,1160,37232,37232,37232,24624,12600,37224
1,AB,B,4,3157560,1202,37232,37232,37232,24624,12600,37224
1,AB,B,4,3157560,1245,37236,37236,37432,24624,12800,37424
1,AB,B,4,3157560,1287,37436,37436,37436,24624,12804,37428
1,AB,B,4,3157560,1330,37436,37436,37436,24624,12804,37428
1,AB,B,4,3157560,1373,37436,37436,37436,24624,12804,37428
1,AB,B,4,3157560,1415,37436,37436,37436,24624,12804,37428
1,AB,B,4,3157560,1458,37640,37640,37640,24624,13008,37632
1,AB,B,4,3157560,1501,37640,37640,37640,24624,13008,37632
