SITE,PLOT,YEAR,DRY_WT
BB-Low,162,1996,4.56
BB-Low,165,1996,3.14
BB-Low,168,1996,2.14
BB-Low,170,1996,2.9
BB-Low,171,1996,3.32
BB-Low,173,1996,6.83
BB-Mid,142,1996,6.01
BB-Mid,144,1996,8.37
BB-Mid,147,1996,1.87
BB-Mid,150,1996,0
BB-Mid,152,1996,8.81
BB-Mid,153,1996,1.3
BB-Upper,121,1996,9.19
BB-Upper,123,1996,2.47
BB-Upper,129,1996,1.52
BB-Upper,130,1996,5.81
BB-Upper,132,1996,3.77
BB-Upper,133,1996,13.08
BB-High,104,1996,6.33
BB-High,105,1996,4.05
BB-High,106,1996,15.47
BB-High,109,1996,6.22
BB-High,111,1996,19.16
BB-High,115,1996,6.6
BB-Low,162,1998,6.35
BB-Low,165,1998,5.58
BB-Low,168,1998,6.37
BB-Low,170,1998,14.36
BB-Low,171,1998,3.36
BB-Low,173,1998,5.74
BB-Mid,142,1998,7.48
BB-Mid,144,1998,7.86
BB-Mid,147,1998,12.67
BB-Mid,150,1998,0
BB-Mid,152,1998,7.51
BB-Mid,153,1998,13.58
BB-Low,162,1999,9.48
BB-Low,165,1999,10.86
BB-Low,168,1999,7.55
BB-Low,170,1999,3.49
BB-Low,171,1999,5.4
BB-Low,173,1999,3.7
BB-Mid,142,1999,6.78
BB-Mid,144,1999,6.09
BB-Mid,147,1999,2.52
BB-Mid,150,1999,0
BB-Mid,152,1999,3.56
BB-Mid,153,1999,3.09
BB-Low,162,2000,5.36
BB-Low,165,2000,3.74
BB-Low,168,2000,5.87
BB-Low,170,2000,12.48
BB-Low,171,2000,8.35
BB-Low,173,2000,5.73
BB-Mid,142,2000,6.35
BB-Mid,144,2000,3.67
BB-Mid,147,2000,4.81
BB-Mid,150,2000,0
BB-Mid,152,2000,7.36
BB-Mid,153,2000,5.75
BB-Low,162,2002,10.25
BB-Low,165,2002,0
BB-Low,168,2002,0
BB-Low,170,2002,1.21
BB-Low,171,2002,1.97
BB-Low,173,2002,0.05
BB-Mid,142,2002,3.4
BB-Mid,144,2002,0
BB-Mid,147,2002,0.33
BB-Mid,150,2002,0
BB-Mid,152,2002,8.69
BB-Mid,153,2002,51.6
BB-Upper,121,2002,3.11
BB-Upper,123,2002,0
BB-Upper,129,2002,1.21
BB-Upper,130,2002,7.68
BB-Upper,132,2002,0.59
BB-Upper,133,2002,0.66
BB-High,104,2002,10.16
BB-High,105,2002,11.37
BB-High,106,2002,5.03
BB-High,109,2002,1.01
BB-High,111,2002,2.27
BB-High,115,2002,21.85
SF-TF,34,2002,2.48
SF-TF,36,2002,0.64
SF-TF,37,2002,18.64
SF-TF,38,2002,4.28
SF-TF,39,2002,5.03
SF-TF,41,2002,5.65
BB-Low,162,2003,6.17
BB-Low,165,2003,1.9
BB-Low,168,2003,1.81
BB-Low,170,2003,1.94
BB-Low,171,2003,0
BB-Low,173,2003,1.86
BB-Mid,142,2003,0.94
BB-Mid,144,2003,0
BB-Mid,147,2003,3.36
BB-Mid,150,2003,0
BB-Mid,152,2003,0
BB-Mid,153,2003,0
BB-Upper,121,2003,2.19
BB-Upper,123,2003,0
BB-Upper,129,2003,0
BB-Upper,130,2003,0
BB-Upper,132,2003,3.88
BB-Upper,133,2003,0
BB-High,104,2003,10.36
BB-High,105,2003,0
BB-High,106,2003,1.08
BB-High,109,2003,0
BB-High,111,2003,3.81
BB-High,115,2003,1.36
SF-TF,34,2003,8.24
SF-TF,36,2003,3.78
SF-TF,37,2003,4.31
SF-TF,38,2003,2.46
SF-TF,39,2003,4.59
SF-TF,41,2003,6.87
BB-Low,162,2004,1.74
BB-Low,165,2004,2.64
BB-Low,168,2004,1.13
BB-Low,170,2004,5.18
BB-Low,171,2004,8.04
BB-Low,173,2004,2.23
BB-Mid,142,2004,0.2
BB-Mid,144,2004,0.08
BB-Mid,147,2004,2.4
BB-Mid,150,2004,0
BB-Mid,152,2004,4.03
BB-Mid,153,2004,0
BB-Upper,121,2004,1.95
BB-Upper,123,2004,1.74
BB-Upper,129,2004,1.11
BB-Upper,130,2004,2.13
BB-Upper,132,2004,0.67
BB-Upper,133,2004,1.02
BB-High,104,2004,1.27
BB-High,105,2004,1.59
BB-High,106,2004,1.01
BB-High,109,2004,0.98
BB-High,111,2004,0
BB-High,115,2004,1.25
SF-TF,34,2004,6.4
SF-TF,36,2004,3.32
SF-TF,37,2004,24.76
SF-TF,38,2004,5.5
SF-TF,39,2004,5.22
SF-TF,41,2004,1.72
BB-Low,162,2005,7.76
BB-Low,165,2005,4.94
BB-Low,168,2005,10.78
BB-Low,170,2005,7.37
BB-Low,171,2005,16.11
BB-Low,173,2005,5.46
