lane_id,role,response,units,status,B,L,S,LS,longwave_main,sublimation_main,combined,interaction
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,mean_swe_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,0.09569593004067213,0.09569593004067213,0.0996506124574635,0.10070889287181888,,,,
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,peak_swe_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,1.021347605467768,1.021347605467768,0.9811992792064678,0.9867091804378585,,,,
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,mean_depth_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,0.25098849668531503,0.25098849668531503,0.25998467364793937,0.26195683465037745,,,,
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,total_sublimation_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,0.0,0.0,0.4067691043511674,0.33744257807402944,,,,
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,24.661804718278262,24.661804718278262,15.786819304643863,18.083485945430528,,,,
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,total_refreeze_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,0.02807934069984038,0.516155801493633,0.4459683387565133,0.5303885942026355,,,,
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,UNAVAILABLE_INCOMPLETE_FACTORIAL,195.0,195.0,,,,,,
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,UNAVAILABLE_INCOMPLETE_FACTORIAL,129.0,129.0,,,,,,
snotel_paradise_wa,INDEPENDENT_VALIDATION,mean_swe_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,0.3624828877245203,0.3624828877245203,0.3470276546694644,0.4919165439278768,,,,
snotel_paradise_wa,INDEPENDENT_VALIDATION,peak_swe_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,2.253408391562869,2.253408391562869,2.1876476184975084,1.7977357405099368,,,,
snotel_paradise_wa,INDEPENDENT_VALIDATION,mean_depth_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,0.8736835401641717,0.8736835401641717,0.8321849596551921,1.2097742792194501,,,,
snotel_paradise_wa,INDEPENDENT_VALIDATION,total_sublimation_m,m,UNAVAILABLE_INCOMPLETE_FACTORIAL,0.0,0.0,0.9611312213793058,0.1167632153947727,,,,
