site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bezamahafaly,DB,1000,rising,gcc_90,2024-08-19,2024-08-21,2024-08-24,2024-08-18,2024-08-20,2024-08-23,2024-08-20,2024-08-22,2024-08-25,0.3463,0.35001,0.3561,0.34454,0.36713
bezamahafaly,DB,1000,rising,gcc_90,2025-08-29,2025-08-31,2025-09-06,2025-08-28,2025-08-30,2025-08-31,2025-09-09,2025-09-10,2025-09-10,0.34858,0.35096,0.35769,0.34711,0.36649
bezamahafaly,DB,1000,rising,gcc_mean,2024-08-18,2024-08-20,2024-08-24,2024-08-17,2024-08-19,2024-08-23,2024-08-20,2024-08-21,2024-08-25,0.34345,0.34654,0.35355,0.34229,0.36275
bezamahafaly,DB,1000,rising,gcc_mean,2025-08-29,2025-08-31,2025-09-05,2025-08-28,2025-08-29,2025-09-04,2025-09-10,2025-09-10,2025-09-11,0.34572,0.34864,0.35394,0.34462,0.36223
bezamahafaly,DB,1000,falling,gcc_90,2025-07-15,2025-07-05,2025-05-22,2025-07-31,2025-07-06,2025-05-26,2025-07-09,2025-07-03,2025-05-19,0.34836,0.3525,0.35871,0.34685,0.37053
bezamahafaly,DB,1000,falling,gcc_90,2024-06-29,2024-06-11,2024-05-09,2024-06-30,2024-06-17,2024-05-12,2024-06-27,2024-06-08,2024-05-05,0.34676,0.35095,0.35805,0.34471,0.37137
bezamahafaly,DB,1000,falling,gcc_mean,2025-06-16,2025-05-23,2025-05-01,2025-06-19,2025-06-11,2025-05-03,2025-05-31,2025-05-20,2025-04-15,0.35335,0.35593,0.36042,0.35179,0.36858
bezamahafaly,DB,1000,falling,gcc_mean,2024-06-27,2024-06-13,2024-05-21,2024-06-29,2024-06-18,2024-05-27,2024-06-23,2024-06-08,2024-05-19,0.34629,0.34955,0.35489,0.34439,0.36504
