record_id,year,season,species,site,transition,threshold_stage,interval_start_date,interval_start_doy,interval_end_date,interval_end_doy,role,source_object_id
CAL0405-HB-1989-SPRING-ACSA3-1B-HALF_EXPANSION,1989,SPRING,ACSA3,1B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-ACSA3-4B-HALF_EXPANSION,1989,SPRING,ACSA3,4B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-ACSA3-4T-HALF_EXPANSION,1989,SPRING,ACSA3,4T,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-ACSA3-5B-HALF_EXPANSION,1989,SPRING,ACSA3,5B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-ACSA3-5T-HALF_EXPANSION,1989,SPRING,ACSA3,5T,HALF_EXPANSION,3.0,1989-05-22,142,1989-05-30,150,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-ACSA3-6T-HALF_EXPANSION,1989,SPRING,ACSA3,6T,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-ACSA3-7B-HALF_EXPANSION,1989,SPRING,ACSA3,7B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-ACSA3-7T-HALF_EXPANSION,1989,SPRING,ACSA3,7T,HALF_EXPANSION,3.0,1989-05-22,142,1989-05-30,150,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-BEAL2-1B-HALF_EXPANSION,1989,SPRING,BEAL2,1B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-BEAL2-4B-HALF_EXPANSION,1989,SPRING,BEAL2,4B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-BEAL2-4T-HALF_EXPANSION,1989,SPRING,BEAL2,4T,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-BEAL2-5B-HALF_EXPANSION,1989,SPRING,BEAL2,5B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-BEAL2-5T-HALF_EXPANSION,1989,SPRING,BEAL2,5T,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-BEAL2-6T-HALF_EXPANSION,1989,SPRING,BEAL2,6T,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-BEAL2-7B-HALF_EXPANSION,1989,SPRING,BEAL2,7B,HALF_EXPANSION,3.0,1989-05-22,142,1989-05-30,150,CALIBRATION,SRC-HB-PHENO-EDI-51-16
