project,plot,site,litter_years,litter_row_count,mean_foliar_g_c_m2_yr,mean_pooled_nonfoliar_g_c_m2_yr,mean_total_g_c_m2_yr,stock_year,stock_replicate_count,mean_organic_horizon_c_mass_kg_c_m2,stock_use_not,admissibility
ems,A1,ems,2000-2011,12,180.21931575,34.30762119325,214.52693695000002,2014,7,4.1305821662857145,1,PARTIAL_POOLED_NONFOLIAR
ems,A2,ems,2000-2011,12,178.8203668,44.35201630158334,223.17238309166666,2014,7,3.623732315857143,1,PARTIAL_POOLED_NONFOLIAR
ems,A3,ems,2000-2011,12,162.67714500833333,44.668243242500004,207.34538825,2014,7,2.455906543857143,1,PARTIAL_POOLED_NONFOLIAR
ems,B1,ems,2000-2011,12,178.90213427499998,31.914274991166668,210.81640925,2014,6,2.6002431816666665,1,PARTIAL_POOLED_NONFOLIAR
ems,B2,ems,2000-2011,12,169.56758901666666,28.875689618333336,198.44327863333334,2014,7,2.2927708981428574,1,PARTIAL_POOLED_NONFOLIAR
ems,B3,ems,2000-2011,12,162.22764907500002,40.94144144125,203.16909051666667,2014,7,3.160267117714286,1,PARTIAL_POOLED_NONFOLIAR
ems,B4,ems,2000-2011,12,176.99454096666668,31.98143500475,208.975975975,2014,7,1.7623253689999998,1,PARTIAL_POOLED_NONFOLIAR
ems,C1,ems,2000-2011,12,157.13426640833333,36.54626769583333,193.68053410833332,2014,7,4.890111383428571,1,PARTIAL_POOLED_NONFOLIAR
ems,C2,ems,2000-2011,12,157.439146275,72.42746998083334,229.86661626666668,2014,7,3.0796625397142856,1,PARTIAL_POOLED_NONFOLIAR
ems,C3,ems,2000-2011,12,163.09034749166668,12.331177606333334,175.42152509166667,2014,7,3.2647768245714284,1,PARTIAL_POOLED_NONFOLIAR
ems,C4,ems,2000-2011,12,151.915132975,56.43611111166667,208.3512441,2014,7,2.910420186,1,PARTIAL_POOLED_NONFOLIAR
ems,C5,ems,2000-2011,12,163.47862505833334,32.41437151375,195.89299657499998,2014,6,3.7617405636666668,1,PARTIAL_POOLED_NONFOLIAR
ems,D1,ems,2000-2011,12,144.17109609166667,51.09312526833333,195.26422135833332,2014,6,4.450546583833334,1,PARTIAL_POOLED_NONFOLIAR
ems,D2,ems,2000-2011,12,163.0779279333333,41.20883740841666,204.2867653333333,2014,6,2.9981054148333333,1,PARTIAL_POOLED_NONFOLIAR
ems,D3,ems,2000-2011,12,153.11841484333334,31.821664520916666,184.94007937499998,2014,7,1.262970553142857,1,PARTIAL_POOLED_NONFOLIAR
ems,D4,ems,2000-2011,12,159.82021663333333,21.16741741783333,180.98763405833333,2014,6,1.7703475501666668,1,PARTIAL_POOLED_NONFOLIAR
ems,D5,ems,2000-2011,12,163.06445731666665,25.32421707425,188.38867438333332,2014,7,2.136807554428571,1,PARTIAL_POOLED_NONFOLIAR
ems,E1,ems,2000-2011,12,151.28810595833332,55.59076576333334,206.87887172499998,2014,5,3.7591904920000005,1,PARTIAL_POOLED_NONFOLIAR
ems,E3,ems,2000-2011,12,152.95098670000002,33.65005362591666,186.60104032499999,2014,5,4.378154330799999,1,PARTIAL_POOLED_NONFOLIAR
ems,E4,ems,2000-2011,12,174.85998498333333,43.33677606166666,218.19676105833332,2014,6,3.079935496833333,1,PARTIAL_POOLED_NONFOLIAR
ems,F1,ems,2000-2011,12,160.65709995833333,45.20815100833334,205.86525096666665,2014,6,6.889360734166666,1,PARTIAL_POOLED_NONFOLIAR
ems,F2,ems,2000-2011,12,139.9779815475,44.145291720833335,184.12327326666664,2014,6,4.090227733,1,PARTIAL_POOLED_NONFOLIAR
ems,F3,ems,2000-2011,12,140.26822178583333,42.83967181516667,183.10789361666664,2014,6,2.830233912666667,1,PARTIAL_POOLED_NONFOLIAR
ems,F4,ems,2000-2011,12,151.7223402,43.89325396833333,195.61559416666668,2014,7,4.301777201999999,1,PARTIAL_POOLED_NONFOLIAR
ems,F5,ems,2000-2011,12,147.623444875,36.329676105,183.95312099166665,2014,7,5.177988481571428,1,PARTIAL_POOLED_NONFOLIAR
ems,G5,ems,2000-2011,12,117.436636635,46.6631166875,164.09975331666666,2014,7,1.7253169434285716,1,PARTIAL_POOLED_NONFOLIAR
ems,H1,ems,2000-2011,12,151.83906048333333,54.10114757666667,205.94020806666666,2014,7,4.881679897285714,1,PARTIAL_POOLED_NONFOLIAR
ems,H5,ems,2000-2011,12,100.49222436583334,42.17433505,142.666559425,2014,6,4.473946450166667,1,PARTIAL_POOLED_NONFOLIAR
