metric	repeat	iterations	seconds	ns_per_iter	us_per_ofe_day	ratio_vs_legacy_per_ofe_day	projected_h2637_seconds
logical_production_kernel	1	10000	1.293717894	129371.789	129.371789	3.347265	30.526697
array_physics_only	1	5000000	0.372341322	74.468	0.074468	0.001927	0.017572
array_write_outputs	1	5000000	5.368490425	1073.698	1.073698	0.027780	0.253351
array_combined_hot_loop	1	5000000	4.797114503	959.423	0.959423	0.024823	0.226386
boundary_materialize_once	1	20000	2.164565647	108228.282	108.228282	2.800214	25.537654
logical_production_kernel	2	10000	1.406477919	140647.792	140.647792	3.639011	33.187394
array_physics_only	2	5000000	0.374013627	74.803	0.074803	0.001935	0.017651
array_write_outputs	2	5000000	5.318539316	1063.708	1.063708	0.027522	0.250994
array_combined_hot_loop	2	5000000	4.804009724	960.802	0.960802	0.024859	0.226712
boundary_materialize_once	2	20000	2.190351081	109517.554	109.517554	2.833572	25.841872
logical_production_kernel	3	10000	1.437741266	143774.127	143.774127	3.719900	33.925087
array_physics_only	3	5000000	0.378842289	75.768	0.075768	0.001960	0.017878
array_write_outputs	3	5000000	5.307435080	1061.487	1.061487	0.027464	0.250470
array_combined_hot_loop	3	5000000	4.734728157	946.946	0.946946	0.024501	0.223442
boundary_materialize_once	3	20000	2.161379267	108068.963	108.068963	2.796092	25.500061
logical_production_kernel	4	10000	1.408260539	140826.054	140.826054	3.643624	33.229457
array_physics_only	4	5000000	0.365146148	73.029	0.073029	0.001890	0.017232
array_write_outputs	4	5000000	5.325480022	1065.096	1.065096	0.027557	0.251321
array_combined_hot_loop	4	5000000	4.776434779	955.287	0.955287	0.024716	0.225410
boundary_materialize_once	4	20000	2.140370798	107018.540	107.018540	2.768914	25.252202
logical_production_kernel	5	10000	1.409437809	140943.781	140.943781	3.646670	33.257235
array_physics_only	5	5000000	0.372768793	74.554	0.074554	0.001929	0.017592
array_write_outputs	5	5000000	5.249881969	1049.976	1.049976	0.027166	0.247753
array_combined_hot_loop	5	5000000	4.840824887	968.165	0.968165	0.025050	0.228449
boundary_materialize_once	5	20000	2.246877885	112343.894	112.343894	2.906698	26.508778
working_set_bytes	18208
output_slot_count	state=543	flux=8	total=551
budget_us_per_ofe_day	legacy=38.650	le10x=386.000	le5x=193.000
legacy_h2637_no_ui_seconds	9.120
h2637_ofe_days	235961
