prefix,exit,wat,frsoil_active,wint_red_enabled,frdp_final_mm,frozwt_final_mm,row_count,sum_frozwt,max_frozwt,nonzero_frozwt_days,max_frdp,mean_frdp_positive,days_frdp_gt_200,Q,Dp,latqcc,RM,Irr,Interception
p1,0,True,True,True,462.0050584112925,72.07010118401747,2557,104888.25472571893,264.7378987034068,788,1782.0836812929178,890.6009845200746,719,760.220012031149,156.455471501413,50.78129537101127,6281.356296303367,0.0,643.3614332068394
p2,0,True,True,True,437.9911322362213,59.681870257117865,2557,51157.89443103543,194.67707105801085,764,1782.209570295138,895.3826305541495,694,751.3034022050387,166.40417553268222,159.80133077773712,6294.741908438442,0.0,643.7569793069987
p3,0,True,True,True,511.922127709033,83.02068498512999,2557,113746.8701146491,271.9531437104104,814,1782.777294129343,897.4463860418061,747,770.367293689068,106.250169733387,58.96258993174129,6281.18202753806,0.0,641.8992204400136
p4,0,True,True,True,449.3210701233973,63.2250372438891,2557,65112.37491443993,211.20809469336737,818,1781.3468386279449,882.3667834768966,736,1000.1217276065261,526.3322150091973,849.7847716204758,6309.966242181957,0.0,615.0133788383012
p5,0,True,True,True,501.64255307684056,78.38011904475199,2557,112878.35104746156,269.1803592525289,834,1782.1034534619505,892.8940480944248,757,1215.7039729925846,625.9497361127401,132.9878201653498,6307.952701917682,0.0,615.0133788383012
p6,0,True,True,True,501.4907088186785,78.34831959879185,2557,112474.26165021866,269.2335925802375,833,1782.0836812929178,890.5820964795346,757,1191.9957347124725,625.9497361127401,201.48423006629739,6308.0278473787,0.0,615.0133788383012
p7,0,True,True,True,549.6978985215609,89.25369659087714,2557,123416.49444060367,278.5103067486927,865,1782.8034876258532,895.2038239498212,781,1119.1040615456043,562.7649703769274,216.44881749723362,6307.824983649072,0.0,615.0133788383012
p8,0,True,True,True,525.8891240743907,74.58568155929966,2557,116215.05655433492,273.55934613603756,849,1782.4581140955022,895.2271775977381,770,1118.5046267113917,605.1863615637437,234.8690425417532,6308.168039671906,0.0,615.0133788383012
p9,0,True,True,True,544.3024167407013,88.49009552969505,2557,121723.42297783475,273.831030514201,862,1783.3690464550207,901.9397352220399,782,1042.1218879508142,419.7439915182288,602.6920970614447,6310.6,0.0,615.0133788383012
p10,0,True,True,True,549.7327170002505,89.25942624035362,2557,122403.16019978421,277.441316717523,867,1782.777294129343,890.6648748018763,783,1065.6375592178927,540.3238558308097,351.63476364018834,6308.741767419513,0.0,615.0133788383012
p11,0,True,True,True,507.0561372829989,82.15439303678038,2557,114792.74066040544,281.5960842801144,823,1782.777294129343,877.3036535902572,747,660.7377255382751,472.99533956599305,192.31908100827988,6278.646589730059,0.0,1510.2966016771388
p12,0,True,True,True,549.6167043990657,89.24763877066657,2557,123249.06517892044,277.201986889575,870,1783.3555399120778,894.4764372298264,784,1054.2889787116565,516.8829541114436,445.1163876954656,6308.799089474643,0.0,615.0133788383012
p13,0,True,True,True,526.3015895615243,74.6541429936774,2557,116035.04635286798,273.3348374219907,852,1782.4563452239809,892.2075939021842,770,1107.1204788551222,605.0945147980071,257.7929401225039,6308.291384351172,0.0,615.0133788383012
p14,0,True,True,True,549.9337357741512,89.2926132272976,2557,121136.57599908489,276.7042574101309,861,1782.8029071726016,897.2715053259654,780,1021.5440649645066,454.1733952919724,569.2997235476465,6307.3354857386585,0.0,615.0133788383012
p15,0,True,True,True,549.6840818793287,89.25136767672495,2557,123085.51266635064,277.6072667458181,868,1782.7956121882798,893.0992249392755,783,1090.6357086349315,549.279618699796,287.6192647042834,6308.486366097259,0.0,615.0133788383012
p16,0,True,True,True,549.7439336962098,89.2612769951869,2557,122030.07201815139,277.441316717523,864,1782.777294129343,891.776278372546,781,1066.6727935228323,538.0747496911608,359.34193692718856,6307.897182122861,0.0,615.0133788383012
