prefix	exit_code	elapsed_s
p1	0	8.478
p2	0	8.475
p3	0	8.511
p4	0	7.824
p5	0	7.951
p6	0	7.857
p7	0	7.769
p8	0	7.875
p9	0	7.864
p10	0	7.884
p11	0	8.605
p12	0	7.845
p13	0	7.856
p14	0	7.769
p15	0	7.974
p16	0	7.973
p17	0	7.682
p18	0	7.922
p19	0	7.715
p20	0	8.484
p21	0	8.426
p22	0	7.9
p23	0	8.052
p24	0	7.835
p25	0	7.997
p26	0	7.881
p27	0	8.028
p28	0	7.726
p29	0	7.981
p30	0	8.051
p31	0	7.727
p32	0	8.245
p33	0	7.927
p34	0	7.792
p35	0	7.817
p36	0	7.832
p37	0	7.826
p38	0	7.823
p39	0	7.703
p40	0	7.651
p41	0	7.907
p42	0	7.743
p43	0	7.878
