prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,flux_balance_mm,initial_storage_mm,final_storage_mm
p1,1,797885940291.2385,797885940291.2385,797885938406.5272,-1884.711362747264,605.8465601499813,797885939012.3738
p1,2,-795658980859.1018,795658980859.1018,-795658982788.7026,-1929.6008827028184,797885939012.3738,2226956223.6710854
p1,3,988381619359007.1,988381619359007.1,988381619357092.1,-1915.043356586526,2226956223.6710854,988383846313315.8
p1,4,-988289511004006.6,988289511004006.6,-988289511005875.1,-1868.524889563716,988383846313315.8,94335307440.65033
p1,5,-94335304897.32765,94335304897.32765,-94335306812.59506,-1915.267415549858,94335307440.65033,628.0552706174342
p1,6,167266493848493.62,167266493848493.62,167266493846585.28,-1908.3554520583739,628.0552706174342,167266493847213.34
p1,7,-167266493821928.47,167266493821928.47,-167266493823839.22,-1910.752548933902,167266493847213.34,23374.11295759412
p2,1,447158302893.8231,447158302893.8231,447158301358.6444,-1535.1787011096562,372.31597995994935,447158301730.9604
p2,2,-447158297554.70654,447158297554.70654,-447158301333.69446,-3778.9879261061105,447158301730.9604,397.26592294053046
p2,3,386954060.24081784,386954060.24081784,386952260.6691928,-1799.5716250753528,397.26592294053046,386952657.93511575
p2,4,-386948157.5884921,386948157.5884921,-386952094.30063885,-3936.712146781294,386952657.93511575,563.6344769295031
p2,5,0.7336091869589154,0.7336091869589154,-341.39369876239743,-342.12730794935635,563.6344769295031,222.24077816710565
p2,6,33529743390716.508,33529743390716.508,33529743388529.44,-2187.0674028161443,222.24077816710565,33529743388751.684
p2,7,-33529743384828.88,33529743384828.88,-33529743388412.105,-3583.2253359163105,33529743388751.684,339.57884214359865
p3,1,857487238638.2108,857487238638.2108,857487236490.5581,-2147.652767077668,554.8511975036711,857487237045.4093
p3,2,-854639870040.799,854639870040.799,-854639872255.384,-2214.585121058698,857487237045.4093,2847364790.025273
p3,3,1087819055673291.2,1087819055673291.2,1087819055671072.2,-2219.035525038329,2847364790.025273,1087821903035862.2
p3,4,-1087694112333462.6,1087694112333462.6,-1087694112335637.5,-2174.9048002581067,1087821903035862.2,127790700224.76096
p3,5,-127790697433.76173,127790697433.76173,-127790699629.4269,-2195.665153742379,127790700224.76096,595.3340583498588
p3,6,153222716712029.53,153222716712029.53,153222716709999.34,-2030.1734208463608,595.3340583498588,153222716710594.7
p3,7,2044318187160597.2,2044318187160597.2,2044318187158369.8,-2227.585298373414,153222716710594.7,2197540903868964.5
p4,1,738029282813.9093,738029282813.9093,738029279428.3525,-3385.556799473128,372.3548262270945,738029279800.7074
p4,2,16456547583602.81,16456547583602.81,16456547580028.822,-3573.987770239607,738029279800.7074,17194576859829.53
p4,3,1983903207556146.8,1983903207556146.8,1983903207552673.5,-3473.1493070103693,17194576859829.53,2001097784412503.0
p4,4,-2000131688377899.2,2000131688377899.2,-2000131688381407.5,-3508.3697578158963,2001097784412503.0,966096031095.5632
p4,5,-942204156411.1279,942204156411.1279,-942204160066.1213,-3654.9934179455167,966096031095.5632,23891871029.441887
p4,6,306583845381492.44,306583845381492.44,306583845377870.0,-3622.4101521134517,23891871029.441887,306607737248899.44
p4,7,-306546235634561.0,306546235634561.0,-306546235637903.1,-3342.1559807126696,306607737248899.44,61501610996.325615
p5,1,793394145876.8888,793394145876.8888,793394144797.999,-1078.889808684277,605.7893716049141,793394145403.7885
p5,2,119848152624949.3,119848152624949.3,119848152623863.64,-1085.6600378372896,793394145403.7885,120641546769267.42
p5,3,2206439026262975.2,2206439026262975.2,2206439026261963.5,-1011.8582027715375,120641546769267.42,2327080573031231.0
p5,4,-2325832826960980.0,2325832826960980.0,-2325832826961938.5,-958.5933878050514,2327080573031231.0,1247746069292.676
p5,5,-1221163740512.1863,1221163740512.1863,-1221163741587.8176,-1075.6314336782593,1247746069292.676,26582327704.858387
p5,6,399949549319338.25,399949549319338.25,399949549318291.9,-1046.3925685433337,26582327704.858387,399976131645996.75
p5,7,-399976131644597.75,399976131644597.75,-399976131645544.8,-947.0633780885918,399976131645996.75,451.9388929692743
p6,1,792814068885.6597,792814068885.6597,792814067762.7673,-1122.8922828972595,605.7876703583436,792814068368.555
p6,2,114885975812708.48,114885975812708.48,114885975811572.9,-1135.5762242680644,792814068368.555,115678789879941.47
p6,3,2207719879682984.0,2207719879682984.0,2207719879681925.0,-1058.9969478823336,115678789879941.47,2323398669561866.5
p6,4,-2322121833402854.5,2322121833402854.5,-2322121833403861.0,-1006.546653809411,2323398669561866.5,1276836158005.399
p6,5,-1250277525028.603,1250277525028.603,-1250277526152.9824,-1124.3794998689261,1276836158005.399,26558631852.416557
p6,6,399598814107993.06,399598814107993.06,399598814106898.06,-1094.980536191536,26558631852.416557,399625372738750.5
p6,7,-399625372737313.1,399625372737313.1,-399625372738298.44,-985.3037064360215,399625372738750.5,452.04337210335416
p7,1,838385810720.3445,838385810720.3445,838385809578.4877,-1141.8567630821938,554.764762086523,838385810133.2524
p7,2,-834482020309.9696,834482020309.9696,-834482021405.5135,-1095.543970115234,838385810133.2524,3903788727.7388926
p7,3,2291602948287984.5,2291602948287984.5,2291602948286902.0,-1082.5896297758454,3903788727.7388926,2291606852075629.5
p7,4,-2290327775450982.5,2290327775450982.5,-2290327775452012.0,-1029.704628912189,2291606852075629.5,1279076623617.631
