prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,287,287,406.49074963549907,82.85170865400192,1800.0
p2,2557,290,290,406.5965627478507,83.56132759854749,1800.0
p3,2557,277,277,407.34205302060707,83.1243634808652,1800.0
p4,2557,320,320,407.02991224209137,83.55342218007699,1800.0
p5,2557,311,311,406.5156532796139,82.72833740446836,1800.0
p6,2557,311,311,406.49057259737253,82.73880361594912,1800.0
p7,2557,301,301,407.3592499312031,82.95852511091229,1800.0
p8,2557,301,301,443.990392740042,82.71949762514954,1800.0
p9,2557,301,301,407.3793893110318,82.98285011578763,1800.0
p10,2557,304,304,407.32940690891496,82.97437023005996,1800.0
p11,2557,278,278,404.3915279204948,82.81769271953502,1800.0
p12,2557,304,304,407.3553443870972,82.96770301703272,1800.0
p13,2557,303,303,443.9885105327858,82.7212582745279,1800.0
p14,2557,300,300,407.36180330210595,82.95020350799527,1800.0
p15,2557,304,304,407.3476048206476,82.96975898862478,1800.0
p16,2557,301,301,407.32940691982503,82.97437023005996,1800.0
p17,2557,302,302,407.37626458210264,82.93853269928641,1800.0
p18,2557,301,301,407.3416776842663,82.96818106255407,1800.0
p19,2557,304,304,407.3294069095351,82.97437023005996,1800.0
p20,2557,277,277,407.32946723414386,83.13955099448404,1800.0
p21,2557,287,287,406.5302051662589,82.83318196229533,1800.0
p22,2557,303,303,443.98099650492316,82.72481642028684,1800.0
p23,2557,301,301,443.98872915274785,82.71934745307725,1800.0
p24,2557,304,304,407.3294069097544,82.97437023005996,1800.0
p25,2557,324,324,385.7956048970502,86.0706604140036,1800.0
p26,2557,300,300,443.9728782032863,82.72631167879484,1800.0
p27,2557,302,302,407.3444755427616,82.96964126837618,1800.0
p28,2557,301,301,443.9728782073969,82.72694293367586,1800.0
p29,2557,302,302,407.3543663755999,82.96425797251298,1800.0
p30,2557,302,302,407.3294069195382,82.97437023005996,1800.0
p31,2557,302,302,407.3294069162292,82.97437023005996,1800.0
p32,2557,277,277,407.3677986180888,83.10950395905516,1800.0
p33,2557,324,324,385.7965960702169,86.07151419544823,1800.0
p34,2557,313,313,406.51525425970215,82.73077683877942,1800.0
p35,2557,323,323,385.7920154626782,86.06401408994248,1800.0
p36,2557,311,311,406.49057259713834,82.73880361594908,1800.0
p37,2557,311,311,406.52210491094075,82.72367551369241,1800.0
p38,2557,324,324,385.7999720610849,86.06894037729882,1800.0
p39,2557,311,311,406.49488522647806,82.73714675135264,1800.0
p40,2557,326,326,385.8016707131338,86.07013840671677,1800.0
p41,2557,311,311,406.49057259703295,82.73880361594951,1800.0
p42,2557,324,324,385.79586494243875,86.07089475967199,1800.0
p43,2557,311,311,406.5043247759004,82.73433122540911,1800.0
