prefix,simulation_year,julian,hour,legacy_frost_depth_mm,open_frdp_before_mm,open_frdp_after_mm,depth_delta_mm,legacy_snow_depth_mm,snow_depth_m,legacy_residue_depth_mm,residue_depth_m,hourly_air_temp_c,surface_temp_c,open_surface_resistance_m2_c_w,legacy_top_resistance_est_m2_c_w,legacy_est_to_open_resistance_ratio,signed_surface_flux_w_m2,lower_front_heat_w_m2,signed_net_flux_w_m2,frzflg,soilf_sum_m,slsic_sum_m,execution_index
p1,1,1.0,1.0,5.0,0.0,0.900710795,-4.099289205,0.0,0.0,23.0,0.0,-7.493435726742,-7.493435726742,0.285714285714,0.4628571428571428,1.62000000000162,-26.227025043597,0.740112344787,-25.48691269881,1,0.0,0.000273889211,1
p1,1,1.0,3.0,1.1,42.057866708999995,54.697628285,53.597628285,0.0,0.0,23.0,0.0,-8.625911814689,-8.625911814689,0.024033066691,0.4628571428571428,19.259179396796473,-358.918482004208,1.258174644583,-357.660307359625,1,0.0,0.016632519941,1
p1,1,1.0,4.0,1.8,54.697628285,64.492386728,62.692386728,0.0,0.0,23.0,0.0,-9.094081247634,-9.094081247634,0.031255787591,0.4628571428571428,14.808685959665947,-290.956713890834,1.411132859734,-289.5455810311,1,0.0,0.019610921751,1
p1,1,1.0,5.0,2.5,64.492386728,73.525567853,71.025567853,0.0,0.0,23.0,0.0,-9.476168655157,-9.476168655157,0.036852792416,0.4628571428571428,12.559622012691468,-257.135702180275,1.528797060589,-255.606905119686,1,0.0,0.022357742224,1
p1,1,1.0,6.0,3.2,73.525567853,81.540515828,78.340515828,0.0,0.0,23.0,0.0,-9.759965475263,-9.759965475263,0.042014610202,0.4628571428571428,11.01657591565873,-232.299322269047,1.636644058351,-230.662678210696,1,0.0,0.024794937148,1
p1,1,1.0,7.0,3.9,81.540515828,89.01567948499999,85.11567948499999,0.0,0.0,23.0,0.0,-9.936403753859,-9.936403753859,0.046594580473,0.4628571428571428,9.93371199307939,-213.252349371038,1.731798502922,-211.520550868116,1,0.0,0.027067993814,1
p1,1,1.0,8.0,4.6,89.01567948499999,95.898241843,91.298241843,0.0,0.0,23.0,0.0,-9.998858258155,-9.998858258155,0.050866102563,0.4628571428571428,9.09952049665832,-196.572132605578,1.820091308387,-194.752041297191,1,0.0,0.029160851571,1
p1,1,1.0,9.0,5.3,95.898241843,101.95224539,96.65224539,0.0,0.0,23.0,0.0,-9.62256891856,-9.62256891856,0.054798995339,0.4628571428571428,8.446453078086472,-175.597542601773,1.900998477377,-173.696544124396,1,0.0,0.031001760179,1
p1,1,1.0,10.0,5.9,101.95224539,107.036546187,101.136546187,0.0,0.0,23.0,0.0,-8.496379336439,-8.496379336439,0.058258425937,0.4628571428571428,7.944896131551362,-145.839493597705,1.97186008558,-143.867633512125,1,0.0,0.032547800419,1
p1,1,1.0,11.0,6.4,107.036546187,110.94135931100001,104.54135931100001,0.0,0.0,23.0,0.0,-6.882356782377,-6.882356782377,0.061163740678,0.4628571428571428,7.567508751531085,-112.523477243843,2.031150797006,-110.492326446836,1,0.0,0.033735180644,1
