prefix	attempt	exit	wat	loss	hbp	elapsed_s	stderr_tail
p1	1	0	True	True	True	4.359	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p2	1	1	False	False	False	0.496	CLIHILL-E-011 runtime surface failure for execution_provenance: HS-SIMPIPE-E-001 scheduler lifecycle did not complete successfully (outcome_class=phase_failure, status_class=Failure, boundary_class=DOMAIN_VIOLATION, message_id=HKERNEL-WB11-PERC-E-003, last_phase=percolation_deep_seepage, last_kernel_message_id=HKERNEL-WB11-PERC-E-003, last_decision_outcome=Reject, last_decision_message_id=HKERNEL-WB11-PERC-E-003, wb18_guard_terms={layer_count=9,lane_substeps=1.0000000000,infiltration=0.0000000000,tillay2=0.0000000000,slflag=1.0000000000,kslast=0.0000000028,ui_bdrkth=10.0000000000,invalid_layers=none}) [sim_day_index=308, calendar_year=1990, julian_day=308]
p3	1	0	True	True	True	4.219	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p4	1	0	True	True	True	3.808	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p5	1	0	True	True	True	3.78	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p6	1	0	True	True	True	3.778	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p7	1	0	True	True	True	3.942	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p8	1	0	True	True	True	3.887	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p9	1	0	True	True	True	4.028	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p10	1	0	True	True	True	3.845	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p11	1	0	True	True	True	4.168	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p12	1	0	True	True	True	3.797	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p13	1	0	True	True	True	3.896	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p14	1	0	True	True	True	3.911	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p15	1	0	True	True	True	3.922	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p16	1	0	True	True	True	3.818	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p17	1	0	True	True	True	3.842	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p18	1	0	True	True	True	3.881	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p19	1	0	True	True	True	3.83	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p20	1	0	True	True	True	4.235	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p21	1	0	True	True	True	4.276	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p22	1	0	True	True	True	3.831	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
p23	1	0	True	True	True	3.872	sidecar-warning: WUI-W-001 compatibility fallback: sentinel missing, defaulted to daily mode
