prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,825,825,575.986434148365,87.34184353851967,1800.0
p2,2557,844,844,608.1707348530412,89.61839465364145,1800.0
p3,2557,813,813,574.5503832237142,83.76081369959815,1800.0
p4,2557,837,837,477.346419632815,72.424528773922,1800.0
p5,2557,833,833,485.5196011519498,72.94583506206709,1800.0
p6,2557,833,833,486.04795555228975,73.02701008771315,1800.0
p7,2557,821,821,493.91824687899737,70.44476419365934,1800.0
p8,2557,838,838,542.0465511412103,70.96797042364699,1800.0
p9,2557,823,823,494.2322672680058,70.50329853581916,1800.0
p10,2557,822,822,489.83972718311395,69.76834548781106,1800.0
p11,2557,837,837,533.4930312260968,133.79359409186947,1800.0
p12,2557,822,822,488.3040860884294,69.52225370630407,1800.0
p13,2557,838,838,541.5783166499424,70.89432929085221,1800.0
p14,2557,822,822,497.27011767093927,70.99571797686365,1800.0
p15,2557,821,821,490.5195731804913,69.8847593970486,1800.0
p16,2557,825,825,494.7020095594032,70.57026777206225,1800.0
p17,2557,821,821,490.651237836998,69.91259431834278,1800.0
p18,2557,822,822,495.80372250042456,70.75197401062297,1800.0
p19,2557,822,822,490.25868576827224,69.83879312733293,1800.0
p20,2557,816,816,574.0403344035725,83.67665555196614,1800.0
p21,2557,824,824,575.7553638287994,87.30510335105122,1800.0
p22,2557,838,838,541.7478001825874,70.91938317473286,1800.0
p23,2557,838,838,543.4747704092794,71.19141970593327,1800.0
p24,2557,822,822,490.4898841022819,69.8755712587057,1800.0
p25,2557,828,828,423.3781711838094,74.86407228026387,1800.0
p26,2557,839,839,544.4947870213703,71.34961007522107,1800.0
p27,2557,823,823,492.4305670078043,70.19803747302628,1800.0
p28,2557,838,838,542.8219554962536,71.08635340203601,1800.0
p29,2557,823,823,492.6410510167817,70.23437265320797,1800.0
p30,2557,825,825,494.3646158605368,70.51461791159667,1800.0
p31,2557,825,825,492.3588252690888,70.18380558735277,1800.0
p32,2557,813,813,574.1284577676169,83.69119599812468,1800.0
p33,2557,828,828,423.3390418996242,74.8574261281295,1800.0
p34,2557,834,834,483.31462107038476,72.59675544355734,1800.0
p35,2557,827,827,423.99818858871066,74.97111683044366,1800.0
p36,2557,833,833,485.8637657106107,72.99774344519217,1800.0
p37,2557,833,833,485.64921072102214,72.96737899468253,1800.0
p38,2557,829,829,422.9092792441492,74.78525461104594,1800.0
p39,2557,833,833,485.8588761049794,72.99696035572346,1800.0
p40,2557,829,829,421.074460797851,74.4740962303516,1800.0
p41,2557,833,833,485.64038568010443,72.96223286644133,1800.0
p42,2557,829,829,423.41333112616513,74.8700496965098,1800.0
p43,2557,833,833,485.1573881388684,72.88692559347372,1800.0
