prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,1258,1258,841.0670180145952,176.77795077146035,1800.0
p2,2557,1270,1270,1427.3939006063285,176.58515216337676,1800.0
p3,2557,1252,1252,842.7386689790654,176.39923265058934,1800.0
p4,2557,1286,1286,1179.5998883302707,184.20692406019788,1800.0
p5,2557,1264,1264,839.4177933896613,184.7009330845264,1800.0
p6,2557,1263,1263,836.43290324403,184.74173776029082,1800.0
p7,2557,1247,1247,847.9143272735073,184.68472747432602,1800.0
p8,2557,1269,1269,883.5860352598404,184.9776994583871,1800.0
p9,2557,1247,1247,846.410878840401,182.97707133565473,1800.0
p10,2557,1259,1259,845.5659968905511,184.61582787292124,1800.0
p11,2557,1235,1235,654.0796339074789,181.47160601385312,1800.0
p12,2557,1257,1257,852.204077664413,185.0865653546926,1800.0
p13,2557,1269,1269,884.4097269946075,185.37637325925334,1800.0
p14,2557,1242,1242,845.5550478332726,181.03696411536882,1800.0
p15,2557,1258,1258,850.6935755714676,187.7953798483642,1800.0
p16,2557,1252,1252,841.6614380597239,184.55033461339082,1800.0
p17,2557,1254,1254,849.177943755195,186.90825098508168,1800.0
p18,2557,1251,1251,847.4658438132329,183.07931770455977,1800.0
p19,2557,1259,1259,845.0242304190078,186.56437410468882,1800.0
p20,2557,1253,1253,843.2115264502141,177.38542100807226,1800.0
p21,2557,1256,1256,844.2352603016866,176.70067484419565,1800.0
p22,2557,1269,1269,879.2975853234341,185.38559740881465,1800.0
p23,2557,1266,1266,882.7048459262002,183.84014087069676,1800.0
p24,2557,1259,1259,844.8337901501994,186.4246862092322,1800.0
p25,2557,1262,1262,778.2697991095586,189.70153646187396,1800.0
p26,2557,1264,1264,877.4413848520124,182.98064944668886,1800.0
p27,2557,1255,1255,849.2302529068656,186.60867723639748,1800.0
p28,2557,1269,1269,879.0532006145819,184.91842009633396,1800.0
p29,2557,1250,1250,849.3525822956586,186.432870992483,1800.0
p30,2557,1254,1254,841.6955038009331,184.91366532396418,1800.0
p31,2557,1258,1258,843.4508056470236,186.83001819668843,1800.0
p32,2557,1250,1250,849.2831997517483,176.9297573048956,1800.0
p33,2557,1262,1262,778.65013779495,189.8989442178114,1800.0
p34,2557,1264,1264,841.1954478143401,186.21218364290877,1800.0
p35,2557,1259,1259,774.6889087743259,188.48832171726286,1800.0
p36,2557,1263,1263,836.8526695409838,185.1063639712959,1800.0
p37,2557,1259,1259,839.2636923820147,184.4002917636937,1800.0
p38,2557,1262,1262,778.7461564769643,190.19421568830256,1800.0
p39,2557,1263,1263,836.5669575739132,184.96593696432316,1800.0
p40,2557,1264,1264,779.6993590859975,191.3185427527615,1800.0
p41,2557,1263,1263,836.6757537820214,185.22732753049974,1800.0
p42,2557,1262,1262,778.2322080987988,189.66115950684446,1800.0
p43,2557,1264,1264,840.1300463007083,185.34857326167466,1800.0
