prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,1505,1505,1042.0429122559292,165.54369780975753,1800.0
p2,2557,1485,1485,1799.9999999999998,165.87906101482054,1800.0
p3,2557,1506,1506,1020.1196431944633,166.10743823112026,1800.0
p4,2557,1522,1522,1557.5584209058597,170.27144705885146,1800.0
p5,2557,1508,1508,1053.0014417235711,169.96372975749756,1800.0
p6,2557,1507,1507,1054.431413728484,170.2585116605666,1800.0
p7,2557,1513,1513,1034.9681156372171,169.4082038083318,1800.0
p8,2557,1515,1515,1064.3422955054666,167.4438716959686,1800.0
p9,2557,1511,1511,1026.5032278166705,170.7517617224091,1800.0
p10,2557,1517,1517,1052.835516298515,171.9147604404982,1800.0
p11,2557,1498,1498,763.4002205550781,169.7559306916924,1800.0
p12,2557,1519,1519,1053.803676560314,172.10284509547935,1800.0
p13,2557,1517,1517,1065.9521858953785,167.68002344663907,1800.0
p14,2557,1508,1508,1022.8426790836926,169.63919630077436,1800.0
p15,2557,1516,1516,1047.9182200919163,170.68924210656155,1800.0
p16,2557,1511,1511,1036.9422897038892,170.11464405109595,1800.0
p17,2557,1516,1516,1042.993795447401,171.92755853642018,1800.0
p18,2557,1510,1510,1031.6876055949779,169.74086686262177,1800.0
p19,2557,1517,1517,1051.0529399903385,171.47227170631808,1800.0
p20,2557,1506,1506,1022.6125874780319,166.25125850357668,1800.0
p21,2557,1504,1504,1038.713450572241,166.01778856982645,1800.0
p22,2557,1517,1517,1066.5892798765044,167.59884650851973,1800.0
p23,2557,1516,1516,1061.1097467542638,167.80852502333585,1800.0
p24,2557,1516,1516,1050.5126848300677,171.3498610643397,1800.0
p25,2557,1498,1498,997.281859504791,179.29706330666608,1800.0
p26,2557,1513,1513,1057.761992079396,167.36802401200978,1800.0
p27,2557,1514,1514,1042.6871207440888,170.00763597818116,1800.0
p28,2557,1515,1515,1062.0854723497653,167.8320165359453,1800.0
p29,2557,1512,1512,1041.2127993655768,169.81539734115415,1800.0
p30,2557,1512,1512,1038.0679984721817,170.18118918926882,1800.0
p31,2557,1514,1514,1044.4140627263175,170.71502698397967,1800.0
p32,2557,1507,1507,1018.8242696193239,166.56854682815865,1800.0
p33,2557,1498,1498,997.5130886796126,179.38568795176684,1800.0
p34,2557,1510,1510,1061.2569130846266,171.36023662904955,1800.0
p35,2557,1497,1497,994.8697419181628,178.45287003977745,1800.0
p36,2557,1506,1506,1055.6760444616905,170.44380627860457,1800.0
p37,2557,1508,1508,1050.346359862671,169.7139659028139,1800.0
p38,2557,1497,1497,997.8833544931144,179.4949421712844,1800.0
p39,2557,1506,1506,1055.164247322532,170.35319960740162,1800.0
p40,2557,1499,1499,1002.1937992621667,180.60679251632604,1800.0
p41,2557,1506,1506,1056.6767279007604,170.5078535636264,1800.0
p42,2557,1498,1498,997.194817653759,179.27924136423667,1800.0
p43,2557,1506,1506,1054.8270834307364,170.5331379148003,1800.0
