prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,open_full_wat_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days,metric_basis
p1,387.9,1042.0429122559292,654.1429122559292,357.89722392093233,411.0064960060442,0.6896392447213934,827,1505,777,1505,728,964,1250,1800.0,757.9570877440708,False,1260,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p2,280.0,1799.9999999999998,1519.9999999999998,487.27296531228956,643.5426130982356,0.5531668479264876,825,1485,741,1485,744,933,1212,1800.0,2.2737367544323206e-13,True,1247,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p3,384.5,1020.1196431944633,635.6196431944633,353.2353521313634,400.1731136969786,0.7365882411581978,815,1506,782,1506,724,1023,1308,1800.0,779.8803568055367,False,1264,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p4,240.0,1557.5584209058597,1317.5584209058597,471.00678489038364,579.2729133492195,0.341002298519888,928,1522,728,1522,794,948,1298,1800.0,242.44157909414025,False,1211,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p5,420.0,1053.0014417235711,633.0014417235711,362.88919091750114,415.7466798846395,0.6601809123623295,910,1508,761,1508,747,945,1265,1800.0,746.9985582764289,False,1229,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p6,420.0,1054.431413728484,634.4314137284839,362.5065469825532,414.9403588216784,0.6671043776068464,910,1507,764,1507,743,947,1267,1800.0,745.5685862715161,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p7,420.0,1034.9681156372171,614.9681156372171,364.5105879467814,414.24636239336786,0.6564974288934468,888,1513,750,1513,763,1016,1341,1800.0,765.0318843627829,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p8,440.0,1064.3422955054666,624.3422955054666,388.61878513229124,441.3414593246068,0.648462488163913,911,1515,759,1515,756,978,1307,1800.0,735.6577044945334,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p9,460.0,1026.5032278166705,566.5032278166705,356.69469902931894,403.5349790393518,0.686192991441289,894,1511,755,1511,756,1017,1340,1800.0,773.4967721833295,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p10,421.1,1052.835516298515,631.7355162985149,368.5467929002876,417.95105610261584,0.665947901134256,902,1517,755,1517,762,1029,1361,1800.0,747.1644837014851,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p11,503.2,763.4002205550781,260.20022055507815,323.3025911310613,365.52636942271397,0.47589306687472166,819,1498,773,1498,725,1029,1300,1800.0,1036.5997794449218,False,1270,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p12,440.0,1053.803676560314,613.803676560314,366.930953686227,414.94807276114756,0.6844903196611535,892,1519,753,1519,766,1025,1358,1800.0,746.196323439686,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p13,440.0,1065.9521858953785,625.9521858953785,389.2728829392722,441.9741833898339,0.649175051442221,909,1517,758,1517,759,979,1310,1800.0,734.0478141046215,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p14,460.0,1022.8426790836926,562.8426790836926,356.90569975957874,405.43447591552416,0.6662602442042828,895,1508,757,1508,751,1015,1335,1800.0,777.1573209163074,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p15,420.0,1047.9182200919163,627.9182200919163,367.0756547374753,416.6398959881844,0.6632894678139724,901,1516,755,1516,761,1025,1357,1800.0,752.0817799080837,False,1227,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p16,424.1,1036.9422897038892,612.8422897038892,363.0001794030388,411.98063267012975,0.6671810611564944,897,1511,760,1511,751,1019,1343,1800.0,763.0577102961108,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p17,440.0,1042.993795447401,602.993795447401,362.10421937489474,409.96348507388575,0.6826422437316222,894,1516,758,1516,758,1021,1349,1800.0,757.006204552599,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p18,440.0,1031.6876055949779,591.6876055949779,360.43213186813915,409.1168596255904,0.6689645345880111,899,1510,759,1510,751,1016,1339,1800.0,768.3123944050221,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p19,420.0,1051.0529399903385,631.0529399903385,368.7412628857413,418.23826493518163,0.6645869999443157,901,1517,755,1517,762,1028,1361,1800.0,748.9470600096615,False,1227,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p20,374.3,1022.6125874780319,648.3125874780319,354.9925049543646,401.9619465229917,0.740319538928562,816,1506,779,1506,727,1023,1308,1800.0,777.3874125219681,False,1264,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p21,387.0,1038.713450572241,651.7134505722411,356.96996919286636,409.98647415164265,0.6882653602462809,821,1504,777,1504,727,962,1247,1800.0,761.2865494277589,False,1260,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p22,426.1,1066.5892798765044,640.4892798765044,390.5507393259328,443.31979077068036,0.6490044286724819,910,1517,759,1517,758,978,1310,1800.0,733.4107201234956,False,1227,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p23,440.0,1061.1097467542638,621.1097467542638,387.02587077783926,439.2910470287669,0.6537344297834933,912,1516,764,1516,752,977,1306,1800.0,738.8902532457362,False,1229,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p24,420.0,1050.5126848300677,630.5126848300677,368.1899558726556,417.6422850945492,0.6647234591318802,901,1516,755,1516,761,1029,1360,1800.0,749.4873151699323,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p25,400.0,997.281859504791,597.281859504791,340.9887138351373,393.10768720821284,0.6385963911130086,917,1498,755,1498,743,921,1233,1800.0,802.718140495209,False,1227,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p26,440.0,1057.761992079396,617.7619920793959,384.9266078604171,436.749532581045,0.6594544759383097,914,1513,764,1513,749,973,1299,1800.0,742.2380079206041,False,1229,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p27,420.0,1042.6871207440888,622.6871207440888,366.7636912530153,416.6162237642384,0.6589502175173169,894,1514,754,1514,760,1020,1347,1800.0,757.3128792559112,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p28,440.0,1062.0854723497653,622.0854723497653,385.1322243319018,436.797918159279,0.662077805263724,917,1515,768,1515,747,978,1307,1800.0,737.9145276502347,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p29,420.0,1041.2127993655768,621.2127993655768,365.41938308561305,415.19424591149084,0.6581773870865603,892,1512,751,1512,761,1019,1344,1800.0,758.7872006344232,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p30,420.0,1038.0679984721817,618.0679984721817,365.45377701763925,414.9970038130405,0.6610545591956731,891,1512,754,1512,758,1021,1346,1800.0,761.9320015278183,False,1230,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p31,440.0,1044.4140627263175,604.4140627263175,364.45103980540136,413.7190737761654,0.66533605365261,906,1514,763,1514,751,1025,1353,1800.0,755.5859372736825,False,1229,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p32,403.3,1018.8242696193239,615.5242696193238,351.26128002738363,397.51342998559215,0.7396014879649598,814,1507,781,1507,726,1017,1303,1800.0,781.1757303806761,False,1263,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p33,400.0,997.5130886796126,597.5130886796126,348.0812390711515,405.9700504244941,0.5368438896736003,918,1498,756,1498,742,921,1233,1800.0,802.4869113203874,False,1227,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p34,420.0,1061.2569130846266,641.2569130846266,365.694540532043,420.50954165876254,0.6327650808423918,904,1510,761,1510,749,946,1269,1800.0,738.7430869153734,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p35,400.0,994.8697419181628,594.8697419181628,339.4363323061041,391.46121575394545,0.6390673189317145,915,1497,755,1497,742,920,1231,1800.0,805.1302580818372,False,1227,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p36,420.0,1055.6760444616905,635.6760444616905,362.3994864046762,414.9196189799367,0.6661870696258844,909,1506,764,1506,742,948,1267,1800.0,744.3239555383095,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p37,420.0,1050.346359862671,630.3463598626711,366.3061963493339,419.5563207230211,0.6466453080674499,902,1508,755,1508,753,941,1263,1800.0,749.6536401373289,False,1227,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p38,400.0,997.8833544931144,597.8833544931144,343.53987767756587,395.71361551798446,0.637382537698176,914,1497,750,1497,747,919,1232,1800.0,802.1166455068856,False,1225,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p39,420.0,1055.164247322532,635.164247322532,367.72266817105486,420.85904528037287,0.6514775095621275,907,1506,756,1506,750,943,1264,1800.0,744.835752677468,False,1226,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p40,400.0,1002.1937992621667,602.1937992621667,354.22245403021816,413.5509218641519,0.5039747353805679,913,1499,746,1499,753,917,1234,1800.0,797.8062007378333,False,1223,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p41,420.0,1056.6767279007604,636.6767279007604,364.0576859500089,417.1120853584692,0.6595441080376998,906,1506,760,1506,746,948,1267,1800.0,743.3232720992396,False,1228,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p42,400.0,997.194817653759,597.194817653759,340.81024968979324,392.89356288210456,0.6388946219366775,917,1498,756,1498,742,921,1233,1800.0,802.805182346241,False,1227,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
p43,420.0,1054.8270834307364,634.8270834307364,361.84770006071335,416.0637322857078,0.6396979554340066,917,1506,770,1506,736,946,1264,1800.0,745.1729165692636,False,1229,legacy FDMC01 winter-depth pairs joined to Dc WAT frdp by sim_day_index; duration uses full WAT frozwt days
