prefix,days,open_frdp_active_days,open_frozwt_active_days,legacy_winter_frost_active_days,open_max_frdp_mm,open_max_frozwt_mm,open_final_frdp_mm,open_final_frozwt_mm
p1,2557,470,470,827,597.1821614622129,137.80719416338016,0.0,0.0
p2,2557,473,473,825,1756.6037758327177,186.37123434828848,0.0,0.0
p3,2557,536,536,815,1639.9350755585738,327.70546711959906,0.0,0.0
p4,2557,484,484,928,490.774886655666,128.56104002564038,0.0,0.0
p5,2557,492,492,910,951.9870425611773,239.094403090772,0.0,0.0
p6,2557,477,477,910,531.5611766613385,128.0842928113067,0.0,0.0
p7,2557,470,470,888,478.3106098983534,120.21223929187902,0.0,0.0
p8,2557,484,484,911,657.244442657583,199.55603622530379,0.0,0.0
p9,2557,464,464,894,430.8517552172829,117.97142661179798,0.0,0.0
p10,2557,467,467,902,487.31231941981827,121.69462236764886,0.0,0.0
p11,2557,429,429,819,478.87955985320855,112.30664800271411,0.0,0.0
p12,2557,465,465,892,443.2388147550141,120.23362335028678,0.0,0.0
p13,2557,473,473,909,479.8931715688344,120.06888185353473,0.0,0.0
p14,2557,467,467,895,442.88674634672543,120.17356443431953,0.0,0.0
p15,2557,473,473,901,480.97669360808203,138.42329299728823,0.0,0.0
p16,2557,464,464,897,487.3123190112256,121.69462236764886,0.0,0.0
p17,2557,480,480,894,434.70599894947645,118.670676601002,0.0,0.0
p18,2557,464,464,899,487.3123191215685,121.22870671523208,0.0,0.0
p19,2557,470,470,901,451.8033738510082,121.6946409336099,0.0,0.0
p20,2557,462,462,816,548.7005560921867,132.0839302534991,0.0,0.0
p21,2557,490,490,821,1577.984311085433,327.4604539080945,0.0,0.0
p22,2557,493,493,910,1355.2544758524757,382.77941629577373,0.0,0.0
p23,2557,506,506,912,1789.9130899451595,534.3208492747995,0.0,0.0
p24,2557,466,466,901,487.3123193159292,121.69462236764886,0.0,0.0
p25,2557,485,485,917,535.1915011646684,134.4287796730384,0.0,0.0
p26,2557,466,466,914,578.0232834471122,121.145453720086,0.0,0.0
p27,2557,471,471,894,581.7398588304062,137.94150598644293,0.0,0.0
p28,2557,467,467,917,578.0232835519357,121.145453720086,0.0,0.0
p29,2557,470,470,892,444.4342062470685,120.43754371200902,0.0,0.0
p30,2557,464,464,891,487.3123189390289,121.69462236764886,0.0,0.0
p31,2557,465,465,906,487.3123191111431,121.69462236764886,0.0,0.0
p32,2557,461,461,814,429.03717485562566,129.5608321674378,0.0,0.0
p33,2557,485,485,918,535.191501235051,134.49089809667876,0.0,0.0
p34,2557,486,486,904,486.67035717912216,126.92832236011886,0.0,0.0
p35,2557,487,487,915,466.6055852482718,133.45218981636322,0.0,0.0
p36,2557,477,477,909,531.5611766639373,128.0842928113067,0.0,0.0
p37,2557,485,485,902,514.4554710151702,126.65307133562742,0.0,0.0
p38,2557,488,488,914,496.63050551547025,133.98413937895273,0.0,0.0
p39,2557,477,477,907,531.56117666243,127.93840243326984,0.0,0.0
p40,2557,492,492,913,469.84350058308354,134.01007487116607,0.0,0.0
p41,2557,477,477,906,531.5611766499209,128.0842928113067,0.0,0.0
p42,2557,485,485,917,535.1915011578453,134.49092773738369,0.0,0.0
p43,2557,483,483,917,473.5048699207151,127.50151897692449,0.0,0.0
