prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,open_full_wat_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days,metric_basis
p1,387.9,693.1401333376058,305.2401333376058,169.00805294783223,221.37498912748617,0.8339988957951368,827,1074,777,1074,297,634,662,1800.0,1106.8598666623943,False,1260,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p2,280.0,1015.7356392159068,735.7356392159068,239.01229788566764,317.0893612931177,0.7219211023808159,825,1113,741,1113,372,671,724,1800.0,784.2643607840932,False,1247,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p3,384.5,653.8051877107328,269.30518771073275,151.13304522995927,195.8097990083827,0.8990356064532323,815,1018,782,1018,236,635,651,1800.0,1146.1948122892672,False,1264,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p4,240.0,1101.2022335005108,861.2022335005108,262.0851621889506,351.2445961128611,0.4814727374841987,928,1107,728,1107,379,645,722,1800.0,698.7977664994892,False,1211,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p5,420.0,709.0392514478058,289.0392514478058,171.36504048095546,232.168915450256,0.7349615464482427,910,1063,761,1063,302,613,660,1800.0,1090.9607485521942,False,1229,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p6,420.0,709.3775553047494,289.3775553047494,170.6050208803741,230.95895315049665,0.7389283667891341,910,1065,764,1065,301,614,661,1800.0,1090.6224446952506,False,1228,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p7,420.0,668.0121932070352,248.01219320703524,158.2649564959771,216.5685491885937,0.764729329672337,888,1012,750,1012,262,618,657,1800.0,1131.9878067929649,False,1230,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p8,440.0,730.9643675929631,290.9643675929631,180.22115262250588,243.52222175358955,0.7451115195094463,911,1057,759,1057,298,597,641,1800.0,1069.035632407037,False,1228,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p9,460.0,666.888683253728,206.888683253728,151.92416821553851,208.7049797006603,0.7717183442488189,894,1009,755,1009,254,616,655,1800.0,1133.111316746272,False,1230,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p10,421.1,693.2414045259798,272.14140452597974,160.66131072780283,220.438540128585,0.7530942487996857,902,1023,755,1023,268,620,662,1800.0,1106.7585954740202,False,1228,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p11,503.2,591.5774110644164,88.37741106441644,149.42209003638573,204.7617562565951,0.7015299701040433,819,980,773,980,207,613,628,1800.0,1208.4225889355835,False,1270,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p12,440.0,697.8993178442591,257.89931784425914,159.10114588384107,217.5788873349863,0.7678860238514406,892,1024,753,1024,271,620,662,1800.0,1102.1006821557407,False,1228,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p13,440.0,734.7811603924447,294.7811603924447,180.70209644649003,244.13278196608348,0.7442732008641763,909,1057,758,1057,299,597,641,1800.0,1065.2188396075553,False,1228,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p14,460.0,666.2902948535027,206.2902948535027,152.78861211339787,210.67755118637555,0.7605074717552425,895,1010,757,1010,253,614,653,1800.0,1133.7097051464973,False,1230,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p15,420.0,684.9491955279398,264.94919552793976,160.14092108524534,219.22800118957542,0.7602572564747319,901,1019,755,1019,264,619,660,1800.0,1115.0508044720602,False,1227,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p16,424.1,668.1091747897483,244.00917478974827,155.99435849505264,213.89812014701334,0.7667840645263814,897,1013,760,1013,253,618,657,1800.0,1131.8908252102517,False,1230,legacy FDMC01 winter-depth pairs joined to De native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
