prefix,year,inputs_mm,outputs_mm,delta_total_soil_plus_frozwt_mm,residual_mm,abs_residual_mm
p1,1,1062.1,1623.5976120973255,9996.739394385482,-10558.237006482808,10558.237006482808
p1,2,1047.0,1535.2283972969205,-10237.834521606088,9749.606124309168,9749.606124309168
p1,3,833.5,1264.5019826334014,10877.233121357944,-11308.235103991345,11308.235103991345
p1,4,1082.1999999999998,1062.7653024446397,830.5012328132361,-811.066535257876,811.066535257876
p1,5,820.5,1459.0398975171745,-3292.5516341982457,2654.011736681071,2654.011736681071
p1,6,744.4000000000001,1387.4083020531061,2288.4279485030947,-2931.436250556201,2931.436250556201
p1,7,789.9,1407.4856907735827,-11360.042649251824,10742.45695847824,10742.45695847824
p10,1,1062.1,1162.909064098617,10155.639091360443,-10256.44815545906,10256.44815545906
p10,2,1047.0,1070.2361755918084,-10436.970901144594,10413.734725552786,10413.734725552786
p10,3,833.5,868.6760151735705,12788.956473816548,-12824.132488990119,12824.132488990119
p10,4,1082.1999999999998,972.9493702756687,-1702.1605655596086,1811.4111952839398,1811.4111952839398
p10,5,820.5,966.2184262420118,-1353.3328730172598,1207.6144467752479,1207.6144467752479
p10,6,744.4000000000001,946.381076797141,5080.054092651848,-5282.035169448989,5282.035169448989
p10,7,789.9,1002.4643312106045,-15426.129592501622,15213.565261291018,15213.565261291018
p11,1,1062.1,1080.1222209381554,10631.113440606403,-10649.135661544558,10649.135661544558
p11,2,1047.0,890.6708390923483,-3126.8452555382137,3283.1744164458655,3283.1744164458655
p11,3,833.5,775.7208097062642,1651.364794600804,-1593.5856043070683,1593.5856043070683
p11,4,1082.1999999999998,730.8011621352755,879.1970344362235,-527.7981965714991,527.7981965714991
p11,5,820.5,817.9407246820035,-1374.8033507112377,1377.3626260292342,1377.3626260292342
p11,6,744.4000000000001,785.9094497800785,4317.436548663289,-4358.945998443367,4358.945998443367
p11,7,789.9,786.0380811901744,-14131.739586299378,14135.601505109204,14135.601505109204
p12,1,1062.1,1224.7077056969333,10136.533113831396,-10299.14081952833,10299.14081952833
p12,2,1047.0,1120.824866861761,-10417.43454148176,10343.609674619998,10343.609674619998
p12,3,833.5,923.27692808039,12761.592308286168,-12851.369236366558,12851.369236366558
p12,4,1082.1999999999998,1019.6832074103158,-1750.5524388155045,1813.0692314051885,1813.0692314051885
p12,5,820.5,1029.5617382393536,-1296.846499939029,1087.7847616996753,1087.7847616996753
p12,6,744.4000000000001,1011.1783036560375,5072.983389797424,-5339.761693453462,5339.761693453462
p12,7,789.9,1072.3043154285167,-15397.990006404405,15115.585690975888,15115.585690975888
p13,1,1062.1,1135.3295701588504,11414.422463784544,-11487.652033943394,11487.652033943394
p13,2,1047.0,1050.0170050750285,-11691.107667382597,11688.090662307568,11688.090662307568
p13,3,833.5,876.5337056782772,14496.26888590918,-14539.302591587457,14539.302591587457
p13,4,1082.1999999999998,946.1703062011377,-2427.968383882151,2563.9980776810135,2563.9980776810135
p13,5,820.5,1013.8331808512339,-1740.1315929310495,1546.7984120798155,1546.7984120798155
p13,6,744.4000000000001,957.010596629131,5589.726413504777,-5802.337010133908,5802.337010133908
p13,7,789.9,980.3299447031213,-11426.045008390247,11235.615063687126,11235.615063687126
p14,1,1062.1,1398.0281374082497,10073.00678023142,-10408.93491763967,10408.93491763967
p14,2,1047.0,1246.0064686900105,-10352.679429123105,10153.672960433094,10153.672960433094
p14,3,833.5,1038.1189426406063,12688.445499325546,-12893.064441966151,12893.064441966151
p14,4,1082.1999999999998,1152.3669237059214,-1834.3383090611296,1764.171385355208,1764.171385355208
p14,5,820.5,1202.0255263583276,-1205.961316028699,824.4357896703714,824.4357896703714
p14,6,744.4000000000001,1196.8315168332908,5028.203830101991,-5480.635346935282,5480.635346935282
p14,7,789.9,1248.0055239633239,-15318.207892178252,14860.102368214928,14860.102368214928
p15,1,1062.1,1140.8637124551847,10163.586971908295,-10242.350684363479,10242.350684363479
p15,2,1047.0,1049.2029824003628,-10445.085289246335,10442.882306845973,10442.882306845973
p15,3,833.5,863.8631924774443,12799.93526389078,-12830.298456368224,12830.298456368224
p15,4,1082.1999999999998,954.130402285557,-1759.7423873491225,1887.8119850635653,1887.8119850635653
p15,5,820.5,940.7618876381391,-1297.224062620733,1176.962174982594,1176.962174982594
p15,6,744.4000000000001,921.6764035568241,5080.444685344666,-5257.7210889014905,5257.7210889014905
p15,7,789.9,973.6896430727224,-15436.866230036283,15253.07658696356,15253.07658696356
p16,1,1062.1,1167.8240155078167,10153.947702793808,-10259.671718301624,10259.671718301624
p16,2,1047.0,1065.877228024127,-10435.244128276563,10416.366900252437,10416.366900252437
p16,3,833.5,869.1379439885216,12789.200044692985,-12824.837988681507,12824.837988681507
p16,4,1082.1999999999998,976.2708107876593,-1802.0450222919644,1907.974211504305,1907.974211504305
p16,5,820.5,967.3912082533875,-1279.1530853727745,1132.261877119387,1132.261877119387
p16,6,744.4000000000001,953.2471597151281,5067.945311741145,-5276.792471456273,5276.792471456273
p16,7,789.9,990.7143437066566,-15423.829760605027,15223.01541689837,15223.01541689837
p17,1,1062.1,1304.452382003451,10107.19103507804,-10349.543417081491,10349.543417081491
p17,2,1047.0,1177.9831860496154,-10387.505401047105,10256.522214997489,10256.522214997489
p17,3,833.5,975.3556713508167,12727.15725779542,-12869.012929146236,12869.012929146236
p17,4,1082.1999999999998,1080.5881207399382,-1743.229180225484,1744.8410594855457,1744.8410594855457
p17,5,820.5,1108.6337127753582,-1284.309921881555,996.1762091061969,996.1762091061969
p17,6,744.4000000000001,1096.1701594554806,5052.874679982495,-5404.644839437975,5404.644839437975
p17,7,789.9,1156.325754693864,-15361.574267886377,14995.148513192513,14995.148513192513
p18,1,1062.1,1214.6134836563022,10134.17310083572,-10286.686584492023,10286.686584492023
p18,2,1047.0,1101.0390443369693,-10415.146424491571,10361.107380154603,10361.107380154603
p18,3,833.5,905.7406706318103,12769.666385761719,-12841.90705639353,12841.90705639353
p18,4,1082.1999999999998,1010.9314118534584,-1852.3562382027121,1923.6248263492535,1923.6248263492535
p18,5,820.5,1013.6032283277007,-1220.197582426701,1027.0943540990004,1027.0943540990004
p18,6,744.4000000000001,1002.0310164048653,5058.822892244227,-5316.453908649092,5316.453908649092
p18,7,789.9,1040.7829735874307,-15402.7200536742,15151.837080086769,15151.837080086769
p19,1,1062.1,1136.2697948016369,10164.807054486231,-10238.976849287868,10238.976849287868
p19,2,1047.0,1047.3706073794147,-10446.330660509779,10445.960053130364,10445.960053130364
p19,3,833.5,855.7034879867581,12801.289108330599,-12823.492596317357,12823.492596317357
p19,4,1082.1999999999998,951.9518015914875,-1705.1328472163768,1835.381045624889,1835.381045624889
p19,5,820.5,937.6689218410932,-1353.6747436383139,1236.5058217972207,1236.5058217972207
p19,6,744.4000000000001,917.7089326897596,5082.659019006533,-5255.967951696292,5255.967951696292
p19,7,789.9,970.9072674200171,-15438.597477610543,15257.590210190527,15257.590210190527
p2,1,1062.1,2664.616753809224,153.6013686509561,-1756.1181224601803,1756.1181224601803
p2,2,1047.0,1387.906988060584,-160.0595696396568,-180.8474184209271,180.8474184209271
p2,3,833.5,1601.516878116135,3.6043063805691986,-771.6211844967042,771.6211844967042
p2,4,1082.1999999999998,1410.9484031559832,4875.309060137558,-5204.057463293541,5204.057463293541
p2,5,820.5,1974.527994951475,-1130.3169068366215,-23.71108811485351,23.71108811485351
p2,6,744.4000000000001,1916.3981392708113,1221.871271840385,-2393.8694111111963,2393.8694111111963
p2,7,789.9,1815.8828206477763,4275.493971818543,-5301.476792466319,5301.476792466319
p20,1,1062.1,1350.867708981986,8249.975179816394,-8538.74288879838,8538.74288879838
p20,2,1047.0,1209.7764957973327,-8471.768574048434,8308.992078251102,8308.992078251102
p20,3,833.5,1061.2436700204175,9025.45799128202,-9253.201661302439,9253.201661302439
p20,4,1082.1999999999998,904.8891282296981,94.08470716770353,83.22616460259815,83.22616460259815
p20,5,820.5,1164.1383000705534,-1741.68338102896,1398.0450809584065,1398.0450809584065
p20,6,744.4000000000001,1089.2743921661363,2662.0316582702126,-3006.906050436349,3006.906050436349
p20,7,789.9,1110.3678611482233,1241.9329418068428,-1562.400802955066,1562.400802955066
p21,1,1062.1,1613.1510337035127,10002.502302265048,-10553.55333596856,10553.55333596856
p21,2,1047.0,1520.0391225800727,-10243.692453150528,9770.653330570456,9770.653330570456
p21,3,833.5,1260.957550200213,11104.367596003654,-11531.825146203868,11531.825146203868
p21,4,1082.1999999999998,1057.8737260513708,565.6719423187842,-541.3456683701552,541.3456683701552
p21,5,820.5,1444.9447925272773,-3223.086498431141,2598.641705903864,2598.641705903864
p21,6,744.4000000000001,1373.6156211352095,2289.383218036448,-2918.5988391716573,2918.5988391716573
p21,7,789.9,1393.6165872929573,-11364.95598001812,10761.239392725161,10761.239392725161
p22,1,1062.1,1115.7066614531007,11420.934688015768,-11474.54134946887,11474.54134946887
p22,2,1047.0,1031.415303555669,-11697.759272583588,11713.34396902792,11713.34396902792
p22,3,833.5,857.2897705250723,14505.042870070618,-14528.83264059569,14528.83264059569
p22,4,1082.1999999999998,929.8120048796153,-2419.9519783547457,2572.33997347513,2572.33997347513
p22,5,820.5,993.2440457598968,-1751.606242400665,1578.8621966407682,1578.8621966407682
p22,6,744.4000000000001,935.7059032888776,5592.728950537325,-5784.034853826202,5784.034853826202
p22,7,789.9,956.5506361228245,-11428.744953746382,11262.094317623558,11262.094317623558
p23,1,1062.1,1140.521800735304,11412.707921825158,-11491.129722560463,11491.129722560463
p23,2,1047.0,1052.2877251836549,-11689.356464257433,11684.068739073778,11684.068739073778
p23,3,833.5,879.1986148583841,14495.242912385595,-14540.941527243978,14540.941527243978
p23,4,1082.1999999999998,950.3339425375702,-2428.5526203008358,2560.4186777632654,2560.4186777632654
p23,5,820.5,1016.473410674535,-1734.3927454950117,1538.4193348204767,1538.4193348204767
p23,6,744.4000000000001,962.621359450122,5582.987013116108,-5801.20837256623,5801.20837256623
p23,7,789.9,986.7187050990804,-11425.477883662352,11228.659178563272,11228.659178563272
p24,1,1062.1,1149.3348226155003,10160.310700338792,-10247.545522954293,10247.545522954293
p24,2,1047.0,1057.9100835424024,-10441.740241432117,10430.830157889715,10430.830157889715
p24,3,833.5,858.7450733147795,12795.383017501916,-12820.628090816695,12820.628090816695
p24,4,1082.1999999999998,962.2202436790956,-1703.8206060891498,1823.800362410054,1823.800362410054
p24,5,820.5,951.2709358601348,-1352.3512475979733,1221.5803117378384,1221.5803117378384
p24,6,744.4000000000001,931.9167611664575,5080.158667972644,-5267.675429139102,5267.675429139102
p24,7,789.9,985.6540253408914,-15432.481719715102,15236.72769437421,15236.72769437421
p25,1,1062.1,885.8691595370019,13741.350060580044,-13565.119220117045,13565.119220117045
p25,2,1047.0,1033.2562610089515,-7777.077432405476,7790.821171396525,7790.821171396525
p25,3,833.5,806.9936223691831,10361.892547796131,-10335.386170165315,10335.386170165315
p25,4,1082.1999999999998,838.6311977437699,-3046.5543763625974,3290.1231786188273,3290.1231786188273
p25,5,820.5,947.646290537351,-986.2447835216753,859.0984929843244,859.0984929843244
