prefix,active_days,corr_frozwt_frdp,ratio_mean,ratio_std
p1,1123,0.9514056101185794,0.2479586525300849,0.036044539142789114
p10,1174,0.9858152242712922,0.23352450614093692,0.030411736461152628
p11,1209,0.9880299825760605,0.22105369057769003,0.03831089296884601
p12,1178,0.9858913100328581,0.23372540299858832,0.03058682049634822
p13,1214,0.9824668940158359,0.24527359136361124,0.02970711798636713
p14,1176,0.9859370265915887,0.2332441815470387,0.02988393199097501
p15,1177,0.9859218766594401,0.23358056465007984,0.030355750110715174
p16,1172,0.9858746361731711,0.23316335126848234,0.029904283656239906
p17,1177,0.9859343914651582,0.23337576744655758,0.029944507039246414
p18,1174,0.9858946717065065,0.23324552006179639,0.02997429156530228
p19,1175,0.9858784140400745,0.2335016411356531,0.030331986629544287
p2,765,0.9112137844331519,0.24099850123690567,0.0467943477758031
p20,1069,0.967154865254232,0.22833170877674014,0.03063870457164758
p21,1127,0.9515233583228864,0.248172550318536,0.03617056541505956
p22,1213,0.9824284944255927,0.24525807926229948,0.029717816265705955
p23,1214,0.9824974466096242,0.24518580636574386,0.029668279019979846
p24,1174,0.9858386532816488,0.2334600630282781,0.030304748796262337
p25,1264,0.9918902732858844,0.27324807897403325,0.017018849752461547
p26,1213,0.9824255020898809,0.2451778083659481,0.029706650259081622
p27,1175,0.9859032758212819,0.23342683716304424,0.03017874350317056
p28,1213,0.9824295937483908,0.24523012738651992,0.029712512462088864
p29,1175,0.9859014942243268,0.23340656765938533,0.030079289539092745
p3,1070,0.9671234529016369,0.22843151501590644,0.030696901353151066
p30,1172,0.9858699388243588,0.23317625308708284,0.02991693578431951
p31,1173,0.9858636341436925,0.23331246342619144,0.030086574196395623
p32,1070,0.9671197817445771,0.22837915421469832,0.03057916867927299
p33,1264,0.9918905380214353,0.2732510857628905,0.017020678529591104
p34,1260,0.9849098243012478,0.2592670275396739,0.024570632552883075
p35,1265,0.9919091097937477,0.27324561381480406,0.017012079935836224
p36,1259,0.9849407861966082,0.2591634551411124,0.024513094103503844
p37,1260,0.9848968550940301,0.2592149429896224,0.02456860696902552
p38,1265,0.9918996818073919,0.2732694557627793,0.017024371115010182
p39,1259,0.9849324265212924,0.2591618120708046,0.024513663192341148
p4,1029,0.9536747590352488,0.24319230608545966,0.03690451761939993
p40,1265,0.9918779512171716,0.27331213828713197,0.01705486671379253
p41,1259,0.9849374767669841,0.259166475876613,0.024513937552011814
p42,1264,0.9918912616531409,0.2732472556690868,0.017018429593135088
p43,1259,0.984914868269504,0.2591836761830412,0.024530307549050792
p5,1260,0.9849115985764116,0.25921097374641205,0.024555732017330814
p6,1259,0.9849203941035458,0.2591660753519304,0.02452406663053974
p7,1175,0.9859227714546888,0.2332841857992276,0.029900275320186354
p8,1214,0.9824783832362518,0.24523695648511315,0.02968520362355336
p9,1175,0.9858878896409234,0.23325624871018885,0.02977468404086509
