prefix	returncode	seconds	wat_exists	wat_bytes
p1	0	7.870043039321899	True	148886
p2	0	7.645884990692139	True	149132
p3	0	7.628202438354492	True	148005
p4	0	7.241005897521973	True	134909
p5	0	7.1546595096588135	True	134221
p6	0	7.101491689682007	True	134069
p7	0	7.032318353652954	True	133714
p8	0	7.110882043838501	True	135562
p9	0	7.011466026306152	True	133607
p10	0	7.188250780105591	True	134053
p11	0	7.804583787918091	True	147379
p12	0	7.100116014480591	True	134129
p13	0	7.185433864593506	True	135473
p14	0	6.954505681991577	True	133405
p15	0	7.272613286972046	True	134352
p16	0	7.213535308837891	True	133792
p17	0	7.181429862976074	True	134126
p18	0	7.066046476364136	True	133751
p19	0	7.076003313064575	True	134269
p20	0	7.731125831604004	True	148039
p21	0	7.591143369674683	True	148918
p22	0	7.112037658691406	True	135488
p23	0	7.104298114776611	True	135240
p24	0	7.1147027015686035	True	134307
p25	0	7.331550598144531	True	134417
p26	0	7.194710731506348	True	134987
p27	0	7.05879545211792	True	134198
p28	0	7.129509925842285	True	134939
p29	0	7.225109577178955	True	133996
p30	0	7.003636121749878	True	133993
p31	0	7.118096828460693	True	134237
p32	0	7.694916725158691	True	147933
p33	0	7.259144306182861	True	134397
p34	0	7.013961315155029	True	134162
p35	0	7.1700334548950195	True	134096
p36	0	7.0455322265625	True	134163
p37	0	7.378515243530273	True	133826
p38	0	7.108994722366333	True	134409
p39	0	7.037032127380371	True	134119
p40	0	7.028460502624512	True	134521
p41	0	6.776709079742432	True	134425
p42	0	6.784414529800415	True	134315
p43	0	6.950623989105225	True	133806
