prefix	exit_code	elapsed_s
p1	0	8.352
p2	0	8.35
p3	0	8.459
p4	0	7.923
p5	0	7.859
p6	0	7.694
p7	0	7.93
p8	0	7.796
p9	0	7.829
p10	0	7.934
p11	0	8.485
p12	0	7.912
p13	0	7.777
p14	0	8.107
p15	0	7.789
p16	0	7.965
p17	0	7.639
p18	0	8.345
p19	0	7.912
p20	0	8.155
p21	0	8.231
p22	0	7.977
p23	0	8.001
p24	0	7.604
p25	0	7.875
p26	0	7.962
p27	0	7.67
p28	0	7.814
p29	0	7.717
p30	0	7.852
p31	0	7.744
p32	0	8.121
p33	0	7.858
p34	0	7.715
p35	0	7.951
p36	0	7.892
p37	0	7.706
p38	0	7.706
p39	0	8.015
p40	0	7.598
p41	0	7.705
p42	0	7.725
p43	0	7.772
