prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,1342,1342,1225.906504422607,188.70726374227465,1800.0
p2,2557,1347,1347,1799.9999999999998,188.00704914627264,1800.0
p3,2557,1333,1333,1175.7495373889647,189.04866737000532,1800.0
p4,2557,1347,1347,1753.5505113206946,198.13082162264035,1800.0
p5,2557,1329,1329,1123.217826692803,197.16230426922047,1800.0
p6,2557,1329,1329,1122.9408004836887,197.15789036102402,1800.0
p7,2557,1320,1320,1097.3952194286787,198.22352956211006,1800.0
p8,2557,1329,1329,1128.780189356124,196.5239808143349,1800.0
p9,2557,1319,1319,1094.6442845457464,197.93882847169354,1800.0
p10,2557,1325,1325,1108.6527677612119,199.41567390157562,1800.0
p11,2557,1310,1310,877.0024741427947,201.81051941988886,1800.0
p12,2557,1326,1326,1110.3558249519133,199.60635457997495,1800.0
p13,2557,1329,1329,1130.261612304784,196.67958336065905,1800.0
p14,2557,1319,1319,1100.135605173093,197.604751614345,1800.0
p15,2557,1322,1322,1105.569997503902,199.0806533614148,1800.0
p16,2557,1320,1320,1097.094938079205,198.18829029517005,1800.0
p17,2557,1321,1321,1102.558784290246,198.71914570005,1800.0
p18,2557,1319,1319,1094.8178003578291,197.95934558247467,1800.0
p19,2557,1323,1323,1107.2910120769882,199.26360421279153,1800.0
p20,2557,1333,1333,1177.0637402227374,189.54696405147618,1800.0
p21,2557,1342,1342,1225.8958379632618,188.66743007433587,1800.0
p22,2557,1329,1329,1130.6000369884166,196.68321064769168,1800.0
p23,2557,1328,1328,1125.675728917869,196.247540885192,1800.0
p24,2557,1323,1323,1106.8790650091546,199.22013555872033,1800.0
p25,2557,1326,1326,1100.7686199369564,202.93273303983543,1800.0
p26,2557,1327,1327,1123.5945808269287,196.09901666561177,1800.0
p27,2557,1321,1321,1101.2892917761772,198.60594781035567,1800.0
p28,2557,1329,1329,1127.346769694284,196.4852893121567,1800.0
p29,2557,1321,1321,1100.7750711225947,198.55817253834343,1800.0
p30,2557,1321,1321,1097.6658864705903,198.24426750284061,1800.0
p31,2557,1321,1321,1102.1339381731084,198.69096653969697,1800.0
p32,2557,1333,1333,1176.4572269833975,189.3474115379846,1800.0
p33,2557,1326,1326,1100.6327995735007,202.95560112759813,1800.0
p34,2557,1328,1328,1126.485837520018,197.59523718417273,1800.0
p35,2557,1326,1326,1098.6065524618089,202.74702319648097,1800.0
p36,2557,1327,1327,1123.4280737658644,197.21165214408,1800.0
p37,2557,1328,1328,1122.0141060645751,197.11607538377586,1800.0
p38,2557,1325,1325,1101.5987856983081,203.0113796211761,1800.0
p39,2557,1327,1327,1123.3687090581836,197.19492160623238,1800.0
p40,2557,1330,1330,1103.4420309136199,203.354475704387,1800.0
p41,2557,1327,1327,1124.245024528254,197.23148579402576,1800.0
p42,2557,1326,1326,1100.465865758799,202.92407821020925,1800.0
p43,2557,1328,1328,1123.6122937653477,197.27399986002166,1800.0
