prefix,active_days,ratio_count,ratio_min,ratio_median,ratio_max,ratio_std,frozwt_frdp_corr,max_frdp_mm,max_frozwt_mm
p1,470,470,0.19271905250308172,0.2932839556044889,0.36971514005532863,0.025065346031278968,0.9886125146134959,597.1821614622129,137.80719416338016
p2,473,473,0.10609748021288365,0.3020973211089455,0.38469227509160775,0.03217463831935352,0.8600303344957513,1756.6037758327177,186.37123434828848
p3,536,536,0.19096821101144545,0.2716519209867132,0.4035944032010278,0.04099467838001513,0.9821613146669943,1639.9350755585738,327.70546711959906
p4,484,484,0.1627294376528117,0.2638028778497259,0.3470908826569293,0.05150766392304576,0.9848851154247574,490.774886655666,128.56104002564038
p5,492,492,0.14499999999999996,0.2561952792912092,0.344484974319918,0.05391233781950352,0.98201082604026,951.9870425611773,239.094403090772
p6,477,477,0.14499999999999996,0.2600021151387507,0.3444378186601496,0.05598725741994033,0.9721872139047604,531.5611766613385,128.0842928113067
p7,470,470,0.117,0.2406896287160417,0.3996069077819686,0.06336380175910244,0.9726313906307733,478.3106098983534,120.21223929187902
p8,484,484,0.134,0.2504783130926526,0.3307168119717302,0.05635643324348295,0.9805584091750014,657.244442657583,199.55603622530379
p9,464,464,0.11699999999999999,0.23931007044174474,0.3971852872190715,0.06345582961706552,0.9772117880588064,430.8517552172829,117.97142661179798
p10,467,467,0.117,0.24139980159394114,0.4001254145366192,0.06295346347226288,0.9732500230464499,487.31231941981827,121.69462236764886
p11,429,429,0.12131815889065455,0.2340823592913392,0.4072389355809659,0.05966344732073088,0.9738990835699852,478.87955985320855,112.30664800271411
p12,465,465,0.117,0.24122184010241532,0.3999177752540622,0.06306808272311243,0.97746694807385,443.2388147550141,120.23362335028678
p13,473,473,0.13399999999999998,0.24908478571236123,0.3298152818897863,0.05562883505229173,0.9793468208452041,479.8931715688344,120.06888185353473
p14,467,467,0.117,0.23621941134584915,0.39771713798861136,0.06348885707326761,0.9717451301583904,442.88674634672543,120.17356443431953
p15,473,473,0.11699999999999999,0.2441135576760623,0.40003600112096477,0.0631526349588524,0.9781430143053558,480.97669360808203,138.42329299728823
p16,464,464,0.11699999999999998,0.2373813438764299,0.3992642542538964,0.06346854956520176,0.9730230662517297,487.3123190112256,121.69462236764886
p17,480,480,0.11699999999999999,0.24733696170215602,0.39907764969809484,0.06286275819373671,0.9798443668901236,434.70599894947645,118.670676601002
p18,464,464,0.11699999999999999,0.23797115060320206,0.3990005439659024,0.06411576480462432,0.9720386839846379,487.3123191215685,121.22870671523208
p19,470,470,0.11699999999999999,0.24131086778767363,0.4001773663722076,0.06144822162887962,0.9745140458134379,451.8033738510082,121.6946409336099
p20,462,462,0.19096821162732822,0.275004175321057,0.4053377294347834,0.035285463696592204,0.9843946363229611,548.7005560921867,132.0839302534991
p21,490,490,0.20751819369030824,0.2931530661600447,0.3697299773167329,0.027653908113900883,0.9842775159871525,1577.984311085433,327.4604539080945
p22,493,493,0.13399999999999998,0.25348578479259815,0.32977439083570026,0.05383254696143525,0.9953064627252107,1355.2544758524757,382.77941629577373
p23,506,506,0.134,0.2544306928824316,0.33181744495982846,0.05423902117184929,0.9976957450097688,1789.9130899451595,534.3208492747995
p24,466,466,0.117,0.24069092674108097,0.40007381932274244,0.06301020603348415,0.97327097181934,487.3123193159292,121.69462236764886
p25,485,485,0.1795,0.276014888392172,0.35949387686128,0.0507448404951354,0.9835644698700735,535.1915011646684,134.4287796730384
p26,466,466,0.134,0.2482185787625138,0.33236502893458936,0.05580397356863434,0.9750593431999327,578.0232834471122,121.145453720086
p27,471,471,0.117,0.23932469430825862,0.39989082778755786,0.06125252832510217,0.9738241928642203,581.7398588304062,137.94150598644293
p28,467,467,0.13399999999999998,0.24822159244346217,0.3306276684509321,0.05553494072757758,0.9752408803745026,578.0232835519357,121.145453720086
p29,470,470,0.11699999999999999,0.24172998921777214,0.399698948532046,0.06338599945526321,0.9747774948847184,444.4342062470685,120.43754371200902
p30,464,464,0.11699999999999999,0.23747721186077936,0.3996681969981655,0.06342096130274055,0.9731637203651223,487.3123189390289,121.69462236764886
p31,465,465,0.117,0.24005359150858507,0.3994288832861888,0.06289434758387553,0.9736336012977528,487.3123191111431,121.69462236764886
p32,461,461,0.20322687771799283,0.2753688202971526,0.40195205275331863,0.03412589543840327,0.9882200135133927,429.03717485562566,129.5608321674378
p33,485,485,0.1795,0.27621822601679585,0.35933755887453145,0.05073604164332966,0.9837474786902718,535.191501235051,134.49089809667876
p34,486,486,0.145,0.26360633794630284,0.34487793236493175,0.05616275499344636,0.9717565189268493,486.67035717912216,126.92832236011886
p35,487,487,0.17949999999999997,0.27628381773911653,0.3602756731960642,0.050099279688555376,0.9847190756915357,466.6055852482718,133.45218981636322
p36,477,477,0.145,0.2601318581352166,0.3444493276072482,0.055972356280382225,0.9721896622736987,531.5611766639373,128.0842928113067
p37,485,485,0.14499999999999996,0.2619072254215094,0.3445082255232166,0.05627535610915388,0.9680983235253933,514.4554710151702,126.65307133562742
p38,488,488,0.1795,0.27620312820119275,0.35913790299356824,0.05092077675258272,0.9790663901793096,496.63050551547025,133.98413937895273
p39,477,477,0.14499999999999996,0.26000126887286756,0.34443852952223214,0.05597858220384545,0.9717829609184071,531.56117666243,127.93840243326984
p40,492,492,0.17949999999999997,0.27644533327659476,0.35907994454557307,0.04997143751032894,0.9837980561520495,469.84350058308354,134.01007487116607
p41,477,477,0.14499999999999996,0.2603599756614547,0.344479264428073,0.05597639610074089,0.9721820940121689,531.5611766499209,128.0842928113067
p42,485,485,0.1795,0.27600930744997537,0.3596805844552015,0.05075244751122054,0.9836759045661613,535.1915011578453,134.49092773738369
p43,483,483,0.145,0.2607652062584014,0.34445946722278553,0.055204708618724285,0.9713812242541711,473.5048699207151,127.50151897692449
