prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,flux_balance_mm,initial_storage_mm,final_storage_mm
p1,1,0.9616983498027025,0.9616983498027025,-316.7767904930815,-317.7384888428842,605.8465601499813,289.06976965689984
p1,2,-9.947598300641403e-14,9.947598300641403e-14,-14.064861927030734,-14.064861927030634,289.06976965689984,275.0049077298691
p1,3,1.4921397450962104e-13,1.4921397450962104e-13,-4.6103083482947795,-4.610308348294929,275.0049077298691,270.3945993815743
p1,4,-1.7053025658242404e-13,1.7053025658242404e-13,-1.6626306192649167,-1.6626306192647462,270.3945993815743,268.7319687623094
p1,5,1.2789769243681803e-13,1.2789769243681803e-13,-0.8110307521015443,-0.8110307521016722,268.7319687623094,267.92093801020786
p1,6,-4.973799150320701e-14,4.973799150320701e-14,-0.4826011694781869,-0.48260116947813714,267.92093801020786,267.4383368407297
p1,7,0.0,0.0,-0.31695488040776354,-0.31695488040776354,267.4383368407297,267.1213819603219
p2,1,1.0505061950725292,1.0505061950725292,-232.51604599064268,-233.5665521857152,372.31597995994935,139.79993396930666
p2,2,2.842170943040401e-14,2.842170943040401e-14,-3.926302035564106,-3.9263020355641345,139.79993396930666,135.87363193374256
p2,3,1.7053025658242404e-13,1.7053025658242404e-13,-1.2291086336336718,-1.2291086336338424,135.87363193374256,134.6445233001089
p2,4,-3.552713678800501e-14,3.552713678800501e-14,-0.5928085975066892,-0.5928085975066537,134.6445233001089,134.0517147026022
p2,5,1.4210854715202004e-14,1.4210854715202004e-14,-0.34750934807314593,-0.34750934807316014,134.0517147026022,133.70420535452905
p2,6,1.270095140171179e-13,1.270095140171179e-13,-0.2290690580273349,-0.2290690580274619,133.70420535452905,133.47513629650172
p2,7,-8.526512829121202e-14,8.526512829121202e-14,-0.16241692382956785,-0.16241692382948258,133.47513629650172,133.31271937267215
p3,1,0.9295536754827367,0.9295536754827367,-268.520560002241,-269.4501136777237,554.8511975036711,286.3306375014301
p3,2,8.526512829121202e-14,8.526512829121202e-14,-12.51406638077873,-12.514066380778814,286.3306375014301,273.81657112065136
p3,3,-2.7711166694643907e-13,2.7711166694643907e-13,-3.667002171963304,-3.667002171963027,273.81657112065136,270.14956894868806
p3,4,1.2789769243681803e-13,1.2789769243681803e-13,-1.2707209027551016,-1.2707209027552295,270.14956894868806,268.87884804593295
p3,5,1.1368683772161603e-13,1.1368683772161603e-13,-0.6314870602092242,-0.6314870602093379,268.87884804593295,268.24736098572373
p3,6,1.4566126083082054e-13,1.4566126083082054e-13,-0.3801641849414068,-0.38016418494155246,268.24736098572373,267.8671968007823
p3,7,-1.1368683772161603e-13,1.1368683772161603e-13,-0.2515331392839357,-0.25153313928382204,267.8671968007823,267.6156636614984
p4,1,1.0116599279272407,1.0116599279272407,-135.03795363667058,-136.04961356459782,372.35482622709446,237.31687259042388
p4,2,5.3290705182007514e-14,5.3290705182007514e-14,-23.80973974521143,-23.809739745211484,237.31687259042388,213.50713284521245
p4,3,1.2434497875801753e-13,1.2434497875801753e-13,-8.744727903454447,-8.74472790345457,213.50713284521245,204.762404941758
p4,4,-2.842170943040401e-14,2.842170943040401e-14,-5.999692895202486,-5.9996928952024575,204.762404941758,198.76271204655552
p4,5,7.016609515630989e-14,7.016609515630989e-14,-4.4296050056127285,-4.429605005612799,198.76271204655552,194.3331070409428
p4,6,1.545430450278218e-13,1.545430450278218e-13,-1.8344243862183873,-1.8344243862185419,194.3331070409428,192.4986826547244
p4,7,4.263256414560601e-14,4.263256414560601e-14,-3.0023297883158193,-3.002329788315862,192.4986826547244,189.49635286640859
p5,1,1.0188868948757488,1.0188868948757488,-165.60474632255125,-166.623633217427,605.789371604914,440.18462528236273
p5,2,-2.842170943040401e-14,2.842170943040401e-14,-27.28543717176666,-27.28543717176663,440.18462528236273,412.89918811059607
p5,3,2.1316282072803006e-14,2.1316282072803006e-14,-10.135987519476373,-10.135987519476394,412.89918811059607,402.7632005911197
p5,4,9.237055564881302e-14,9.237055564881302e-14,-6.362509422447658,-6.362509422447751,402.7632005911197,396.40069116867204
p5,5,6.394884621840902e-14,6.394884621840902e-14,-7.462825290780017,-7.462825290780081,396.40069116867204,388.937865877892
p5,6,6.927791673660977e-14,6.927791673660977e-14,-1.5872841917624783,-1.5872841917625475,388.937865877892,387.35058168612954
p5,7,-8.526512829121202e-14,8.526512829121202e-14,-4.948144092782854,-4.948144092782769,387.35058168612954,382.4024375933467
p6,1,1.0205881414423175,1.0205881414423175,-165.6030411342291,-166.62362927567142,605.7876703583436,440.1846292241145
p6,2,-2.842170943040401e-14,2.842170943040401e-14,-27.285440773958555,-27.285440773958527,440.1846292241145,412.8991884501559
p6,3,9.237055564881302e-14,9.237055564881302e-14,-10.135987717277146,-10.135987717277239,412.8991884501559,402.7632007328788
p6,4,3.552713678800501e-14,3.552713678800501e-14,-6.362509491738706,-6.3625094917387415,402.7632007328788,396.40069124114007
p6,5,8.526512829121202e-14,8.526512829121202e-14,-7.462825313515623,-7.462825313515708,396.40069124114007,388.93786592762444
p6,6,-1.2256862191861728e-13,1.2256862191861728e-13,-1.5872842003362848,-1.5872842003361622,388.93786592762444,387.35058172728816
p6,7,1.1368683772161603e-13,1.1368683772161603e-13,-4.948144100409195,-4.9481441004093085,387.35058172728816,382.40243762687896
p7,1,1.0159890926325943,1.0159890926325943,-116.21073444800362,-117.22672354063621,554.764762086523,438.55402763851936
p7,2,-1.4921397450962104e-13,1.4921397450962104e-13,-27.098497408666333,-27.098497408666184,438.55402763851936,411.455530229853
p7,3,-3.552713678800501e-14,3.552713678800501e-14,-9.915792959261523,-9.915792959261488,411.455530229853,401.5397372705915
p7,4,-7.105427357601002e-15,7.105427357601002e-15,-6.345827970059929,-6.345827970059922,401.5397372705915,395.1939093005316
p7,5,-2.5579538487363607e-13,2.5579538487363607e-13,-7.670637846754175,-7.67063784675392,395.1939093005316,387.5232714537774
p7,6,1.2434497875801753e-14,1.2434497875801753e-14,-1.4283056303183912,-1.4283056303184036,387.5232714537774,386.094965823459
p7,7,4.973799150320701e-14,4.973799150320701e-14,-4.902467627306123,-4.902467627306173,386.094965823459,381.1924981961529
p8,1,1.0159890926337596,1.0159890926337596,-145.06185153549075,-146.0778406281245,570.2082575490879,425.14640601359713
p8,2,-1.5347723092418164e-12,1.5347723092418164e-12,-28.71179335619661,-28.711793356195074,425.14640601359713,396.4346126574005
p8,3,-2.3447910280083306e-13,2.3447910280083306e-13,-10.530796299706253,-10.530796299706019,396.4346126574005,385.90381635769427
p8,4,7.105427357601002e-15,7.105427357601002e-15,-6.428962308565644,-6.4289623085656515,385.90381635769427,379.4748540491286
p8,5,0.0,0.0,-7.743900140482708,-7.743900140482708,379.4748540491286,371.7309539086459
p8,6,-5.1514348342607263e-14,5.1514348342607263e-14,-1.4384039746813642,-1.4384039746813126,371.7309539086459,370.29254993396455
p8,7,-6.963318810448982e-13,6.963318810448982e-13,-5.002346925708537,-5.00234692570784,370.29254993396455,365.290203008256
p9,1,1.015989092633049,1.015989092633049,-116.21076461965265,-117.2267537122857,554.764762086523,438.5539974668703
p9,2,4.973799150320701e-14,4.973799150320701e-14,-27.098471425592436,-27.098471425592486,438.5539974668703,411.4555260412779
p9,3,7.815970093361102e-14,7.815970093361102e-14,-9.915790980432746,-9.915790980432824,411.4555260412779,401.53973506084515
