prefix,year,inputs,outputs,initial_soil_water_total,final_soil_water_total,delta_soil_water_total,residual_soil_only,abs_residual_soil_only,initial_total_soil_plus_frozwt,final_total_soil_plus_frozwt,delta_total_soil_plus_frozwt,residual_total_soil_plus_frozwt,abs_residual_total_soil_plus_frozwt
p1,2,970.4444774860931,1021.724011290486,397.56154084935525,418.8912085549022,21.329667705546967,-72.60920150993991,72.60920150993991,470.17074235928567,418.8912085549022,-51.27953380438345,-9.492850949754938e-12,9.492850949754938e-12
p1,3,886.6377659398838,952.4856229617083,418.8912085549022,353.0433515330779,-65.84785702182432,-1.1368683772161603e-13,1.1368683772161603e-13,418.8912085549022,353.0433515330779,-65.84785702182432,-1.1368683772161603e-13,1.1368683772161603e-13
p1,4,1133.2810899073563,982.1948277780184,353.0433515330779,407.22279813213555,54.179446599057655,96.90681553028026,96.90681553028026,353.0433515330779,504.1296136624303,151.0862621293524,-1.4495071809506044e-11,1.4495071809506044e-11
p1,5,810.4366666666667,938.3803727097118,407.22279813213555,243.27886387325904,-163.9439342588765,36.00022821583147,36.00022821583147,504.1296136624303,376.1859076193929,-127.94370604303742,-7.617018127348274e-12,7.617018127348274e-12
p1,6,750.7,803.6040649269352,243.27886387325904,247.91471028101373,4.635846407754684,-57.539911334689805,57.539911334689805,376.1859076193929,323.28184269245776,-52.90406492693512,0.0,0.0
p1,7,718.656296303368,720.2218083694963,247.91471028101373,198.2782885868845,-49.63642169412921,48.07090962800086,48.07090962800086,323.28184269245776,321.7163305347906,-1.5655121576671718,9.153882274404168e-08,9.153882274404168e-08
p2,2,970.571889862038,925.8201560545892,146.085766112464,255.05342954868203,108.96766343621803,-64.21592962876926,64.21592962876926,210.3016957412336,255.05342954868203,44.75173380744843,3.410605131648481e-13,3.410605131648481e-13
p2,3,887.7584684293508,925.0150746052573,255.05342954868203,217.79682337277578,-37.256606175906256,-1.7053025658242404e-13,1.7053025658242404e-13,255.05342954868203,217.79682337277578,-37.256606175906256,-1.7053025658242404e-13,1.7053025658242404e-13
p2,4,1132.0329750419444,1084.510358046117,217.79682337277578,178.7217710472971,-39.07505232547868,86.597669321306,86.597669321306,217.79682337277578,265.3194403686018,47.52261699582604,1.2789769243681803e-12,1.2789769243681803e-12
p2,5,810.4366666666667,853.898318724809,178.7217710472971,104.12614094136124,-74.59563010593585,31.133978047793605,31.133978047793605,265.3194403686018,221.857788310459,-43.46165205814282,5.684341886080801e-13,5.684341886080801e-13
