prefix,year,inputs,outputs,initial_soil_water_total,final_soil_water_total,delta_soil_water_total,residual_soil_only,abs_residual_soil_only,initial_total_soil_plus_frozwt,final_total_soil_plus_frozwt,delta_total_soil_plus_frozwt,residual_total_soil_plus_frozwt,abs_residual_total_soil_plus_frozwt
p1,2,970.4444774860931,999.8604354150826,355.2118434793532,381.40522378226035,26.193380302907144,-55.609338231896686,55.609338231896686,401.73780458899444,381.40522378226035,-20.332580806734086,-9.083377122255456,9.083377122255456
p1,3,886.6377659398838,951.1835101045816,381.40522378226035,316.85947961756284,-64.54574416469751,-2.8421709430404007e-13,2.8421709430404007e-13,381.40522378226035,316.85947961756284,-64.54574416469751,-2.8421709430404007e-13,2.8421709430404007e-13
p1,4,1133.2810899073563,989.1298092127738,316.85947961756284,382.6022897056248,65.74281008806196,78.40847060652055,78.40847060652055,316.85947961756284,446.9584949986702,130.09901538110734,14.052265313475175,14.052265313475175
p1,5,810.4366666666667,924.6566633301084,382.6022897056248,228.85584774536778,-153.74644196025702,39.52644529681538,39.52644529681538,446.9584949986702,310.5782578345902,-136.38023716407997,22.160240500638338,22.160240500638338
p1,6,750.7,806.2768979916921,228.85584774536778,236.10774751141366,7.251899766045881,-62.8287977577379,62.8287977577379,310.5782578345902,284.4148755040599,-26.163382330530283,-29.41351566116174,29.41351566116174
p1,7,718.656296303368,719.8134325548513,236.10774751141366,209.1870246245761,-26.920722886837552,25.763586635354272,25.763586635354272,284.4148755040599,281.25712580859357,-3.15774969546635,2.0006134439830703,2.0006134439830703
p2,2,970.571889862038,921.8131220683333,167.9985681325927,232.79091177496846,64.79234364237576,-16.033575848671063,16.033575848671063,181.4941297199511,232.79091177496846,51.29678205501736,-2.538014261312668,2.538014261312668
p2,3,887.7584684293508,941.2280033660709,232.79091177496846,179.32137683824882,-53.46953493671964,-3.979039320256561e-13,3.979039320256561e-13,232.79091177496846,179.32137683824882,-53.46953493671964,-3.979039320256561e-13,3.979039320256561e-13
p2,4,1132.0329750419444,1081.648705757653,179.32137683824882,178.5469136553216,-0.774463182927235,51.158732467218584,51.158732467218584,179.32137683824882,220.7448691295897,41.423492291340864,8.960776992950485,8.960776992950485
p2,5,810.4366666666667,846.9802666607818,178.5469136553216,112.06612497174959,-66.480788683572,29.937188689456917,29.937188689456917,220.7448691295897,164.70851840889677,-56.03635072069292,19.49275072657784,19.49275072657784
