prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,834,834,576.264320786213,87.38602751313147,1800.0
p2,2557,857,857,609.5619112734453,89.76645154042026,1800.0
p3,2557,820,820,574.0247839639139,83.6740897895911,1800.0
p4,2557,857,857,477.301475821728,72.41361142360826,1800.0
p5,2557,838,838,470.22663037588393,70.51197675755313,1800.0
p6,2557,839,839,470.3947318730555,70.53691032138063,1800.0
p7,2557,823,823,479.11874349877536,68.00028730715236,1800.0
p8,2557,836,836,530.0236467111324,69.07232454860588,1800.0
p9,2557,823,823,478.6619926779695,67.92972651214903,1800.0
p10,2557,827,827,480.2130983723353,68.17842693698424,1800.0
p11,2557,881,881,530.7100701123559,133.0800413406344,1800.0
p12,2557,827,827,480.2738095713911,68.19322406025626,1800.0
p13,2557,837,837,530.2943188973877,69.11496635302935,1800.0
p14,2557,823,823,478.4505713289298,67.88880657754697,1800.0
p15,2557,825,825,479.9623081040541,68.13982423876011,1800.0
p16,2557,823,823,479.1909484744987,68.00976787405376,1800.0
p17,2557,825,825,479.356967770298,68.0443192247196,1800.0
p18,2557,823,823,478.99578387434195,67.97756488967296,1800.0
p19,2557,827,827,480.07383316684593,68.15629462703784,1800.0
p20,2557,824,824,574.3639141990689,83.73004631455149,1800.0
p21,2557,833,833,576.0891988435076,87.35818312068594,1800.0
p22,2557,837,837,530.3060217802586,69.11574588109308,1800.0
p23,2557,836,836,529.87536997041,69.04810718723277,1800.0
p24,2557,827,827,480.03197005967934,68.14853999806394,1800.0
p25,2557,841,841,407.5069592033056,72.16154670024775,1800.0
p26,2557,836,836,529.7660244760915,69.02940575302986,1800.0
p27,2557,824,824,479.4248251443172,68.04988405175652,1800.0
p28,2557,836,836,530.1953994158703,69.09701259094919,1800.0
p29,2557,825,825,479.59946848022764,68.07976429512499,1800.0
p30,2557,823,823,479.151643642971,68.00328241021708,1800.0
p31,2557,825,825,479.5760731279385,68.073315071194,1800.0
p32,2557,820,820,574.1616735917205,83.69667659713026,1800.0
p33,2557,841,841,407.67013243879404,72.1893031754697,1800.0
p34,2557,839,839,470.68316622991296,70.58547594578567,1800.0
p35,2557,840,840,407.27981963962924,72.1239482631172,1800.0
p36,2557,839,839,470.54161781036765,70.5602658087915,1800.0
p37,2557,835,835,470.15416291951357,70.50108087512082,1800.0
p38,2557,841,841,407.7255264793059,72.1992912625151,1800.0
p39,2557,839,839,470.4511336883794,70.54587844928622,1800.0
p40,2557,841,841,407.95206792770426,72.23834521772345,1800.0
p41,2557,839,839,470.43739908155516,70.5436945881621,1800.0
p42,2557,841,841,407.49057324545896,72.15875937778489,1800.0
p43,2557,839,839,470.43567002704646,70.54434243589185,1800.0
