prefix,active_days,corr_frozwt_frdp,ratio_min,ratio_p10,ratio_median,ratio_p90,ratio_max,ratio_std
p1,793,0.924761396142816,0.1712153962788575,0.20323623815121913,0.251159710773411,0.3268828060717693,0.38581505830309526,0.04483669031557581
p2,767,0.8210678396408895,0.09428452158516709,0.13340868511445406,0.22495069363083547,0.29296348024611135,0.38781944174005806,0.05995435340040255
p3,818,0.932618045053946,0.1719623709934065,0.20358065827563507,0.24292995879050955,0.31957241739177245,0.3964892705699073,0.043433500023132156
p4,819,0.9292247177064029,0.14203436233520836,0.17145099788694368,0.23491059160598873,0.3036669533084437,0.384450763282426,0.04602987395873046
p5,839,0.9736263209205743,0.1963237376680339,0.23617803946024288,0.31562596814275296,0.39798060256161577,0.4447406432676494,0.060508748194064814
p6,839,0.9688229542510279,0.19679831707885065,0.23284447111812098,0.30972271419426256,0.39420826398719994,0.44400514585999024,0.060084284357020956
p7,869,0.9616032465261463,0.1797149803043874,0.21982113241306464,0.27690505830652684,0.3613519034477125,0.4238799620346248,0.057217729594363546
p8,852,0.963536279373424,0.17862827988878793,0.224153548336903,0.29456476792075675,0.37759731695315363,0.4459673172362986,0.06047420275204043
p9,868,0.9707373454983385,0.17990318402846367,0.2133039720292698,0.26081696241518626,0.3427912322013854,0.39501300571652814,0.04748772120179074
p10,870,0.9640348824120416,0.17970964826710087,0.21887737793599796,0.27093018696237425,0.3520622816311074,0.3960472437346644,0.053648112204537586
p11,828,0.9724433814168479,0.12165410907345227,0.15016506869623708,0.2730882688516465,0.3507147977339838,0.4341017242962172,0.0700106996666242
p12,872,0.9676458626306682,0.1798010196920246,0.2175033925806851,0.2665738249860746,0.34534700737835194,0.395455505357546,0.05049014763834788
p13,854,0.9622294768827241,0.1787833172302489,0.22392416110796667,0.29324191423159185,0.37601712754107697,0.4453652303718819,0.0603121408548166
p14,866,0.9713163013831122,0.1799029947013688,0.21527580243366828,0.26190691743045413,0.34209780123778666,0.39473654404609304,0.047977884552870644
p15,871,0.9626093606974966,0.17970875783780918,0.22003203975077623,0.27323215220657593,0.3556023294357989,0.40444078980675474,0.055383143882186674
p16,867,0.9642641916608851,0.17971087145740794,0.21842853275292248,0.26918680591302185,0.35123997694381176,0.39480458082440206,0.05342917385662536
p17,871,0.9710735234903807,0.17988755421982866,0.21745959349905927,0.26361622096149573,0.3410587322291327,0.3953135296632338,0.04834073088970826
p18,866,0.9667746581324774,0.17976307344015896,0.21750566882764286,0.2660434484913679,0.34591805340544274,0.39481070968309895,0.05123195455275325
p19,871,0.9624729648281309,0.17970969098307768,0.21998913595459554,0.2740317046300221,0.35603479019858364,0.4063496740037193,0.0556742003642107
p20,818,0.9321608944618662,0.17196818685714965,0.20369465368159143,0.24329280560894928,0.3197251734813634,0.396621559135721,0.043679167298313025
p21,794,0.925788347923406,0.17121538671141878,0.20316583608049638,0.2512934953893181,0.3269721106586087,0.3862754335395836,0.04453858216281358
p22,853,0.9673790065774881,0.1782950382273272,0.22496215973190348,0.29990036599670583,0.3805964609863103,0.4495890150847083,0.060405871106429664
p23,851,0.960839040444466,0.1789905570374316,0.22316542798989725,0.29129753704698236,0.3746460726710506,0.44881877987421526,0.06029328011157142
p24,870,0.9632798209787928,0.1797082349931653,0.2198785100497456,0.2728321723625054,0.35261154402081984,0.40078099296834785,0.0545945244764913
p25,791,0.9861047281453904,0.2334324784350085,0.2771417856855043,0.34512974733470025,0.4221666126920128,0.4554649324442481,0.054602162592559664
p26,850,0.9552875992965374,0.18005850462321565,0.2219356774742718,0.28304055168060166,0.3666494244039645,0.44626123365071146,0.05961156468549676
p27,869,0.9633496272777724,0.17972492209780652,0.2202599361662063,0.28392963498596435,0.3672406685288369,0.4223660395448218,0.057918716983665096
p28,851,0.9568887967280831,0.1820344380772189,0.21891610726034727,0.27016321122753156,0.3516502232251001,0.4130634278980288,0.05528232950394985
p29,869,0.9622687877970495,0.17971117538068943,0.22000493167028554,0.274608839413959,0.35697769546236396,0.40674221131167715,0.05604863960449559
p30,868,0.9626490154705628,0.17972112478361663,0.22015434985505453,0.2822483175034701,0.36592723372208624,0.4247746119149787,0.05777790906724669
p31,868,0.9664021526083365,0.179718326307672,0.2175090479058476,0.2672726486162374,0.3472003466924833,0.3949647124187174,0.051593333195200375
p32,819,0.9340627190940053,0.17196737498098777,0.20348277713584523,0.2423977848303758,0.3191203721848321,0.39638448050376124,0.042985331278907905
p33,791,0.985749350461561,0.23301261055565997,0.2763864287104167,0.34446318154123573,0.417836184586066,0.45350098899036534,0.0535810996255441
p34,841,0.9586359771611868,0.19837817789732745,0.23226271229141224,0.29896136791791533,0.38425671275077744,0.44227206916304357,0.0587373859604871
p35,790,0.9857955142170569,0.233166173471808,0.2765045760484013,0.34463632199867056,0.4193221758599308,0.4548397368561757,0.05401718086407211
p36,839,0.9681146087158021,0.1969177951300258,0.2326454102035402,0.3088332219619539,0.3929646584201307,0.4431745907331953,0.05986339288849162
p37,839,0.9586632197478399,0.1982889914815379,0.23205481977296988,0.29816808851833004,0.38460731338453436,0.4431648369528963,0.05908186536461986
p38,791,0.9861968090242199,0.2335855626945575,0.2777136681989523,0.345990081293432,0.4235544368523769,0.45411969262184604,0.05477177610254702
p39,839,0.9705406587355792,0.19666207768734575,0.23412103756028974,0.31244928896828017,0.3946671905463873,0.443388404810035,0.06007972611827171
p40,794,0.9815669460139281,0.22456113030571698,0.26836897261158954,0.3353318551576391,0.40562458595336465,0.44991422510032775,0.05183921482895754
p41,839,0.9770783959098812,0.19669833565468703,0.23820267649718568,0.32114546424355156,0.4007076933408294,0.4439661691716792,0.060505848114986494
p42,791,0.9858453275870953,0.23314359810313717,0.27664158301518,0.3445758941160187,0.4189119953185795,0.4546619354646507,0.053885869879776394
p43,839,0.9587321934402243,0.2015939762630074,0.23162253012618006,0.28513618618610226,0.3697230380117865,0.4223145782152175,0.05294606513729857
