prefix,simulation_year,julian,hour,legacy_frost_depth_mm,open_frdp_before_mm,open_frdp_after_mm,depth_delta_mm,legacy_snow_depth_mm,snow_depth_m,legacy_residue_depth_mm,residue_depth_m,hourly_air_temp_c,surface_temp_c,open_surface_resistance_m2_c_w,signed_surface_flux_w_m2,lower_front_heat_w_m2,signed_net_flux_w_m2,frzflg,open_hourly_advance_mm,legacy_hourly_delta_mm,front_layer,front_fine,front_upper_m,front_lower_m,near_boundary_mm,front_slsic_m,front_slsw_theta,soilf_sum_m,slsic_sum_m
p8,5,73,2,426.3,529.929065622,529.929065622,103.62906562200004,40.6,0.0,3.2,0.057535859395,1.317037386193,1.317037386193,1.422111981056,0.926113698314,0.0,0.926113698314,3,0.0,0.0,3,7,0.52,0.54,9.92906562200002,0.001563331382,0.15745,0.069072324549,0.069043744068
p8,5,73,3,426.3,529.929065622,529.929065622,103.62906562200004,39.2,0.0,3.2,0.057535859395,0.250528971754,0.250528971754,1.422111981056,0.176166838541,0.0,0.176166838541,3,0.0,0.0,3,7,0.52,0.54,9.92906562200002,0.001563331382,0.15745,0.069072324549,0.069041892012
p8,5,73,4,426.3,529.929065622,529.929065622,103.62906562200004,38.2,0.0,3.2,0.057535859395,-0.611393551101,-0.611393551101,1.422111981056,-0.429919415099,0.0,-0.429919415099,1,0.0,0.0,3,7,0.52,0.54,9.92906562200002,0.001563331382,0.15745,0.069072324549,0.069046512041
p8,5,73,5,426.5,529.929065622,529.929065622,103.42906562200004,37.3,0.0,3.2,0.057535859395,-1.236954687567,-1.236954687567,1.422111981056,-0.869801185873,0.0,-0.869801185873,1,0.0,0.1999999999999886,3,7,0.52,0.54,9.92906562200002,0.001563331382,0.15745,0.069072324549,0.069055859159
p8,5,73,6,426.6,529.929065622,529.929065622,103.32906562200004,36.7,0.0,3.2,0.057535859395,-1.603092603068,-1.603092603068,1.422111981056,-1.127261864341,0.0,-1.127261864341,1,0.0,0.1000000000000227,3,7,0.52,0.54,9.92906562200002,0.001563331382,0.15745,0.069072324549,0.069067973017
p8,5,73,7,426.7,529.929065622,529.982212012,103.282212012,34.8,0.0,3.2,0.057535859395,-1.683231150944,-1.683231150944,1.422111981056,-1.183613648831,0.0,-1.183613648831,1,0.053146389999938,0.0999999999999659,3,7,0.52,0.54,9.982212012000002,0.001571699281,0.15745,0.069072324549,0.069080692448
p8,5,73,8,426.7,529.982212012,530.023646711,103.32364671099998,30.7,0.0,3.2,0.057535859395,-0.863357545587,-0.863357545587,1.422137288861,-0.607084528582,0.0,-0.607084528582,1,0.0414346989999785,0.0,3,7,0.52,0.54,9.97635328900004,0.001578223175,0.15745,0.069072324549,0.069087216341
p8,5,73,9,426.7,530.023646711,530.023646711,103.32364671099998,24.1,0.0,3.2,0.057535859395,1.060817470741,1.060817470741,1.42215701967,0.745921481291,0.0,0.745921481291,3,0.0,0.0,3,7,0.52,0.54,9.97635328900004,0.001578223175,0.15745,0.069072324549,0.069079373795
p8,5,73,10,426.7,530.023646711,530.023646711,103.32364671099998,15.3,0.0,3.2,0.057535859395,3.770405234036,3.770405234036,1.42215701967,2.651187725326,0.0,2.651187725326,3,0.0,0.0,3,7,0.52,0.54,9.97635328900004,0.001578223175,0.15745,0.069072324549,0.069051500106
p8,5,73,11,426.7,530.023646711,530.023646711,103.32364671099998,4.3,0.0,3.2,0.057535859395,6.816352610097,6.816352610097,1.42215701967,4.792967665186,0.0,4.792967665186,3,0.0,0.0,3,7,0.52,0.54,9.97635328900004,0.001578223175,0.15745,0.069072324549,0.069001112589
p8,5,73,12,426.7,530.023646711,530.023646711,103.32364671099998,0.0,0.0,3.2,0.057535859395,9.693862435915,9.693862435915,1.42215701967,6.816309522673,0.0,6.816309522673,3,0.0,0.0,3,7,0.52,0.54,9.97635328900004,0.001578223175,0.15745,0.069072324549,0.068929464671
p8,5,73,13,426.7,530.023646711,530.023646711,103.32364671099998,0.0,0.0,3.2,0.057535859395,11.926052278123,11.926052278123,1.42215701967,8.385889963745,0.0,8.385889963745,3,0.0,0.0,3,7,0.52,0.54,9.97635328900004,0.001578223175,0.15745,0.069072324549,0.068841337024
p8,5,73,14,426.7,530.023646711,530.023646711,103.32364671099998,0.0,0.0,3.2,0.057535859395,13.142986953828,13.142986953828,1.42215701967,9.241586387469,0.0,9.241586387469,3,0.0,0.0,3,7,0.52,0.54,9.97635328900004,0.001578223175,0.15745,0.069072324549,0.068744241921
p20,5,78,3,373.7,573.641564388,573.747952566,200.047952566,81.1,0.0586,23.0,0.02302585093,-2.008106113413,-2.008106113413,1.077304602946,-1.864009592015,0.230507774385,-1.63350181763,1,0.1063881779999746,0.0999999999999659,3,9,0.56,0.58,6.252047433999985,0.002268412173,0.165,0.083600207179,0.083628412645
p20,5,78,4,373.7,573.747952566,573.891225439,200.191225439,82.8,0.0586,23.0,0.02302585093,-2.61880773682,-2.61880773682,1.077355263983,-2.430774531271,0.230938970683,-2.199835560588,1,0.1432728730000008,0.0,3,9,0.56,0.58,6.108774561000008,0.002292052197,0.165,0.083600207179,0.083652052669
p20,5,78,5,373.9,573.891225439,574.0601394680001,200.16013946800007,82.8,0.0586,23.0,0.02302585093,-3.043779365048,-3.043779365048,1.07742348916,-2.825053839712,0.231519677347,-2.593534162365,1,0.1689140290001205,0.1999999999999886,3,9,0.56,0.58,5.939860531999908,0.002319923012,0.165,0.083600207179,0.083679923484
p20,5,78,6,374.0,574.0601394680001,574.242476066,200.242476066,82.8,0.0586,23.0,0.02302585093,-3.266809641492,-3.266809641492,1.077503924412,-3.031830852286,0.232204333551,-2.799626518735,1,0.1823365979998925,0.1000000000000227,3,9,0.56,0.58,5.757523933999975,0.002350008551,0.165,0.083600207179,0.083710009023
p20,5,78,7,374.1,574.242476066,574.421669593,200.321669593,82.8,0.0586,23.0,0.02302585093,-3.215865595675,-3.215865595675,1.077590751364,-2.984310687155,0.232943421966,-2.751367265189,1,0.1791935270000522,0.1000000000000227,3,9,0.56,0.58,5.578330406999954,0.002379575483,0.165,0.083600207179,0.083739575954
p20,5,78,8,374.2,574.421669593,574.552860982,200.352860982,82.8,0.0586,23.0,0.02302585093,-2.422620419139,-2.422620419139,1.077676081614,-2.248004257003,0.233669797205,-2.014334459798,1,0.1311913889999232,0.0999999999999659,3,9,0.56,0.58,5.44713901799998,0.002401222062,0.165,0.083600207179,0.083761222534
p20,5,78,9,374.2,574.552860982,574.592447722,200.392447722,82.8,0.0586,23.0,0.02302585093,-0.90748066882,-0.90748066882,1.077738553705,-0.842023017272,0.234201608943,-0.607821408329,1,0.0395867400000042,0.0,3,9,0.56,0.58,5.4075522779999385,0.002407753874,0.165,0.083600207179,0.083767754346
p20,5,78,10,374.2,574.592447722,574.577183977,200.377183977,82.4,0.0586,23.0,0.02302585093,1.095472761443,0.0,1.077757404533,0.0,0.234362084894,0.234362084894,4,-0.0152637449999701,0.0,3,9,0.56,0.58,5.422816022999988,0.002405235356,0.165,0.083600207179,0.083765235828
