prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,flux_balance_mm,initial_storage_mm,final_storage_mm
p1,1,-0.9616983498207787,0.9616983498207787,-135.67581779069565,-136.63751614051642,605.8465601499813,470.17074235928567
p1,2,-9.464429240324534e-12,9.464429240324534e-12,-51.27953380438345,-51.27953380439291,470.17074235928567,418.8912085549022
p1,3,-8.526512829121202e-14,8.526512829121202e-14,-65.84785702182432,-65.84785702182441,418.8912085549022,353.0433515330779
p1,4,-1.4381384971784428e-11,1.4381384971784428e-11,151.0862621293524,151.08626212933802,353.0433515330779,504.1296136624303
p1,5,-7.65965069149388e-12,7.65965069149388e-12,-127.94370604303742,-127.94370604304508,504.1296136624303,376.1859076193929
p1,6,-1.2789769243681803e-13,1.2789769243681803e-13,-52.90406492693512,-52.90406492693525,376.1859076193929,323.28184269245776
p1,7,9.15387423638947e-08,9.15387423638947e-08,-1.5655121576671718,-1.5655120661284294,323.28184269245776,321.7163305347906
p2,1,-1.0505061950707386,1.0505061950707386,-162.01428421871574,-163.06479041378648,372.31597995994935,210.3016957412336
p2,2,4.405364961712621e-13,4.405364961712621e-13,44.75173380744843,44.75173380744887,210.3016957412336,255.05342954868203
p2,3,-2.4158453015843406e-13,2.4158453015843406e-13,-37.256606175906256,-37.2566061759065,255.05342954868203,217.79682337277578
p2,4,1.3500311979441904e-12,1.3500311979441904e-12,47.52261699582604,47.52261699582739,217.79682337277578,265.3194403686018
p2,5,4.760636329592671e-13,4.760636329592671e-13,-43.46165205814282,-43.46165205814234,265.3194403686018,221.857788310459
p2,6,1.3500311979441904e-13,1.3500311979441904e-13,-36.80168265674433,-36.8016826567442,221.857788310459,185.05610565371467
p2,7,-4.9649173661237e-13,4.9649173661237e-13,-4.420668289425407,-4.420668289425904,185.05610565371467,180.63543736428926
p3,1,-0.9295536754903253,0.9295536754903253,-113.68084516249763,-114.61039883798796,554.8511975036712,441.17035234117355
p3,2,-1.6768808563938364e-12,1.6768808563938364e-12,-19.94914100460818,-19.949141004609857,441.17035234117355,421.2212113365654
p3,3,-8.526512829121202e-14,8.526512829121202e-14,-67.66818094231058,-67.66818094231067,421.2212113365654,353.5530303942548
p3,4,-5.8548721426632255e-12,5.8548721426632255e-12,133.85471877934305,133.8547187793372,353.5530303942548,487.40774917359784
p3,5,-2.0321522242738865e-12,2.0321522242738865e-12,-112.60755438530276,-112.6075543853048,487.40774917359784,374.8001947882951
p3,6,2.0605739337042905e-13,2.0605739337042905e-13,-50.204879286089295,-50.20487928608909,374.8001947882951,324.5953155022058
p3,7,1.1938945299050374e-07,1.1938945299050374e-07,-0.3276492605659769,-0.3276491411765239,324.5953155022058,324.2676662416398
p4,1,-1.011659927925109,1.011659927925109,-71.8857486659561,-72.89740859388121,372.3548262270945,300.4690775611384
p4,2,2.5863755581667647e-12,2.5863755581667647e-12,88.23501006233295,88.23501006233553,300.4690775611384,388.70408762347137
p4,3,2.6005864128819667e-12,2.6005864128819667e-12,-105.08760485202527,-105.08760485202266,388.70408762347137,283.6164827714461
p4,4,2.1600499167107046e-12,2.1600499167107046e-12,52.98002127962559,52.98002127962775,283.6164827714461,336.5965040510717
p4,5,2.2026824808563106e-12,2.2026824808563106e-12,-56.8664796508985,-56.866479650896295,336.5965040510717,279.7300244001732
p4,6,1.2008172234345693e-12,1.2008172234345693e-12,-3.5559181783944496,-3.5559181783932488,279.7300244001732,276.17410622177874
p4,7,1.5774048733874224e-12,1.5774048733874224e-12,-17.055437147893826,-17.05543714789225,276.17410622177874,259.1186690738849
p5,1,-1.0188868948877143,1.0188868948877143,73.5348018582747,72.51591496338699,605.789371604914,679.3241734631887
p5,2,-2.681588284758618e-11,2.681588284758618e-11,96.62420089530781,96.62420089528099,679.3241734631887,775.9483743584965
p5,3,-2.8322233447397593e-11,2.8322233447397593e-11,-97.75832993899803,-97.75832993902635,775.9483743584965,678.1900444194985
p5,4,-2.6851409984374186e-11,2.6851409984374186e-11,28.965869098302505,28.965869098275654,678.1900444194985,707.155913517801
p5,5,-2.724220848904224e-11,2.724220848904224e-11,-54.07886423754303,-54.07886423757027,707.155913517801,653.0770492802579
p5,6,-2.845013113983441e-11,2.845013113983441e-11,-33.428908502284,-33.42890850231245,653.0770492802579,619.6481407779739
p5,7,-2.8187230327603174e-11,2.8187230327603174e-11,-24.333505075771882,-24.33350507580007,619.6481407779739,595.314635702202
p6,1,-1.0205881414574378,1.0205881414574378,69.68007898646783,68.6594908450104,605.7876703583436,675.4677493448114
p6,2,-2.617639438540209e-11,2.617639438540209e-11,95.79100942118839,95.79100942116222,675.4677493448114,771.2587587659998
p6,3,-2.630429207783891e-11,2.630429207783891e-11,-99.67075784231292,-99.67075784233923,771.2587587659998,671.5880009236869
p6,4,-2.5835333872237243e-11,2.5835333872237243e-11,31.095613277213488,31.095613277187653,671.5880009236869,702.6836142009004
p6,5,-2.744116045505507e-11,2.744116045505507e-11,-61.18293118562076,-61.1829311856482,702.6836142009004,641.5006830152796
p6,6,-2.97717406283482e-11,2.97717406283482e-11,-41.41783400068289,-41.41783400071266,641.5006830152796,600.0828490145967
p6,7,-2.914291030720051e-11,2.914291030720051e-11,-30.069244989424305,-30.06924498945345,600.0828490145967,570.0136040251724
p7,1,-1.0159890926417177,1.0159890926417177,43.73672840857307,42.720739315931354,554.7647620865231,598.5014904950962
p7,2,-1.4665602066088468e-11,1.4665602066088468e-11,87.41412542718899,87.41412542717433,598.5014904950962,685.9156159222852
p7,3,-1.3784529073745944e-11,1.3784529073745944e-11,-99.9419821184714,-99.94198211848519,685.9156159222852,585.9736338038138
p7,4,-1.4566126083082054e-11,1.4566126083082054e-11,39.61708901770578,39.617089017691214,585.9736338038138,625.5907228215195
p7,5,-1.48929757415317e-11,1.48929757415317e-11,-80.05190472179777,-80.05190472181266,625.5907228215195,545.5388180997218
p7,6,-1.4154011296341196e-11,1.4154011296341196e-11,-50.99162816441327,-50.991628164427425,545.5388180997218,494.5471899353085
