prefix,exit,wat,frsoil_active,wint_red_enabled,dfrost_final_m,dthaw_final_m,ws_frz_final_m,infcap_frz,row_count,sum_frozwt,max_frozwt,nonzero_frozwt_days,max_frdp,mean_frdp_positive,days_frdp_gt_200,Q,Dp,latqcc,RM,Irr
p1,0,True,True,True,0.4590051103883673,0.9987096838835141,0.06839176144786673,1.1111111111111112e-10,2557,104966.75556482185,265.53049815775745,793,1782.0838802534058,888.3667964218952,720,750.4926652844233,146.51823949106068,53.23695726431376,6281.356296303367,0.0
p2,1,False,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
p3,0,True,True,True,0.509053783226813,0.9614405245988159,0.07890333640015604,1.1111111111111112e-10,2557,113579.31169760306,276.33050909196936,818,1782.7774780127052,895.8065438725691,747,753.7275577436023,99.05220780141946,46.60939860425481,6281.18202753806,0.0
p4,0,True,True,True,0.44540448761732426,0.99869362226556,0.06372468433861216,9.000000000000001e-11,2557,103632.58345797948,254.85998067595116,819,1781.3470601744752,884.421554999448,741,1023.3655566933639,528.0363382898809,828.91908766446,6309.966242181957,0.0
p5,0,True,True,True,0.49795130579334396,0.9597745569630276,0.07419474456320825,9.000000000000001e-11,2557,111364.97847137772,265.5334470640301,839,1782.1036715706718,890.841433724854,759,1216.627190366528,625.9497361127401,151.53170197945212,6307.952701917682,0.0
p6,0,True,True,True,0.49779327796531253,0.9599215163065687,0.07417119841683156,9.000000000000001e-11,2557,110959.96572098267,265.53049815775745,839,1782.0838802534058,887.6016168255807,758,1180.4844484273447,625.9497361127401,227.79100301598265,6308.0278473787,0.0
p7,0,True,True,True,0.5461756485690203,0.9243230135967199,0.08465722552819817,9.170000000000002e-11,2557,120452.39820248538,276.3345728336229,869,1782.8036957007926,894.2603526670282,785,1134.25315325762,588.4181176974453,235.98360388141867,6307.824983649072,0.0
p8,0,True,True,True,0.5222793051686894,0.9419540521366525,0.07938645438564076,9.170000000000002e-11,2557,115939.9978662538,270.9336653979222,852,1782.4583249863306,895.2619059353675,772,1110.323834788259,625.949807743804,264.27843740129504,6308.168039671906,0.0
p9,0,True,True,True,0.540805673327761,0.9296641651073524,0.08382487936580296,9.170000000000002e-11,2557,120944.59090313248,276.42211315366234,868,1783.3684719591115,898.9489438318153,785,1056.6677644170177,446.2236133562996,576.4394055345616,6310.6,0.0
p10,0,True,True,True,0.5461840754851689,0.9243053208953823,0.0846585317002012,9.170000000000002e-11,2557,120108.90462955734,276.33050909196936,870,1782.7774780127052,890.6852401153677,785,1065.285867903232,566.3429387749859,369.4615141008044,6308.741767419513,0.0
p11,0,True,True,True,0.504246811717033,0.9662425547438195,0.07815825581614012,9.170000000000002e-11,2557,112296.08212394429,276.33050909196936,828,1782.7774780127052,874.9889521890625,748,659.4920000252363,484.11898769346544,184.57739681968363,6278.646589730059,0.0
p12,0,True,True,True,0.546073070799564,0.9244271051531493,0.08464132597393244,9.170000000000002e-11,2557,121052.38634524333,276.4200150510577,872,1783.3549358132752,895.6228643477606,786,1066.5466530693398,539.7933812615189,441.45397643940356,6308.799089474643,0.0
p13,0,True,True,True,0.5226845074328295,0.9415491414517733,0.07944804512979006,9.170000000000002e-11,2557,115956.71658153899,270.9333962794564,854,1782.4565544701084,893.2940695607283,773,1100.234844657714,625.949807743804,288.08612457146876,6308.291384351172,0.0
p14,0,True,True,True,0.5464203486991612,0.9240770165508437,0.08469515404837001,9.170000000000002e-11,2557,120180.162416604,276.3344827823176,866,1782.8031147246293,895.3301230470385,783,1035.9929412129957,483.09408602177876,545.5695285290401,6307.3354857386585,0.0
p15,0,True,True,True,0.5461411723738414,0.9243595389991304,0.08465188171794544,9.170000000000002e-11,2557,120581.73591877306,276.3333510338398,871,1782.7958131215464,893.164963658924,786,1106.815980528186,575.7622871278583,303.84334780153597,6308.486366097259,0.0
p16,0,True,True,True,0.5462145533407887,0.9242748430397614,0.08466325576782227,9.170000000000002e-11,2557,119845.97863537709,276.33050909196936,867,1782.7774780127052,891.810683003141,784,1067.067049687652,564.5840214044922,376.8372155330486,6307.897182122861,0.0
p17,0,True,True,True,0.5460890965563912,0.924397999513981,0.08464380996624064,9.170000000000002e-11,2557,121040.37671119827,276.421903609608,871,1783.367120061987,896.5621770393559,785,1058.970984484791,504.1230963485233,503.08267780192045,6308.160013483526,0.0
p18,0,True,True,True,0.5464886366950942,0.9240116126618388,0.08470573868773962,9.170000000000002e-11,2557,119869.00482426718,276.33165313547914,866,1782.7848589385749,893.0120302783818,784,1049.2337873710837,550.928276037447,436.4885141193805,6307.657840842103,0.0
p19,0,True,True,True,0.546375254981369,0.9241141413991814,0.0846881645221122,9.170000000000002e-11,2557,120207.888894107,276.33057779841874,871,1782.7779212801204,890.3958289997183,785,1090.2106432360765,577.5075972940517,300.8101157150661,6308.6518689741715,0.0
p20,0,True,True,True,0.5094947932725136,0.9609946031080356,0.07897169295723962,1.1111111111111112e-10,2557,113444.13643781384,276.33050909196936,818,1782.7774780127052,894.7404088478099,747,748.0802436375714,115.48029555003598,28.785004538847442,6281.339411137869,0.0
p21,0,True,True,True,0.45898097500596924,0.9987416002389947,0.06838816527588941,1.1111111111111112e-10,2557,105788.93795722428,265.53578212958223,794,1782.1193431515585,894.197572035436,722,763.9544934817156,147.5831026047095,52.12185907217393,6281.332595335036,0.0
p22,0,True,True,True,0.5226196441278429,0.9416140813321728,0.07943818590743211,9.170000000000002e-11,2557,115727.29401030511,270.93199740737384,853,1782.4473513643018,892.5718363230791,774,1132.3647785803557,625.949807743804,207.65915256670192,6308.324583861968,0.0
p23,0,True,True,True,0.5227058565845911,0.9415275334156983,0.07945129020085784,9.170000000000002e-11,2557,115730.18353166874,270.9331225180989,851,1782.454753408546,894.6918759019479,772,1094.179161145099,625.949807743804,306.28394849833876,6307.949823997282,0.0
p24,0,True,True,True,0.5464425732652021,0.9240468231153502,0.08469859885610634,9.170000000000002e-11,2557,120067.03801968668,276.33050909196936,870,1782.7774780127052,890.3747721148435,785,1077.125962147094,571.1811807769512,337.23633630830795,6308.620299825977,0.0
p25,0,True,True,True,0.39346227598698463,1.036814338240342,0.05410106294821037,7.499999999999999e-11,2557,94652.94746567632,244.830549083456,791,1780.5858115160443,870.2718994660507,702,1260.57045957428,625.9420084813244,78.23746002536595,6307.999435121367,0.0
p26,0,True,True,True,0.5223805857331685,0.9418417460011406,0.0794018490314416,9.170000000000002e-11,2557,115355.73158608985,270.93050373277646,850,1782.43752455774,892.846219706578,772,1041.719360749154,609.6282790861233,421.33734296395215,6307.894012041883,0.0
p27,0,True,True,True,0.5461081560359337,0.9243924387853938,0.08464676418556973,9.170000000000002e-11,2557,120274.59929923071,276.33258803525126,869,1782.7908905500076,892.9403415065941,784,1155.1180406545873,607.045556088177,153.06179612764203,6308.175341625654,0.0
p28,0,True,True,True,0.5222263335950844,0.9419959981392232,0.07937840270645281,9.170000000000002e-11,2557,115428.02402817542,270.93050373277646,851,1782.43752455774,892.3559282282102,772,987.7528350415787,582.9048257837907,557.5022620406655,6308.210896137089,0.0
p29,0,True,True,True,0.5462397971920842,0.9242600575000257,0.08466716856477306,9.170000000000002e-11,2557,120500.03119883974,276.3340404538887,869,1782.8002609928299,894.6139886323896,785,1118.3514611819287,580.4413406982005,276.6647395124786,6308.106234204143,0.0
p30,0,True,True,True,0.5465479987962122,0.9239413975843377,0.08471493981341291,9.170000000000002e-11,2557,119858.374621149,276.33050909196936,868,1782.7774780127052,890.8753874026237,784,1146.898954404584,602.4480493020055,173.44343643342978,6307.940900345979,0.0
p31,0,True,True,True,0.5465219963589377,0.923967400021614,0.08471090943563536,9.170000000000002e-11,2557,119953.23464077796,276.33050909196936,868,1782.7774780127052,891.5804566729444,784,1053.9122350292869,556.3584250789111,418.0760114094204,6308.282855999024,0.0
p32,0,True,True,True,0.5093321578395615,0.9611625062541505,0.07894648446513206,1.1111111111111112e-10,2557,114151.87653899913,276.3358005220136,819,1782.811616271055,899.2231008625713,749,783.2679856860748,82.46480611623096,58.51019810629652,6281.259887516484,0.0
p33,0,True,True,True,0.3933949049873793,1.0368819161281788,0.054091799435764636,7.499999999999999e-11,2557,94642.05127033517,244.8304745329835,791,1780.5852693307895,870.1717160816935,702,1235.299588598864,625.9420084813244,150.01951050909753,6308.029914053514,0.0
p34,0,True,True,True,0.49794039191283945,0.959785757731354,0.07419311839501308,9.000000000000001e-11,2557,111568.73340333298,265.5337064818013,841,1782.105412629539,890.3489246848429,760,1120.9070216473056,625.9497361127401,377.0351939367699,6308.289746675146,0.0
p35,0,True,True,True,0.39323827757886143,1.0370505696434453,0.05407026316709343,7.499999999999999e-11,2557,94862.90432242368,244.83284577680053,790,1780.6025147403682,873.3063689060872,702,1243.521232235073,625.9420084813244,126.1193533785326,6307.792638493758,0.0
p36,0,True,True,True,0.49771368064396004,0.9600011136279215,0.07415933841595004,9.000000000000001e-11,2557,110970.78098142208,265.53049815775745,839,1782.0838802534058,887.6881312958227,758,1175.7044922826826,625.9497361127401,241.06729876905825,6308.072216292434,0.0
p37,0,True,True,True,0.4976265819174451,0.9600982633896104,0.07414636070569931,9.000000000000001e-11,2557,111486.46742340017,265.53434942287953,839,1782.1097276703324,891.8132598203373,759,1124.348772452132,625.9497361127401,369.05259986805646,6307.893087764842,0.0
p38,0,True,True,True,0.39339510541934,1.036894046873414,0.05409182699515923,7.499999999999999e-11,2557,94789.69348390787,244.8316334027812,791,1780.5936974747729,871.5291896003484,702,1270.441903656116,625.9420084813244,56.42760238202523,6308.0407801032725,0.0
p39,0,True,True,True,0.4977842222129059,0.9599363174161614,0.07416984910972298,9.000000000000001e-11,2557,110989.51256181183,265.5308379759387,839,1782.0861609123403,887.8379707530686,758,1190.8468910975635,625.9497361127401,203.48776499354233,6308.040919476511,0.0
p40,0,True,True,True,0.3935455774879047,1.0367436446137541,0.05411251690458688,7.499999999999999e-11,2557,94906.79064533353,244.83165626568555,794,1780.593863750441,869.3088220319079,702,1163.049326205554,625.9420084813244,354.090222405458,6308.301070891588,0.0
p41,0,True,True,True,0.4976804595617155,0.9600343347101677,0.0741543884746956,9.000000000000001e-11,2557,110975.85620814886,265.53049815775745,839,1782.0838802534058,887.7287295369918,758,1229.1629028763082,625.9497361127401,92.88872159504486,6308.088111482084,0.0
p42,0,True,True,True,0.3934665289049848,1.0368102945513282,0.05410164772443539,7.499999999999999e-11,2557,94647.49418118196,244.8304745329835,791,1780.5852693307895,870.2217600844224,702,1241.3314102510674,625.9420084813244,131.306601168918,6307.997602142539,0.0
p43,0,True,True,True,0.49770595834038334,0.9600203721539285,0.07415818779271711,9.000000000000001e-11,2557,111193.7277225536,265.53204136207023,839,1782.0942373293303,889.4715482841799,760,1065.2858432892767,597.3363502205106,540.1246802326018,6308.080665696266,0.0
