prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,950,950,662.5128003882418,165.82320177869647,1800.0
p2,2557,974,974,740.1063016676253,167.8346855279305,1800.0
p3,2557,910,910,649.0999542591815,163.52906059272476,1800.0
p4,2557,1028,1028,741.4969698215496,176.80712315608756,1800.0
p5,2557,955,955,664.6992901232692,174.89405292909086,1800.0
p6,2557,956,956,664.9776574864459,174.8943271997558,1800.0
p7,2557,913,913,649.8559389221068,173.16570767766515,1800.0
p8,2557,959,959,677.7757710204047,172.98226342466793,1800.0
p9,2557,908,908,648.9567620333221,171.6162711437842,1800.0
p10,2557,928,928,652.8382100502781,173.06871593326568,1800.0
p11,2557,889,889,558.1869128158116,169.86517192823715,1800.0
p12,2557,922,922,653.1478779641836,173.5515920227093,1800.0
p13,2557,962,962,678.3098746954158,173.38945404891436,1800.0
p14,2557,905,905,648.1345621338289,169.76453170849743,1800.0
p15,2557,925,925,652.044363247955,176.2294940978748,1800.0
p16,2557,918,918,649.865637110386,172.97984457440003,1800.0
p17,2557,918,918,650.9075011458751,175.3452074411375,1800.0
p18,2557,914,914,649.352833009984,171.6427685077205,1800.0
p19,2557,927,927,652.4402757195883,175.1593793354041,1800.0
p20,2557,911,911,649.6080964227579,164.39497540614377,1800.0
p21,2557,946,946,662.3298117376063,165.74173759872357,1800.0
p22,2557,963,963,678.3374044859448,173.38638228916793,1800.0
p23,2557,954,954,677.2188871446524,171.84275088296107,1800.0
p24,2557,926,926,652.3375464029963,175.0221089672463,1800.0
p25,2557,975,975,623.8888146852803,180.6443115907668,1800.0
p26,2557,952,952,676.9086030621829,171.02657907303026,1800.0
p27,2557,924,924,650.8131592105163,174.9754561617367,1800.0
p28,2557,959,959,677.9892893513418,172.90244919251242,1800.0
p29,2557,919,919,650.9882092579145,174.8239335385277,1800.0
p30,2557,919,919,649.950751700848,173.30573094524115,1800.0
p31,2557,924,924,651.1646941065245,175.2122978322867,1800.0
p32,2557,908,908,649.4153090132845,164.06149333436113,1800.0
p33,2557,975,975,624.1440569234958,180.80864958621663,1800.0
p34,2557,955,955,665.9670587745713,176.41218274689442,1800.0
p35,2557,969,969,623.2496655523798,179.51823990222124,1800.0
p36,2557,956,956,665.2812572215958,175.23658966232753,1800.0
p37,2557,950,950,664.4344208326562,174.57671380654307,1800.0
p38,2557,976,976,624.2820889807609,181.12687801371345,1800.0
p39,2557,956,956,665.1312583122567,175.1386445307231,1800.0
p40,2557,981,981,625.0271502579272,182.23295816003554,1800.0
p41,2557,956,956,665.2623546513178,175.3516152012387,1800.0
p42,2557,975,975,623.8544001042251,180.60586760065706,1800.0
p43,2557,956,956,665.2343997553238,175.51042628015992,1800.0
