prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,1074,1074,693.1401333376058,177.74292219162805,1800.0
p2,2557,1113,1113,1015.7356392159068,178.6530495301298,1800.0
p3,2557,1018,1018,653.8051877107328,176.48714910014894,1800.0
p4,2557,1107,1107,1101.2022335005108,190.09731318411153,1800.0
p5,2557,1063,1063,709.0392514478058,187.79563804344133,1800.0
p6,2557,1065,1065,709.3775553047494,187.77715815995313,1800.0
p7,2557,1012,1012,668.0121932070352,187.39667780042288,1800.0
p8,2557,1057,1057,730.9643675929631,184.98677970479534,1800.0
p9,2557,1009,1009,666.888683253728,187.103323855802,1800.0
p10,2557,1023,1023,693.2414045259798,188.60352584224327,1800.0
p11,2557,980,980,591.5774110644164,181.44058172010224,1800.0
p12,2557,1024,1024,697.8993178442591,188.83591606306825,1800.0
p13,2557,1057,1057,734.7811603924447,185.160369961446,1800.0
p14,2557,1010,1010,666.2902948535027,186.75061316376076,1800.0
p15,2557,1019,1019,684.9491955279398,188.28064869217596,1800.0
p16,2557,1013,1013,668.1091747897483,187.3117033288363,1800.0
p17,2557,1015,1015,677.1212042357289,187.93775102009377,1800.0
p18,2557,1010,1010,667.1576777786851,187.10034558747387,1800.0
p19,2557,1020,1020,689.5864428075847,188.44308791626364,1800.0
p20,2557,1019,1019,654.1005391690477,176.93531380286865,1800.0
p21,2557,1073,1073,693.3469084413512,177.7224606657148,1800.0
p22,2557,1058,1058,734.9506863142133,185.16500121430397,1800.0
p23,2557,1052,1052,723.9424074103072,184.70762220771147,1800.0
p24,2557,1020,1020,688.4317537049452,188.39737785140346,1800.0
p25,2557,1084,1084,674.3990242666805,194.47050003122806,1800.0
p26,2557,1052,1052,720.3666251114839,184.54734938496546,1800.0
p27,2557,1014,1014,673.4035109396659,187.78141030360766,1800.0
p28,2557,1056,1056,730.2569309554309,184.94146282798684,1800.0
p29,2557,1014,1014,672.0796108624083,187.72807728865774,1800.0
p30,2557,1013,1013,668.3723670198019,187.3695355407102,1800.0
p31,2557,1014,1014,675.7436064023964,187.8403028669835,1800.0
p32,2557,1019,1019,654.0963279044958,176.769347910627,1800.0
p33,2557,1084,1084,675.046587730412,194.49691481087388,1800.0
p34,2557,1067,1067,720.5036631528316,188.23147853226956,1800.0
p35,2557,1081,1081,669.8680888180232,194.27717101047784,1800.0
p36,2557,1064,1064,710.9034818460442,187.831564566822,1800.0
p37,2557,1062,1062,708.0033098020018,187.75038717917178,1800.0
p38,2557,1083,1083,676.4695099559515,194.5582431781505,1800.0
p39,2557,1063,1063,710.3629837103043,187.8162427350893,1800.0
p40,2557,1083,1083,685.0896526411523,194.9180523102786,1800.0
p41,2557,1064,1064,711.4755169210489,187.84857431605568,1800.0
p42,2557,1084,1084,674.2017785521506,194.46264813331243,1800.0
p43,2557,1063,1063,712.4279904592838,187.89430535926036,1800.0
