prefix,open_max_depth_mm,profile_depth_mm,margin_to_profile_mm,open_frozen_days,open_days_above_200mm
p1,1791.4697234597702,1800.0,8.530276540229806,1123,1004
p10,1789.9706455032233,1800.0,10.029354496776705,1174,1070
p11,1789.9706455032233,1800.0,10.029354496776705,1209,1112
p12,1790.3045964523506,1800.0,9.695403547649448,1178,1075
p13,1790.6202497871423,1800.0,9.379750212857743,1214,1132
p14,1790.2937329969288,1800.0,9.706267003071162,1176,1071
p15,1790.2983615947894,1800.0,9.701638405210588,1177,1074
p16,1789.9706455032233,1800.0,10.029354496776705,1172,1068
p17,1790.3117225077506,1800.0,9.688277492249426,1177,1074
p18,1789.974951577988,1800.0,10.025048422012105,1174,1072
p19,1789.9709041135632,1800.0,10.029095886436835,1175,1070
p2,1792.1180512499395,1800.0,7.881948750060474,765,637
p20,1790.8090018130576,1800.0,9.190998186942352,1069,968
p21,1791.482620304909,1800.0,8.517379695090995,1127,1008
p22,1790.3100132915158,1800.0,9.689986708484184,1213,1131
p23,1790.3141075457397,1800.0,9.685892454260284,1214,1131
p24,1789.9706455032233,1800.0,10.029354496776705,1174,1069
p25,1791.1273247044535,1800.0,8.872675295546514,1264,1186
p26,1790.3045775461896,1800.0,9.695422453810352,1213,1130
p27,1789.9784703139574,1800.0,10.02152968604264,1175,1073
p28,1790.3045775461896,1800.0,9.695422453810352,1213,1130
p29,1790.2980482832925,1800.0,9.701951716707526,1175,1073
p3,1790.8140188279185,1800.0,9.185981172081483,1070,968
p30,1789.9706455032233,1800.0,10.029354496776705,1172,1068
p31,1789.9706455032233,1800.0,10.029354496776705,1173,1068
p32,1790.8262800266598,1800.0,9.173719973340212,1070,969
p33,1791.1273247044535,1800.0,8.872675295546514,1264,1186
p34,1791.4793536102463,1800.0,8.520646389753665,1260,1188
p35,1791.1298149363954,1800.0,8.870185063604595,1265,1188
p36,1791.4697234597702,1800.0,8.530276540229806,1259,1185
p37,1791.4772355789667,1800.0,8.522764421033344,1260,1186
p38,1791.128878071391,1800.0,8.871121928609,1265,1187
p39,1791.4697234597702,1800.0,8.530276540229806,1259,1185
p4,1793.0216922288394,1800.0,6.978307771160644,1029,884
p40,1791.1315418692523,1800.0,8.86845813074774,1265,1187
p41,1791.4697234597702,1800.0,8.530276540229806,1259,1185
p42,1791.1273247044535,1800.0,8.872675295546514,1264,1186
p43,1791.4726643136669,1800.0,8.527335686333117,1259,1186
p5,1791.475312237911,1800.0,8.524687762088888,1260,1186
p6,1791.4697234597702,1800.0,8.530276540229806,1259,1185
p7,1790.29777285017,1800.0,9.702227149829923,1175,1073
p8,1790.62027916161,1800.0,9.379720838390085,1214,1132
p9,1790.3125132126222,1800.0,9.687486787377793,1175,1075
