prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,wat_flux_balance_mm,initial_storage_mm,final_storage_mm,rm_mm,irr_mm,interception_mm,q_mm,ep_mm,es_mm,er_mm,dp_mm,latqcc_mm,tile_mm,ledger
p1,1,-0.9616983498052605,0.9616983498052605,-314.87099898262414,-315.8326973324294,605.8465601499813,290.97556116735717,1011.2,0.0,93.75848944941498,917.441510550585,261.46039920739497,0.051415715031445285,0.0,39.58006181663857,14.740820593364415,0.0,independent_wat_flux_minus_additive_storage_delta
p1,2,-5.778382217158651e-10,5.778382217158651e-10,-14.501708171513485,-14.501708172091323,290.97556116735717,276.4738529958437,970.4444774860931,0.0,87.40963838211141,883.0348391039818,14.50170817209121,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,3,7.993605777301127e-15,7.993605777301127e-15,-5.379741847765274,-5.379741847765266,276.4738529958437,271.0941111480784,886.6377659398838,0.0,77.43923411289717,809.1985318269867,5.379741847765266,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,4,-1.461053500406706e-13,1.461053500406706e-13,-2.055643146899513,-2.055643146899659,271.0941111480784,269.0384680011789,1133.2810899073563,0.0,102.08406391576321,1031.1970259915934,2.0556431468994316,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,5,-2.609024107869118e-14,2.609024107869118e-14,-0.9466939448107041,-0.9466939448107302,269.0384680011789,268.0917740563682,810.4366666666667,0.0,95.48794334925576,714.9487233174109,0.9466939448108439,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,6,-4.6074255521943996e-14,4.6074255521943996e-14,-0.5420885474628108,-0.5420885474628568,268.0917740563682,267.5496855089054,750.7,0.0,91.2840639157632,659.4159360842368,0.5420885474628568,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,7,1.4127587988355117e-13,1.4127587988355117e-13,-0.35127820519352326,-0.351278205193382,267.5496855089054,267.19840730371186,718.656296303368,0.0,95.89800008163374,622.7582962217341,0.3512782051934957,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,1,-1.0505061950726713,1.0505061950726713,-232.83733990981895,-233.88784610489162,372.31597995994923,139.47864005013028,1011.2,0.0,93.75848944941498,917.441510550585,181.95772588559802,0.02574169060131768,0.0,29.806876623208495,22.09750190548379,0.0,independent_wat_flux_minus_additive_storage_delta
p2,2,-1.4077627952246985e-13,1.4077627952246985e-13,-3.6636858345443386,-3.6636858345444794,139.47864005013028,135.81495421558594,970.571889862038,0.0,87.40963838211141,883.1622514799267,3.6636858345443657,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,3,-1.723066134218243e-13,1.723066134218243e-13,-1.1930095889155439,-1.1930095889157162,135.81495421558594,134.6219446266704,887.7584684293508,0.0,77.65144687972305,810.1070215496279,1.1930095889156025,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,4,7.005507285384738e-14,7.005507285384738e-14,-0.5770500214157153,-0.5770500214156452,134.6219446266704,134.04489460525468,1132.0329750419444,0.0,102.08406391576321,1029.9489111261812,0.5770500214156452,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,5,-2.609024107869118e-14,2.609024107869118e-14,-0.3419831263389028,-0.3419831263389289,134.04489460525468,133.70291147891578,810.4366666666667,0.0,95.57127668258909,714.8653899840776,0.3419831263389289,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
