prefix,max_frdp_mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,days_above_200mm,frozen_days
p1,1782.0838802534058,1800.0,17.916119746594177,False,720,793
p2,1782.2098057944054,1800.0,17.790194205594617,False,692,767
p3,1782.7774780127052,1800.0,17.22252198729484,False,747,818
p4,1781.3470601744755,1800.0,18.652939825524527,False,741,819
p5,1782.103671570672,1800.0,17.896328429327923,False,759,839
p6,1782.0838802534058,1800.0,17.916119746594177,False,758,839
p7,1782.8036957007926,1800.0,17.19630429920744,False,785,869
p8,1782.4583249863308,1800.0,17.54167501366919,False,772,852
p9,1783.3684719591117,1800.0,16.63152804088827,False,785,868
p10,1782.7774780127052,1800.0,17.22252198729484,False,785,870
p11,1782.7774780127052,1800.0,17.22252198729484,False,748,828
p12,1783.3549358132755,1800.0,16.64506418672454,False,786,872
p13,1782.4565544701084,1800.0,17.543445529891642,False,773,854
p14,1782.8031147246293,1800.0,17.196885275370732,False,783,866
p15,1782.7958131215466,1800.0,17.204186878453356,False,786,871
p16,1782.7774780127052,1800.0,17.22252198729484,False,784,867
p17,1783.3671200619872,1800.0,16.63287993801282,False,785,871
p18,1782.7848589385749,1800.0,17.21514106142513,False,784,866
p19,1782.7779212801204,1800.0,17.22207871987962,False,785,871
p20,1782.7774780127052,1800.0,17.22252198729484,False,747,818
p21,1782.1193431515585,1800.0,17.880656848441504,False,722,794
p22,1782.447351364302,1800.0,17.552648635698006,False,774,853
p23,1782.4547534085461,1800.0,17.54524659145386,False,772,851
p24,1782.7774780127052,1800.0,17.22252198729484,False,785,870
p25,1780.5858115160445,1800.0,19.414188483955513,False,702,791
p26,1782.4375245577403,1800.0,17.56247544225971,False,772,850
p27,1782.7908905500078,1800.0,17.209109449992184,False,784,869
p28,1782.4375245577403,1800.0,17.56247544225971,False,772,851
p29,1782.8002609928299,1800.0,17.199739007170137,False,785,869
p30,1782.7774780127052,1800.0,17.22252198729484,False,784,868
p31,1782.7774780127052,1800.0,17.22252198729484,False,784,868
p32,1782.8116162710553,1800.0,17.1883837289447,False,749,819
p33,1780.5852693307895,1800.0,19.414730669210485,False,702,791
p34,1782.105412629539,1800.0,17.894587370461068,False,760,841
p35,1780.6025147403682,1800.0,19.39748525963182,False,702,790
p36,1782.0838802534058,1800.0,17.916119746594177,False,758,839
p37,1782.1097276703326,1800.0,17.89027232966737,False,759,839
p38,1780.593697474773,1800.0,19.40630252522692,False,702,791
p39,1782.0861609123403,1800.0,17.913839087659653,False,758,839
p40,1780.593863750441,1800.0,19.40613624955904,False,702,794
p41,1782.0838802534058,1800.0,17.916119746594177,False,758,839
p42,1780.5852693307895,1800.0,19.414730669210485,False,702,791
p43,1782.0942373293303,1800.0,17.905762670669674,False,760,839
