prefix,phase,year,month,day,soil_water_before_m,soil_water_after_m,prior_ws_frz_m,ws_frz_m,freeze_debit_m,thaw_credit_m,net_liquid_delta_m,frdp_m,thdp_m,tfrdp_m,tthawd_m,fine_ice_m,fine_ice_capacity_m,fine_ice_excess_m,aggregate_frzw_m,aggregate_ul_m,aggregate_frzw_ul_excess_m,shadow_total_water_before_m,shadow_total_water_after_m,shadow_wb_delta_m,shadow_frwatc_residual_m
p43,HydrologyRunoffReconciliation,1,1,1,0.605774959913393,0.225481649051048,0.0,0.380293310862346,0.380293310862346,0.0,-0.380293310862346,1.156515048762963,0.0,0.0,0.0,0.380293310862346,0.338343537891911,0.041949772970434,0.204438628791716,0.543517677999698,0.0,0.605774959913393,0.605774959913393,0.0,0.0
p43,HydrologyRunoffReconciliation,1,1,2,0.2252024101379,0.22697841510716,0.380293310862346,0.378517305893085,0.0,0.001776004969261,0.001776004969261,1.151137581159807,0.0,0.0,0.0,0.378517305893085,0.336670161124929,0.041847144768156,0.203442356624913,0.543517677999698,0.0,0.605774959913393,0.605495721000246,-0.000279238913148,0.0
p43,HydrologyRunoffReconciliation,1,1,3,0.226686555355563,0.229340305611827,0.378517305893085,0.375863555636821,0.0,0.002653750256265,0.002653750256265,1.143102436958677,0.0,0.0,0.0,0.37586355563682,0.33416976044978,0.041693795187041,0.201953702277812,0.543517677999698,0.0,0.605495721000246,0.605203861248648,-0.000291859751598,-0.0
p43,HydrologyRunoffReconciliation,1,3,88,17.41234488688627,17.43700500540375,0.049617902165927,0.024957783648446,0.0,0.02466011851748,0.02466011851748,0.080813144032545,0.0,0.0,0.0,0.024957783648446,0.023739862929077,0.001217920719369,0.013239877763727,0.543517677999698,0.0,17.46601481523937,34.144551970779744,16.678537155540376,0.0
p43,HydrologyRunoffReconciliation,1,3,89,34.11464384566234,34.13960162931079,0.024957783648446,0.0,0.0,0.024957783648446,0.024957783648446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543517677999698,0.0,34.144551970779744,50.87453527512448,16.729983304344742,-7e-15
p43,HydrologyRunoffReconciliation,1,3,90,50.87053104640695,50.87053104640695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543517677999698,0.0,50.87453527512448,50.87053104640694,33.39699010794996,-33.4009943366675
p43,HydrologyPercolationDeepSeepage,1,4,91,50.87053104640695,50.87053104640695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543517677999698,0.0,50.87053104640694,50.87053104640694,0.0,0.0
p43,HydrologyRunoffReconciliation,1,4,91,50.866819251812814,50.866819251812814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543517677999698,0.0,50.87053104640694,50.86681925181281,-0.003711794594125,-7e-15
p43,HydrologyRunoffReconciliation,1,4,92,50.86272206574554,50.86272206574554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543517677999698,0.0,50.86681925181281,50.86272206574553,-0.004097186067277,-0.0
p43,HydrologyRunoffReconciliation,1,4,93,50.85814833490252,0.00410904560853,0.0,50.85403928929399,50.85403928929399,0.0,-50.85403928929399,1.791036190346341,0.0,0.0,0.0,50.85403928929392,0.540654601933031,50.324510845402415,50.58972525883585,0.543517677999698,50.049070656902806,50.86272206574553,50.85814833490252,-0.00457373084302,7e-15
