prefix,active_days,corr_frozwt_frdp,ratio_median,ratio_std,ratio_min,ratio_max
p1,1297,0.9476776660381782,0.34958790621269736,0.07162743624905923,0.0006421818233097887,0.44118335997238517
p2,1082,0.8693711904880052,0.24090627756985433,0.07782592487387568,0.009997228705301443,0.4487060589622642
p3,1301,0.9414023852236931,0.3422536584224112,0.07209038539361763,0.0019324946665259088,0.4661299132075472
p4,1309,0.9224257716314305,0.2509074110852922,0.10251853107060625,0.0037009707496759776,0.44870605896226445
p5,1421,0.9161343481587921,0.3109107586255143,0.08184891926674909,0.008907392030454042,0.44023763859253706
p6,1421,0.9151361126634453,0.3105929655706191,0.0820018968688707,0.0015437682438277126,0.44023706378474065
p7,1449,0.9254802923353559,0.29763804830844864,0.08249205279934492,0.0016788927674990788,0.4661299132075483
p8,1436,0.91969117276452,0.29055021960982425,0.09269371470762461,0.000860189047037889,0.4746134716981133
p9,1447,0.9270033881245011,0.29731545547900334,0.0812710454830958,0.0010465217357998812,0.466129913207548
p10,1454,0.9230810394548066,0.2991209539546164,0.08291215586086995,0.0023533288456752503,0.46612991320754726
p11,1369,0.9186474648799261,0.31469484121129093,0.08020930960105674,0.007319856903082321,0.46612991320754804
p12,1455,0.9229291846503676,0.29868005001030246,0.08302558969180093,0.0021693820617904188,0.46612991320754776
p13,1430,0.920253011737308,0.2892752893530477,0.09086454008077187,0.002320528606389684,0.47461347169811435
p14,1457,0.9239938233912082,0.2989200921587016,0.08277870776181756,0.0011281837696428983,0.46612991320754726
p15,1455,0.9232196395531522,0.29871942637358245,0.0833875675815406,0.0024037664939891533,0.4661299132075472
p16,1446,0.9255486239187357,0.29766924252706994,0.08138281432981254,0.0020789162042862365,0.4661299132075472
p17,1453,0.9244011819997776,0.29771324555875567,0.08301216004915417,0.0022233653254019412,0.46612991320754754
p18,1456,0.9246539982047283,0.29858982988437643,0.08249501894159021,0.0022679044233074896,0.4661299132075478
p19,1454,0.9231641785108603,0.2989875177301925,0.08295059645525524,0.0023370624604255132,0.4661299132075476
p20,1293,0.9254689620672004,0.33113923365837405,0.07816909937893826,0.00013825007257097996,0.46612991320754815
p21,1297,0.9483518527416532,0.34914850080073,0.0713089339716769,0.006156861861492662,0.4412045218294257
p22,1430,0.920760797251985,0.28901280081894043,0.09109663727668987,0.000664153384902325,0.47461347169811363
p23,1429,0.9203567080335787,0.2889145709896659,0.09050300536109554,0.009115978737940705,0.47461347169811396
p24,1454,0.9231968325053377,0.29907142793577246,0.08306758555010127,0.0023350910069966867,0.4661299132075474
p25,1441,0.9203925108644819,0.32486691191953493,0.0875150495446549,0.008841113643372228,0.4714300296072061
p26,1430,0.9223020875697903,0.28970844179237953,0.08975255777086141,0.009029388076722435,0.47461347169811335
p27,1452,0.9234194040949433,0.29803435563023706,0.08361817717542262,0.0023513928294933675,0.46612991320754715
p28,1438,0.9209328417967751,0.293031042567199,0.09244821513418511,0.0023357306987993134,0.4746134716981137
p29,1454,0.9237875932538113,0.2978933325367519,0.08378866215732513,0.001955365341725806,0.4661299132075478
p30,1444,0.925176034058523,0.29766882516095367,0.08103865154252884,0.0022380248293126246,0.4661299132075469
p31,1451,0.9234530294368882,0.29809436061615807,0.08333521611488072,0.0022947947006970158,0.46612991320754776
p32,1366,0.9380738250064045,0.3349858273590752,0.07532209856212478,0.002732201355651819,0.4661299132075474
p33,1441,0.9203712993263924,0.3249087332307517,0.08752063862265716,0.006111776029866119,0.4714265046412638
p34,1423,0.923248743155981,0.3260640182035453,0.07853600173749434,0.00031343481027137893,0.4402342223486127
p35,1441,0.9203660880834006,0.3240162828676884,0.08768295087054213,0.008762922595216115,0.471457103017877
p36,1421,0.9151155921188218,0.3106007538919133,0.08232935306055414,0.0015336343006734034,0.4402371799511946
p37,1421,0.916157414379249,0.3108899142819501,0.0818359336787978,0.008812371569574817,0.4402374150513983
p38,1439,0.9198269710586203,0.3242186657967785,0.08767401753465452,0.008822346876157962,0.47142567946060393
p39,1421,0.915100916160392,0.3106148652418494,0.08231174599840062,0.001033979567856203,0.4402370797493052
p40,1440,0.9200316186316215,0.32536004788777917,0.08750717082364994,0.008839009196828423,0.47144378489982447
p41,1421,0.9150924971237314,0.3105936031552629,0.08225346366360996,0.001522217987909031,0.44023725277099973
p42,1441,0.9203970118993843,0.324874399935162,0.08751572467948646,0.00884407114575004,0.47143275192090894
p43,1422,0.9151408532497395,0.3106018096894221,0.08250568734075461,0.00068214414195032,0.44023784639926417
