prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,874,874,581.028296134498,88.14349962245416,1800.0
p2,2557,899,899,616.5385754860384,90.5089473584692,1800.0
p3,2557,853,853,578.634961747191,84.43476929686611,1800.0
p4,2557,864,864,484.1251357309388,73.32253387995989,1800.0
p5,2557,848,848,479.1871395181549,71.69980013174354,1800.0
p6,2557,848,848,479.40124758580214,71.73491680351803,1800.0
p7,2557,834,834,487.910614651981,69.21380201193935,1800.0
p8,2557,847,847,538.5134914684227,70.17601116756663,1800.0
p9,2557,833,833,487.25253731172677,69.10339635211662,1800.0
p10,2557,837,837,488.93281543312185,69.38392573318825,1800.0
p11,2557,954,954,530.2558204770463,143.26022038379696,1800.0
p12,2557,838,838,489.0522241830561,69.401171203372,1800.0
p13,2557,847,847,538.7302098290781,70.21012783992666,1800.0
p14,2557,834,834,487.13928569531146,69.08719304358911,1800.0
p15,2557,836,836,488.6778493065969,69.34022838543045,1800.0
p16,2557,834,834,487.9451239267729,69.22087249894786,1800.0
p17,2557,836,836,488.30375054346774,69.27691218776897,1800.0
p18,2557,833,833,487.491480046906,69.14598259649465,1800.0
p19,2557,837,837,488.9365755127045,69.3839576679656,1800.0
p20,2557,854,854,578.840194907837,84.46863278875874,1800.0
p21,2557,873,873,580.9618245445997,88.13293063242517,1800.0
p22,2557,848,848,538.8012955193103,70.22189044907353,1800.0
p23,2557,847,847,538.1228638261343,70.11495844274924,1800.0
p24,2557,837,837,488.81991249565147,69.36528713383295,1800.0
p25,2557,850,850,416.3464911626364,73.42587251384064,1800.0
p26,2557,848,848,538.2093772096941,70.129473443561,1800.0
p27,2557,836,836,488.2455189050644,69.26953243038409,1800.0
p28,2557,848,848,538.5903355482867,70.18948670794963,1800.0
p29,2557,835,835,487.9986022061963,69.22822191848529,1800.0
p30,2557,835,835,488.08620069478803,69.24416218667153,1800.0
p31,2557,836,836,488.27805025089003,69.27583370876025,1800.0
p32,2557,852,852,578.716255701315,84.44818281119413,1800.0
p33,2557,850,850,416.44307034203405,73.44230927715218,1800.0
p34,2557,848,848,479.86478537609634,71.80710742314666,1800.0
p35,2557,850,850,416.1483027612484,73.39153703540586,1800.0
p36,2557,848,848,479.378831622387,71.73135074394268,1800.0
p37,2557,848,848,479.4065106473477,71.73437928546433,1800.0
p38,2557,850,850,416.54677215644483,73.45961261669386,1800.0
p39,2557,848,848,479.4646016464108,71.74499552922873,1800.0
p40,2557,850,850,416.89149444973606,73.5179372449814,1800.0
p41,2557,848,848,479.4607928246067,71.74438960007467,1800.0
p42,2557,850,850,416.33058844459543,73.42316603799551,1800.0
p43,2557,848,848,479.48348244784484,71.74742764391075,1800.0
