prefix,row_count,legacy_max_depth_mm,open_max_depth_mm,max_depth_delta_mm_open_minus_legacy,open_days_gt_200mm,legacy_days_gt_200mm,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_frozen_days_wat,open_frozen_days_wat,frozen_days_delta_open_minus_legacy
p1,969,387.9,1781.841005021821,1393.9410050218212,308,211,337.7563391357991,533.6897359469916,0.057776971474750444,827,343,-484
p2,960,280.0,1782.053940495118,1502.053940495118,300,81,320.32288446912503,556.4432258936661,-0.016034832940143986,825,332,-493
p3,966,384.5,1782.5434335082493,1398.0434335082493,323,266,361.89764944558766,547.8682388211452,-0.009353307870226594,815,353,-462
p4,1038,240.0,1781.1095892715896,1541.1095892715896,328,15,320.45417844031357,588.830677479943,-0.22026959360152648,928,359,-569
p5,1046,420.0,1781.8494485962367,1361.8494485962367,342,175,371.3861260310469,596.0917414010012,-0.29348781475630153,910,373,-537
p6,1046,420.0,1781.841005021821,1361.841005021821,342,178,369.33170506644814,591.896319500715,-0.293258021160456,910,372,-538
p7,1033,420.0,1782.5542052066824,1362.5542052066824,355,186,392.0179888984333,613.5312470600219,-0.31955647859235825,888,387,-501
p8,1046,440.0,1782.2104030117969,1342.2104030117969,349,186,374.877603885031,602.3817419168755,-0.2651409485971025,911,379,-532
p9,1037,460.0,1783.3690464550207,1323.3690464550207,356,198,400.00602782789997,620.2350473182163,-0.32863034344796843,894,387,-507
p10,1048,421.1,1782.5434335082493,1361.4434335082492,355,187,383.81196416670105,604.0843827843961,-0.311324550578523,902,386,-516
p11,983,503.2,1782.5434335082493,1279.3434335082493,323,111,315.43138663214677,531.7045181198763,0.10273505141952904,819,360,-459
p12,1040,440.0,1783.3555399120778,1343.3555399120778,356,194,394.9027871952099,617.2558016262228,-0.3300585414821129,892,388,-504
p13,1044,440.0,1782.2106467531862,1342.2106467531862,349,183,375.65153985192075,602.9661790316068,-0.2669755391141558,909,379,-530
p14,1036,460.0,1782.5481014472246,1322.5481014472246,355,195,394.0807413565432,612.0573538482523,-0.31915767618843544,895,386,-509
p15,1046,420.0,1782.5564058450038,1362.5564058450038,355,186,386.7706463361653,609.6540620518559,-0.30830191290796377,901,387,-514
p16,1041,424.1,1782.5434335082493,1358.4434335082492,355,192,387.4944044439,605.8559463097065,-0.3165397185421089,897,386,-511
p17,1038,440.0,1783.367697612913,1343.367697612913,356,195,397.967386771466,618.9573785518252,-0.3309393203440552,894,387,-507
p18,1042,440.0,1782.5434335082493,1342.5434335082493,355,193,388.5588364489028,606.4429556351151,-0.3163881991418305,899,386,-513
p19,1046,420.0,1782.5480420678741,1362.5480420678741,355,185,384.47333108696705,605.7135616460208,-0.30932236398601104,901,386,-515
p20,967,374.3,1782.5434335082493,1408.2434335082494,322,262,360.97808140795127,547.222662672221,-0.016721548180087465,816,353,-463
p21,969,387.0,1781.8588953181634,1394.8588953181634,310,211,343.17716230480784,542.1948572285023,0.07032512707685823,821,344,-477
p22,1044,426.1,1782.2058062944175,1356.1058062944176,349,180,373.27114345647584,600.2059870175626,-0.26273935279603605,910,379,-531
p23,1047,440.0,1782.2061742972733,1342.2061742972733,349,188,375.01789477061,600.7570109874266,-0.26917721885175083,912,379,-533
p24,1047,420.0,1782.5434335082493,1362.5434335082493,355,185,383.5330916238592,604.0235312014047,-0.3085544403660207,901,386,-515
p25,1040,400.0,1780.3234724322144,1380.3234724322144,314,119,338.8542334217749,570.4580431239519,-0.24584906687144964,917,349,-568
p26,1050,440.0,1782.1991460547245,1342.1991460547245,348,191,373.24972955281004,596.6119776659889,-0.2716765653640781,914,379,-535
p27,1038,420.0,1782.550629449679,1362.550629449679,355,182,387.66026910626124,609.2506439788398,-0.3130698918818446,894,386,-508
p28,1052,440.0,1782.1991460547245,1342.1991460547245,348,189,373.0557314242666,596.3067559242822,-0.27134693210788613,917,379,-538
p29,1037,420.0,1782.555192026106,1362.555192026106,355,187,390.9312178472102,612.4912815252237,-0.3191536468620083,892,387,-505
p30,1035,420.0,1782.5434335082493,1362.5434335082493,355,184,387.3144008333296,606.7447332636959,-0.31460934415437175,891,386,-505
p31,1047,440.0,1782.5434335082493,1342.5434335082493,355,190,385.72284744756513,604.4398743981228,-0.31307472602444936,906,386,-520
p32,968,403.3,1782.5540301768217,1379.2540301768217,323,264,366.7794156363275,553.5226390426062,-0.0047833965423205,814,354,-460
p33,1040,400.0,1780.3234724322144,1380.3234724322144,314,85,334.0621684192923,569.244773991172,-0.2275560852912045,918,349,-569
p34,1041,420.0,1781.8538990567865,1361.8538990567865,343,156,374.35267902691095,599.6374565900207,-0.3002350248519828,904,373,-531
p35,1039,400.0,1780.3284033472291,1380.3284033472291,315,119,341.25309317699094,573.6135724978096,-0.24849725753044083,915,349,-566
p36,1045,420.0,1781.841005021821,1361.841005021821,342,178,369.67003996946454,592.2472368408764,-0.2940708345396669,909,372,-537
p37,1035,420.0,1781.8522030541405,1361.8522030541405,343,145,370.14661264858177,599.5402848274406,-0.26790354784537995,902,373,-529
p38,1038,400.0,1780.3262736239458,1380.3262736239458,315,118,341.6502325354311,575.443085877368,-0.275982943044058,914,349,-565
p39,1041,420.0,1781.841005021821,1361.841005021821,342,145,363.45079417966963,591.7391988131795,-0.2577684863137672,907,372,-535
p40,1035,400.0,1780.3292851476933,1380.3292851476933,315,83,335.663712961745,576.048048419195,-0.2505828566493616,913,349,-564
p41,1042,420.0,1781.841005021821,1361.841005021821,342,171,369.31158577394103,592.6622195445401,-0.29178117830494976,906,372,-534
p42,1039,400.0,1780.3234724322144,1380.3234724322144,314,119,339.2531483478636,570.743854600975,-0.24638570032542917,917,349,-568
p43,1052,420.0,1781.8454736763435,1361.8454736763435,342,164,370.77094494743125,593.4101001532904,-0.2990936400004834,917,373,-544
