prefix,active_days,corr_frozwt_frdp,ratio_min,ratio_p10,ratio_median,ratio_p90,ratio_max,ratio_std
p1,793,0.9999999999999996,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.090227149453815e-17
p3,818,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.2273877788806054e-17
p4,819,0.9999999999999997,0.14307149144254275,0.14307149144254275,0.14307149144254278,0.1430714914425428,0.1430714914425428,3.114136323851656e-17
p5,839,1.0,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.1359129132470356e-17
p6,839,0.9999999999999996,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.0558338302034e-17
p7,869,0.9999999999999997,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.20124761043952e-17
p8,852,0.9999999999999998,0.15199999999999994,0.15199999999999994,0.15199999999999997,0.152,0.152,1.4700408105039737e-17
p9,868,0.9999999999999999,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.1330544264559057e-17
p10,870,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.0737802931237996e-17
p11,828,0.9999999999999996,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,1.4880706419977724e-17
p12,872,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,1.4469921298832006e-17
p13,854,1.0,0.15199999999999994,0.15199999999999994,0.15199999999999997,0.152,0.152,1.4621619436666864e-17
p14,866,0.9999999999999999,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.138087889908171e-17
p15,871,0.9999999999999994,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.107795833864692e-17
p16,867,0.9999999999999996,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.106387302687812e-17
p17,871,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.186486662432129e-17
p18,866,0.9999999999999999,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.119607483421893e-17
p19,871,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.103523947537713e-17
p20,818,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.0948105103657024e-17
p21,794,1.0,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.127305101633343e-17
p22,853,1.0,0.15199999999999994,0.15199999999999994,0.15199999999999997,0.152,0.152,3.0925996539302094e-17
p23,851,1.0,0.15199999999999994,0.15199999999999994,0.15199999999999997,0.152,0.152,3.1267800776891355e-17
p24,870,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.066569914220304e-17
p25,791,1.0,0.13749999999999993,0.13749999999999993,0.13749999999999996,0.13749999999999996,0.13749999999999998,1.2867271284695406e-17
p26,850,1.0,0.15199999999999994,0.15199999999999994,0.15199999999999997,0.152,0.152,3.1674851397110313e-17
p27,869,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.1720372669501626e-17
p28,851,1.0,0.15199999999999994,0.15199999999999994,0.15199999999999997,0.152,0.152,3.1224343075866525e-17
p29,869,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.1566287369119795e-17
p30,868,0.9999999999999994,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.127383735062773e-17
p31,868,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.085959604974907e-17
p32,819,1.0,0.155,0.155,0.15500000000000003,0.15500000000000005,0.15500000000000005,3.1546495569884697e-17
p33,791,0.9999999999999998,0.13749999999999993,0.13749999999999993,0.13749999999999996,0.13749999999999998,0.13749999999999998,1.3495307975194254e-17
p34,841,0.9999999999999999,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.129255996906196e-17
p35,790,1.0,0.13749999999999993,0.13749999999999993,0.13749999999999996,0.13749999999999998,0.13749999999999998,1.29132258858837e-17
p36,839,0.9999999999999996,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.025637102939561e-17
p37,839,1.0,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.130051388658546e-17
p38,791,1.0,0.13749999999999993,0.13749999999999996,0.13749999999999996,0.13749999999999996,0.13749999999999998,1.196521933530932e-17
p39,839,1.0,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.121238462518359e-17
p40,794,1.0,0.13749999999999993,0.13749999999999993,0.13749999999999996,0.13749999999999998,0.13749999999999998,1.3433725176543724e-17
p41,839,0.9999999999999998,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.0452990355825003e-17
p42,791,1.0,0.13749999999999993,0.13749999999999993,0.13749999999999996,0.13749999999999996,0.13749999999999998,1.2905060709040814e-17
p43,839,1.0,0.14899999999999997,0.14899999999999997,0.149,0.14900000000000002,0.14900000000000002,3.128584291606467e-17
