lane_id,cell,bias_partition,applicable_days,internal_cap_days,runtime_cap_days,climate_fallback_used_days,fresh mixing,wet compaction,destructive metamorphism,overburden compaction,structural projection,climate fallback,internal cap,runtime cap,Stage 3 adjustment
harvard_hardwood,B,density_shape_over_beta,5127,630,2964,0,-9.87564710130961,34.44743484016828,0.31853603935842323,1.1020915523083588,-17.022027351698643,0.0,-4.912782919269227,-4.057605059557585,0.0
harvard_hardwood,L,density_shape_over_beta,5127,630,2964,0,-9.87564710130961,34.44743484016828,0.31853603935842323,1.1020915523083588,-17.022027351698643,0.0,-4.912782919269227,-4.057605059557585,0.0
harvard_hardwood,S,density_shape_over_beta,4992,651,3002,0,-11.135093420855727,36.95642779429817,0.33647581827478124,0.999662376915097,-19.122508227451483,0.0,-5.6093043352638245,-3.98424943026234,1.5585894243453142
harvard_hardwood,LS,density_shape_over_beta,5039,642,3004,0,-10.677577140814172,36.1047071969176,0.3395346377699783,1.055147040260751,-18.2621624280496,0.0,-5.299084557688082,-4.060516058610612,0.7999513102140209
marcell_conifer,B,density_shape_over_beta,6436,362,1946,0,-2.7681214259891225,17.052685979022975,0.4626094113185572,0.8753761385014346,-11.002309514291099,0.0,-2.936956886539777,-1.6021774248321534,0.0
marcell_conifer,L,density_shape_over_beta,6436,362,1946,0,-2.7681214259891225,17.052685979022975,0.4626094113185572,0.8753761385014346,-11.002309514291099,0.0,-2.936956886539777,-1.6021774248321534,0.0
marcell_conifer,S,density_shape_over_beta,6314,374,2291,0,-3.6995724493946236,18.40588419308184,0.4615967535650104,0.711005718676896,-12.48530677299412,0.0,-3.3790266730532754,-1.5047605667330108,1.5728532209880648
marcell_conifer,LS,density_shape_over_beta,6377,364,2178,0,-3.434318904501629,17.89523492940339,0.4719974324170681,0.8118968962318704,-11.645344137820977,0.0,-3.1502911292086937,-1.5932824777434436,0.7259640636388812
marcell_deciduous,B,density_shape_over_beta,6277,348,1771,0,-2.1611523418314573,18.113848425386163,0.47341581895685997,0.8982257335033095,-12.491849517797739,0.0,-3.4135741810828706,-1.3357531915551653,0.0
marcell_deciduous,L,density_shape_over_beta,6277,348,1771,0,-2.1611523418314573,18.113848425386163,0.47341581895685997,0.8982257335033095,-12.491849517797739,0.0,-3.4135741810828706,-1.3357531915551653,0.0
marcell_deciduous,S,density_shape_over_beta,6121,356,2295,0,-4.6207787506452425,20.106567042764766,0.45069967407776457,0.6461180638792434,-14.20971463234109,0.0,-4.414986924746842,-1.162743740236091,3.2901194502240974
marcell_deciduous,LS,density_shape_over_beta,6214,342,2030,0,-3.1730771112208527,18.92955597727271,0.4791121261759304,0.7875056830339543,-12.999982760695026,0.0,-3.778925195400704,-1.305051533831196,1.1448666769117284
marcell_open,B,density_shape_over_beta,6459,367,1989,0,-2.731430403744388,17.097982889592643,0.4618353947694324,0.8685786151782451,-11.036269792815496,0.0,-2.952921021976161,-1.6269582170005643,0.0
marcell_open,L,density_shape_over_beta,6459,367,1989,0,-2.731430403744388,17.097982889592643,0.4618353947694324,0.8685786151782451,-11.036269792815496,0.0,-2.952921021976161,-1.6269582170005643,0.0
marcell_open,S,density_shape_over_beta,6452,369,2090,0,-3.0280303740316716,17.44236480328257,0.4764552585200626,0.866717361180095,-11.043459845022705,0.0,-3.006659387788312,-1.6863942182985914,0.05991154784975995
marcell_open,LS,density_shape_over_beta,6458,371,2099,0,-2.9551028979873992,17.377710893512294,0.4763889991901458,0.8735540602207512,-11.031797485276075,0.0,-2.9911953678112178,-1.6954840256056025,0.02675580207851432
snotel_css_lab_ca,B,density_shape_under_beta,6679,756,3913,0,-8.903960118845417,30.828351178187987,0.1017746521861931,1.4860485583692684,-14.268732328594615,0.0,-3.404293780245615,-5.763747957033467,0.0
snotel_css_lab_ca,L,density_shape_under_beta,6679,756,3913,0,-8.903960118845417,30.828351178187987,0.1017746521861931,1.4860485583692684,-14.268732328594615,0.0,-3.404293780245615,-5.763747957033467,0.0
snotel_css_lab_ca,S,density_shape_under_beta,6639,772,3971,0,-9.186584453535271,31.88779752317583,0.10484563177625576,1.4494762591697772,-14.81649271417956,0.0,-3.5583868562887115,-5.943579527190172,0.1397573707754731
snotel_css_lab_ca,LS,density_shape_under_beta,6646,768,3975,0,-9.125517573297458,31.812435513482427,0.10490062749568589,1.4520606697048228,-14.798871158283642,0.0,-3.543306434001707,-5.935140897726622,0.11018147055173422
snotel_mica_creek_st_joe_id,B,density_shape_under_beta,5978,463,3213,0,-10.19669337798821,23.7174635218751,0.088310740052643,1.1454365888513138,-8.101849677244244,0.0,-2.2170916423325626,-4.379451525979163,0.0
snotel_mica_creek_st_joe_id,L,density_shape_under_beta,5978,463,3213,0,-10.19669337798821,23.7174635218751,0.088310740052643,1.1454365888513138,-8.101849677244244,0.0,-2.2170916423325626,-4.379451525979163,0.0
snotel_mica_creek_st_joe_id,S,density_shape_under_beta,5940,464,3321,0,-11.151239912977141,24.916405704547966,0.09182078922726723,1.1264770673960571,-8.269233235924228,0.0,-2.3503906229797136,-4.532434671346611,0.22503263989422012
snotel_mica_creek_st_joe_id,LS,density_shape_under_beta,5951,468,3316,0,-11.076357516639556,24.911477637565437,0.09196831494456038,1.1348708378199126,-8.25237831740414,0.0,-2.3733899354857955,-4.5281963878378,0.1483541318263786
snotel_niwot_co,B,density_shape_under_beta,8028,911,3981,0,-8.99715043822124,34.99620904543091,0.461667998096018,1.2055040511829131,-18.49740923325308,0.0,-5.457248522175029,-3.6849916758791745,0.0
