lane_id,stratum,climate,cell_id,family,primary_process_owner,target_sensitivity,criterion_role,primary_metric,target,b_value,l_value,s_value,ls_value,b_error,l_error,s_error,ls_error,l_direction,s_direction,ls_direction,longwave_main_error,sublimation_main_error,combined_error,interaction_error,authority
harvard_hardwood,hardwood,humid_new_england_hardwood,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-0.23118367215427615,-0.23118367215427615,-0.4586520737823545,-0.3712373992271907,1.2311836721542762,1.2311836721542762,1.4586520737823545,1.3712373992271907,unchanged,away_from_observation,away_from_observation,0.0,0.22746840162807835,0.14005372707291452,-0.08741467455516383,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
marcell_conifer,conifer,laurentian_continental_conifer,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-0.7181169023673155,-0.7181169023673155,-1.0993524213908938,-0.8056231645756835,1.7181169023673155,1.7181169023673155,2.099352421390894,1.8056231645756835,unchanged,away_from_observation,away_from_observation,0.0,0.38123551902357833,0.08750626220836799,-0.29372925681521056,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
marcell_deciduous,deciduous,laurentian_continental_deciduous,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-1.2171987112717009,-1.2171987112717009,-1.7338280831422095,-1.465641607164029,2.217198711271701,2.217198711271701,2.7338280831422095,2.465641607164029,unchanged,away_from_observation,away_from_observation,0.0,0.5166293718705086,0.24844289589232815,-0.26818647597818046,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
marcell_open,open,laurentian_continental_open,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-0.5825499102887595,-0.5825499102887595,-0.5916733274399166,-0.5871022749808568,1.5825499102887595,1.5825499102887595,1.5916733274399166,1.5871022749808568,unchanged,away_from_observation,away_from_observation,0.0,0.009123417151157165,0.004552364692097299,-0.004571052459059866,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
snotel_css_lab_ca,open,sierra_maritime,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-0.900762227113155,-0.900762227113155,-0.938497066984084,-0.9347497309464832,1.900762227113155,1.900762227113155,1.938497066984084,1.9347497309464832,unchanged,away_from_observation,away_from_observation,0.0,0.03773483987092896,0.03398750383332816,-0.0037473360376008014,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
snotel_mica_creek_st_joe_id,open,northern_rockies_intermountain,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-1.1800083989413959,-1.1800083989413959,-1.218529963959294,-1.2086047345205522,2.180008398941396,2.180008398941396,2.218529963959294,2.208604734520552,unchanged,away_from_observation,away_from_observation,0.0,0.03852156501789805,0.028596335579156307,-0.009925229438741745,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
snotel_niwot_co,open,front_range_continental,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-1.0012063333490202,-1.0012063333490202,-1.0941786871948627,-1.0765108294430594,2.00120633334902,2.00120633334902,2.0941786871948627,2.0765108294430594,unchanged,away_from_observation,away_from_observation,0.0,0.09297235384584246,0.07530449609403922,-0.01766785775180324,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
snotel_paradise_wa,open,cascades_maritime,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-0.4416794095997554,-0.4416794095997554,-0.44396545004270305,-0.44368088562347086,1.4416794095997554,1.4416794095997554,1.443965450042703,1.4436808856234709,unchanged,away_from_observation,away_from_observation,0.0,0.0022860404429476677,0.002001476023715476,-0.00028456441923219167,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
snotel_snowbird_ut,open,wasatch_intermountain,seasonal_densification_trajectory,density_trajectory,snow density / compaction structure,indirect,adjacent-process collateral,kge,1.0,-0.5966528092448415,-0.5966528092448415,-0.6268638714936772,-0.6154201878020791,1.5966528092448415,1.5966528092448415,1.6268638714936772,1.615420187802079,unchanged,away_from_observation,away_from_observation,0.0,0.03021106224883563,0.018767378557237535,-0.011443683691598094,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050/#INV-SNOWFREEZE-058; prior post-partition density_trajectory_diffuse cluster
harvard_hardwood,hardwood,humid_new_england_hardwood,seasonal_depth_swe_slope,depth_swe_geometry,density/layer geometry with canopy interception ambiguity,mixed_ambiguous,mixed density/interception geometry guard,slope_ratio,1.0,11.146175900613038,11.146175900613038,11.859673093776872,11.586194744278842,10.146175900613038,10.146175900613038,10.859673093776872,10.586194744278842,unchanged,away_from_observation,away_from_observation,0.0,0.7134971931638336,0.4400188436658041,-0.2734783494980295,SC-SNOWFREEZE-001#INV-SNOWFREEZE-050; prior cancov_depth_swe_slope_geometry cluster
