bench_strict_projection	PASS	0	2026-08-19T23:54:52Z	2026-08-19T23:55:59Z	cargo test -p openwepp-hillslope-orchestrator all_open_topology_projects_empty_canonical_v8_passes	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/bench_strict_projection.log	1	0	0	0	67448205977
bench_one_open_tile	PASS	0	2026-08-19T23:55:59Z	2026-08-19T23:58:09Z	cargo test --test land_surface_energy_real_hydrology_shadow_contract public_v8_endpoint_closes_an_all_open_ofe	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/bench_one_open_tile.log	1	0	0	0	129545447354
bench_single_rank_covered	PASS	0	2026-08-19T23:58:09Z	2026-08-19T23:58:20Z	cargo test -p openwepp-land-surface-energy covered_single_rank_potential_fixed_cap_and_alternate_start_match_frozen_oracle	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/bench_single_rank_covered.log	1	0	0	0	11388091873
bench_two_rank_covered	PASS	0	2026-08-19T23:58:20Z	2026-08-19T23:58:21Z	cargo test -p openwepp-land-surface-energy covered_multirank_potential_fixed_cap_and_alternate_start_match_frozen_oracle	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/bench_two_rank_covered.log	1	0	0	0	1183284280
bench_mixed_open_covered	PASS	0	2026-08-19T23:58:21Z	2026-08-19T23:58:22Z	cargo test --test land_surface_energy_real_hydrology_shadow_contract public_v8_endpoint_closes_mixed_open_and_covered_owners_once	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/bench_mixed_open_covered.log	1	0	0	0	1103435753
bench_complete_public_envelope	PASS	0	2026-08-19T23:58:23Z	2026-08-19T23:58:23Z	cargo test --test land_surface_energy_real_hydrology_shadow_contract	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/bench_complete_public_envelope.log	10	0	0	0	1608465513651850915
bench_actual_byte_rollback	PASS	0	2026-08-19T23:58:23Z	2026-08-19T23:58:27Z	cargo test -p openwepp-hillslope-orchestrator every_injected_phase_preserves_all_six_actual_owner_byte_records	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/bench_actual_byte_rollback.log	1	0	0	0	3988385553
child4_test_01_48_replaces_complete_shadow	PASS	0	2026-08-19T23:58:28Z	2026-08-19T23:58:37Z	cargo test -p openwepp-hillslope-orchestrator forty_eight_interval_day_replaces_only_complete_shadow_state	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/child4_test_01_48_replaces_complete_shadow.log	1	0	0	0	1769312078222358242
child4_test_02_48_late_failure	PASS	0	2026-08-19T23:58:37Z	2026-08-19T23:58:45Z	cargo test -p openwepp-hillslope-orchestrator failed_late_interval_rolls_back_every_shadow_and_production_byte	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/child4_test_02_48_late_failure.log	1	0	0	0	8600061928
child4_test_03_half_day_restart	PASS	0	2026-08-19T23:58:45Z	2026-08-19T23:59:02Z	cargo test -p openwepp-hillslope-orchestrator retained_half_day_restart_is_byte_identical_to_uninterrupted_day	docs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T235452Z-child4-root-owner-final/logs/child4_test_03_half_day_restart.log	1	0	0	0	16777365226
