path	size_bytes	sha256	action
.github/workflows/release-gates.yml	6540	46acc54031434d1d103e8ef27fd2f18401c3e910f0fd38692068190bfc07c287	preserve-or-revise
Cargo.lock	35873	e5293d4a49e52dff7314c95d0241945a4ddece48dea7bea4e546eb5bb908ef2c	preserve-or-revise
Cargo.toml	23215	6179a529af11c01965d234476dc28a12f439b873f6f8ebe80ca987a04417efdd	preserve-or-revise
assurance/README.md	1240	9adeed4bfb48ba8debe759924b8df10f368373fbe53f1d3143c96b3dbbf4c317	preserve-or-revise
assurance/catalog.yaml	1240	824b74984719d73ffd31186f369986197db4d07db7d548343d75b7f494b5ac87	preserve-or-revise
assurance/dossiers/snow-snotel-swe-depth-density/authoring.yaml	9332	c820e546eeec8b0744247dbcaf3d2d4d6054091822ee181482f69aa1d09335dc	remove
assurance/dossiers/snow-snotel-swe-depth-density/dossier.yaml	6607	7a1903a94d17f8aa50f855b89bad594b21e5c08860bd75830d89147415a049f7	remove
assurance/dossiers/snow-snotel-swe-depth-density/evidence.yaml	5221	0a665c504eae673dd25513e20e4e0295f01419c636754a62ecbd2782b31a18bc	remove
assurance/dossiers/snow-snotel-swe-depth-density/interpretation.md	887	aba0513c99ed14f31a5dc56b6366d4c95d8037958839e87440cf4551f029ece7	remove
assurance/dossiers/snow-snotel-swe-depth-density/limitations.md	1151	2d892e7cfda67c73c847dc01eedacea46424900ed00cd0ee3c52371e0b4cb2dc	remove
assurance/dossiers/snow-snotel-swe-depth-density/review.yaml	1540	97aa711ffde48eb7c717179492899dd13076631066041f52ba9c0ac42eb4e126	remove
assurance/generated/wepppy-usersum.yaml	2226	828762f7ef5672a7e50b0e56184aac2d5a40530a3507b788cf4a58714612ee2a	preserve-or-revise
assurance/methods/snow-snotel-evaluation-v1.yaml	3148	35deb87c2b492d6b3b7b88f8bb0b4d4d523955fb202a9cd8b6de91be72bb354b	remove
assurance/schemas/authoring.schema.json	3243	7a2450ca60492afe4a0fcb846de5042a1bbd13ca88e6188ed9510111411cc3e1	remove
assurance/schemas/catalog.schema.json	2342	598872637496ab1a7677ea27ee8acd558400e9a3b80c39da20015d1ffbbfdc24	remove
assurance/schemas/dossier.schema.json	3240	6449d51665b506e26bcaafbc7464256be0d75564c8e93023965f845bcb88b650	remove
assurance/schemas/evidence.schema.json	1385	2f9a535cb50d63074cdcb28cd6969fdfc2eede32c670ec8d374b460948565833	remove
assurance/schemas/method.schema.json	1347	b078a17cf17505003ae650705ee9e42d29c534fe4c9743d4552d9a300245dc6d	remove
