sequence,case_id,package_id,mode,arm_order,participant
1,NKR-2-terminal,NKR-2,terminal,manual-first,P1
2,CAL-1-working-tree,CAL-1,working-tree,manual-first,P2
3,CAL-1-terminal,CAL-1,terminal,manual-first,P3
4,NKR-1-terminal,NKR-1,terminal,manual-first,P1
5,DOC-2-pre-edit,DOC-2,pre-edit,manual-first,P2
6,DOC-1-pre-edit,DOC-1,pre-edit,manual-first,P3
7,NKR-1-pre-edit,NKR-1,pre-edit,manual-first,P1
8,DOC-2-terminal,DOC-2,terminal,manual-first,P2
9,KER-1-pre-edit,KER-1,pre-edit,manual-first,P3
10,NKR-1-working-tree,NKR-1,working-tree,linter-first,P1
11,NKR-2-pre-edit,NKR-2,pre-edit,linter-first,P2
12,DOC-1-terminal,DOC-1,terminal,linter-first,P3
13,NKR-2-working-tree,NKR-2,working-tree,linter-first,P1
14,KER-1-working-tree,KER-1,working-tree,linter-first,P2
15,DOC-1-working-tree,DOC-1,working-tree,linter-first,P3
16,KER-1-terminal,KER-1,terminal,linter-first,P1
17,CAL-1-pre-edit,CAL-1,pre-edit,linter-first,P2
18,DOC-2-working-tree,DOC-2,working-tree,linter-first,P3
