   Compiling openwepp-hillslope-orchestrator v0.1.0 (/home/workdir/openWEPP/crates/openwepp-hillslope-orchestrator)
   Compiling openwepp-runner v0.1.0 (/home/workdir/openWEPP/crates/openwepp-runner)
   Compiling openwepp v0.1.0 (/home/workdir/openWEPP)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 16.35s
────────────
 Nextest run ID 13081259-620a-4831-8061-12023232d79e with nextest profile: default
    Starting 1 test across 1 binary
       START [         ] (1/1) openwepp::erod16_wave1_continuity_fixture_conservation erod16_wave1_continuity_conserves_on_mckenzie_clay_loam_storm_forcing

running 1 test
EB04W2C_SOLVE,19, 1.36999814007716467e-2, 6.86821532643149897e-7, 1.99469305338301201e4, 1.06844902453087371e1, 1.97231558719225930e0, 1.18879861017640667e-5, 3.11596524705850305e-4
EB04W2C_SOLVE,20, 2.86652734294227524e-2, 5.39794125005384032e-7, 5.31040856162279233e4, 9.57993505724262739e0, 1.64916409359717808e0, 7.89905909458279207e-6, 2.33327738119640292e-3
EB04W2C_SOLVE,21, 3.82059397324824926e-2, 1.25764687562689282e-6, 3.03789087961898476e4, 1.40460942287608468e1, 3.01063683667070547e0, 3.31845037806666846e-5, 1.95447932296259088e-4
EB04W2C_SOLVE,22, 5.26762818484613274e-2, 1.90781193037951994e-6, 2.76108357483551663e4, 1.69515675332554636e1, 4.02476250769539678e0, 6.73058839321624306e-5, 3.83086058297949297e-3
EB04W2C_SOLVE,23, 1.95598635147935448e-2, 8.57645198858584046e-7, 2.28064746830335171e4, 1.18143817159529121e1, 2.30418284869551426e0, 1.73303481247613670e-5, 5.16991293933150974e-3
EB04W2C_SOLVE,24, 1.95998490388958682e-2, 1.16491310604163226e-6, 1.68251596940960153e4, 1.35684407508703710e1, 2.85394088780114386e0, 2.91396485305162193e-5, 1.95147088177114136e-4
EB04W2C_SOLVE,25, 1.57840350994905322e-2, 6.41158665086736154e-7, 2.46179860914072851e4, 1.03567497392290235e1, 1.87945799065288655e0, 1.05780269001450967e-5, 9.05604327727876392e-3
EB04W2C_SOLVE,26, 2.94528623076188711e-2, 1.49520615478182367e-6, 1.96981949368156202e4, 1.51872032217100639e1, 3.39664521374323325e0, 4.45094176922110023e-5, 3.76781069639057749e-3
EB04W2C_SOLVE,27, 3.38165918678158331e-2, 1.26830970440686237e-6, 2.66627242150059064e4, 1.40997508804565221e1, 3.02842119520218400e0, 3.36633666063764744e-5, 1.95463566214941492e-4
EB04W2C_SOLVE,28, 1.51632533414696753e-2, 6.52109159550311642e-7, 2.32526305134651266e4, 1.04364890263721612e1, 1.90190652566725471e0, 1.08864363107073600e-5, 1.00916363512338139e-2
EB04W2C_SOLVE,31, 2.31202477402360253e-2, 1.26361195556251915e-6, 1.82969523503310302e4, 1.40761420926612768e1, 3.02059161720621416e0, 3.34520455867067432e-5, 1.95457152514576959e-4
EB04W2C_SOLVE,37, 1.74034917488799651e-2, 8.40144241388799964e-7, 2.07148854821776004e4, 1.17047035867632250e1, 2.27118577029032398e0, 1.67344975878647405e-5, 4.72206025571607780e-3
EB04W2C_SOLVE,45, 2.51469217204873391e-2, 1.36446297953233213e-6, 1.84299039971802049e4, 1.45727400119471913e1, 3.18676619718550569e0, 3.81078360360091051e-5, 1.95462313646201032e-4
EB04W2C_SOLVE,46, 1.89832544484234700e-2, 1.08903024444577892e-6, 1.74313381517556336e4, 1.31617037599928146e1, 2.72283111013724888e0, 2.59920758973397888e-5, 1.94677212795531094e-4
EB04W2C_SOLVE,89, 3.63598990511205533e-2, 1.82377851512248679e-6, 1.99365760423373467e4, 1.66108065469809425e1, 3.90056372355099912e0, 6.23524943999366146e-5, 3.89900697273821029e-3
EB04W2C_SOLVE,90, 2.40921842488614826e-2, 1.02693867505396581e-6, 2.34601976087768198e4, 1.28170824113770738e1, 2.61343879814944424e0, 2.35274695368087429e-5, 9.44804629470210287e-3
EB04W2C_SOLVE,266, 9.77687961357112841e-3, 2.81764649238062655e-6, 3.46987446438344841e3, 2.02056278481820044e1, 5.27741844879728816e0, 1.30449249525945165e-4, 1.75230413245439862e-4
EB04W2C_SOLVE,268, 8.26855103301182837e-3, 4.60429113262555895e-6, 1.79583583983681660e3, 2.51942249105928866e1, 7.41722503117934906e0, 3.00172856642738379e-4, 1.44635100866141015e-4
EB04W2C_SOLVE,283, 2.53379016636267676e-2, 5.09944387080455588e-6, 4.96875783037673136e3, 2.63755332047820943e1, 7.96040971454743485e0, 3.56985359164231435e-4, 1.37228091594839550e-4
EB04W2C_SOLVE,318, 6.59013366090249603e-2, 3.00902157889302222e-6, 2.19012509153454339e4, 2.08117917482781678e1, 5.52364593475168153e0, 1.45838411194262988e-4, 1.71492120943001223e-4
EB04W2C_SOLVE,319, 1.63985508991518758e-2, 4.84565310499450580e-7, 3.38417764207049404e4, 9.12248213562295440e0, 1.51150746079592246e0, 6.57698836972559758e-6, 8.12580583174363430e-4
EB04W2C_SOLVE,321, 1.76998973659211328e-2, 6.26342011141523189e-7, 2.82591572193323736e4, 1.02476535202323440e1, 1.84889546339695165e0, 1.01665446881990234e-5, 7.74069077183014292e-3
EB04W2C_SOLVE,322, 2.95967805571877088e-2, 8.77947393299287726e-7, 3.37113371291693329e4, 1.19400788037483245e1, 2.34220285043452581e0, 1.80322624742801470e-5, 5.69752693883817871e-3
EB04W2C_SOLVE,323, 1.17014331314562667e-2, 6.41987064997407908e-7, 1.82268985925806955e4, 1.03628080982331827e1, 1.88116030540591672e0, 1.06012305615242427e-5, 9.13256068458156989e-3
EB04W2C_SOLVE,328, 1.39587376205498066e-2, 4.35637514706545793e-7, 3.20420926787094868e4, 8.69258408733821675e0, 1.38694776608220849e0, 5.49009390119535880e-6, 5.43584718534390315e-3
EB04W2C_SOLVE,329, 1.87503543354270302e-2, 4.86722200952364135e-7, 3.85237293444564712e4, 9.14087076237712992e0, 1.51693961419226908e0, 6.62674575546735601e-6, 8.48875849120358356e-4
EB04W2C_SOLVE,334, 1.03201861417528250e-2, 7.19488580243175566e-7, 1.43437803255539766e4, 1.09116419860561695e1, 2.03758350056858362e0, 1.28633401359621140e-5, 3.77684439220312828e-4
EB04W2C_SOLVE,349, 1.26019676268563936e-2, 3.01613321257109270e-7, 4.17818668430559410e4, 7.35650331930179657e0, 1.03009480741605830e0, 2.94179033711257781e-6, 1.12155684031088588e-3
EB04W2C_SOLVE,350, 2.76025807574992108e-2, 1.12265870705327910e-6, 2.45867961332163322e4, 1.33438257348972638e1, 2.78127115722357754e0, 2.73687281902258709e-5, 1.94910391669891685e-4
