path,sha256,bytes,retrieved,source
inputs/source/alercecosteroforest_EN_1000_1day.csv,a30cfbbbe1a20075f22c515678a7aa747fe0a5cc5cc8b43a1048caaa13f3d374,478568,2026-07-28,https://phenocam.nau.edu/data/archive/alercecosteroforest/ROI/alercecosteroforest_EN_1000_provisional_data.zip
inputs/source/alercecosteroforest_EN_1000_datarecord2.html,2387306ea7cdeebd147ceaaaeb4fdbcefc55cf86517a8a0261efcbc7015af15a,5323,2026-07-28,https://phenocam.nau.edu/data/archive/alercecosteroforest/ROI/alercecosteroforest_EN_1000_provisional_data.zip
inputs/source/alercecosteroforest_EN_1000_roi.csv,aa652106504627301468395533029d086b32bdea8a613cc74ecba888c5e1323d,685,2026-07-28,https://phenocam.nau.edu/data/archive/alercecosteroforest/ROI/alercecosteroforest_EN_1000_provisional_data.zip
inputs/source/alercecosteroforest_EN_1000_simplified_transition_dates.csv,d9494827b0a547256eba7cf488610c331fcc7219f48ddb0f46dad6e65283f0e1,273,2026-07-28,https://phenocam.nau.edu/data/archive/alercecosteroforest/ROI/alercecosteroforest_EN_1000_provisional_data.zip
inputs/source/alercecosteroforest_meta.json,f4f779e32dce872dbf34db9f181ff0b721d9b757f10554731443e64581881aa7,3308,2026-07-28,https://phenocam.nau.edu/data/archive/alercecosteroforest/ROI/alercecosteroforest_EN_1000_provisional_data.zip
inputs/source/bezamahafaly_DB_1000_1day.csv,a490b29758ce0608428c6e794d8c803727b60fddc4e601c875564a26ed514f1f,433148,2026-07-28,https://phenocam.nau.edu/data/archive/bezamahafaly/ROI/bezamahafaly_DB_1000_provisional_data.zip
inputs/source/bezamahafaly_DB_1000_datarecord2.html,61473623797457eed694c907101065ff08e3937a1d013b8a14e19a3573535f51,3855,2026-07-28,https://phenocam.nau.edu/data/archive/bezamahafaly/ROI/bezamahafaly_DB_1000_provisional_data.zip
inputs/source/bezamahafaly_DB_1000_roi.csv,bfb954315e7c39030f16525bf263bd3e9406a3ef0397d608a4e38d23bcb6854f,424,2026-07-28,https://phenocam.nau.edu/data/archive/bezamahafaly/ROI/bezamahafaly_DB_1000_provisional_data.zip
inputs/source/bezamahafaly_DB_1000_simplified_transition_dates.csv,db477b36731d0a8c072ac400dac3aa135e84234408d79a1a6a10eded739632cd,315,2026-07-28,https://phenocam.nau.edu/data/archive/bezamahafaly/ROI/bezamahafaly_DB_1000_provisional_data.zip
inputs/source/bezamahafaly_meta.json,c1895497c46e42e92b7f9449c2e3e63ecf7b81e376a64e3658518ec6cc052ee7,3333,2026-07-28,https://phenocam.nau.edu/data/archive/bezamahafaly/ROI/bezamahafaly_DB_1000_provisional_data.zip
inputs/source/phenocam_fair_use_20260728.html,a29c0c57c092f1a38f5a88b385aafb87d44a61eca84f85f7d628bbe01ec53801,31718,2026-07-28,https://phenocam.nau.edu/webcam/fairuse_statement/
inputs/source/power_alercecosteroforest_20220101_20260724.json,16b18d67ab84c1cde45a55dcbfdfa06c63dd3d7b9c838f6c5bed99e855a08ca0,82681,2026-07-28,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX,T2M_MIN,T2MDEW&community=AG&longitude=-73.4439&latitude=-40.1726&start=20220101&end=20260724&format=JSON"
inputs/source/power_bezamahafaly_20220101_20260724.json,4b64dc9da17f06b32a4bdb0fe0357e1b4f0c4f67c8cf9551c052003a34b0b64f,84965,2026-07-28,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX,T2M_MIN,T2MDEW&community=AG&longitude=44.6289&latitude=-23.6558&start=20220101&end=20260724&format=JSON"
