site_id,admitted_camera_days,first_date,last_date,gcc90_min,gcc90_median,gcc90_max
SH-DB-BEZA,934,2023-07-04,2026-07-24,0.343150000,0.361260000,0.378260000
SH-EN-ALERCE,925,2023-01-24,2026-07-24,0.370800000,0.399670000,0.417260000
