candidate_id,minimum_temperature_inactive_c,minimum_temperature_unconstrained_c,vapor_pressure_deficit_unconstrained_pa,vapor_pressure_deficit_inactive_pa,photoperiod_inactive_hours,photoperiod_unconstrained_hours,accepted_ledger_sha256,candidate_table_sha256
GSI-2198,-27.520000000,12.610000000,1100.647927550,2155.325437000,12.478643418,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-2199,-27.520000000,12.610000000,1100.647927550,2155.325437000,12.478643418,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-2629,-27.520000000,19.910000000,1100.647927550,2155.325437000,10.935970516,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-2630,-27.520000000,19.910000000,1100.647927550,2155.325437000,10.935970516,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-2631,-27.520000000,19.910000000,1100.647927550,2155.325437000,10.935970516,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-2634,-27.520000000,19.910000000,1100.647927550,2155.325437000,11.239373219,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-2635,-27.520000000,19.910000000,1100.647927550,2155.325437000,11.239373219,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-2636,-27.520000000,19.910000000,1100.647927550,2155.325437000,11.239373219,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-2638,-27.520000000,19.910000000,1100.647927550,2155.325437000,12.478643418,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-3941,-14.298500000,6.700000000,655.895776750,2155.325437000,12.478643418,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
