prefix,management_group,term,openwepp_sum,legacy_sum,classification
p1,Tah_4899,Ep,5511.3888651711395,5823.97,both-nonzero
p1,Tah_4899,Es,19.986455975753106,28.27,both-nonzero
p1,Tah_4899,Er,0.0,0.0,expected-config-zero
p1,Tah_4899,Interception,643.3614332068395,,legacy-term-unavailable
p1,Tah_4899,Q,3.0643619152587176e-13,278.1695293,defect-openwepp-zero-legacy-nonzero
p1,Tah_4899,QOFE,3.0643619152587176e-13,278.1695293,defect-openwepp-zero-legacy-nonzero
p2,Tah_4899,Ep,5249.995960962286,5559.02,both-nonzero
p2,Tah_4899,Es,17.834413377580123,28.34,both-nonzero
p2,Tah_4899,Er,0.0,0.0,expected-config-zero
p2,Tah_4899,Interception,643.7569793069987,,legacy-term-unavailable
p2,Tah_4899,Q,3.072357906280798e-13,242.70769225,defect-openwepp-zero-legacy-nonzero
p2,Tah_4899,QOFE,3.072357906280798e-13,242.70769225,defect-openwepp-zero-legacy-nonzero
p3,Tah_4899,Ep,5496.202248417305,5841.53,both-nonzero
p3,Tah_4899,Es,23.24019713720361,28.15,both-nonzero
p3,Tah_4899,Er,0.0,0.0,expected-config-zero
p3,Tah_4899,Interception,641.8992204400136,,legacy-term-unavailable
p3,Tah_4899,Q,2.786670633830868e-13,82.7619515,defect-openwepp-zero-legacy-nonzero
p3,Tah_4899,QOFE,2.786670633830868e-13,82.7619515,defect-openwepp-zero-legacy-nonzero
p4,Corn,Ep,0.0,1762.35,defect-openwepp-zero-legacy-nonzero
p4,Corn,Es,3555.7161975438557,2480.26,both-nonzero
p4,Corn,Er,0.0,0.0,expected-config-zero
p4,Corn,Interception,0.0,,legacy-term-unavailable
p4,Corn,Q,0.005829921884427142,635.67613145,both-nonzero
p4,Corn,QOFE,0.005829921884427142,635.67613145,both-nonzero
p5,Corn,Ep,0.0,1865.78,defect-openwepp-zero-legacy-nonzero
p5,Corn,Es,5147.764472440843,2782.73,both-nonzero
p5,Corn,Er,0.0,0.0,expected-config-zero
p5,Corn,Interception,0.0,,legacy-term-unavailable
p5,Corn,Q,1.3904892862126594e-14,844.3063879,defect-openwepp-zero-legacy-nonzero
p5,Corn,QOFE,1.3904892862126594e-14,844.3063879,defect-openwepp-zero-legacy-nonzero
p6,Corn,Ep,0.0,1839.74,defect-openwepp-zero-legacy-nonzero
p6,Corn,Es,4992.050969176244,2760.18,both-nonzero
p6,Corn,Er,0.0,0.0,expected-config-zero
p6,Corn,Interception,0.0,,legacy-term-unavailable
p6,Corn,Q,1.8458541986565713e-14,830.57739747,defect-openwepp-zero-legacy-nonzero
p6,Corn,QOFE,1.8458541986565713e-14,830.57739747,defect-openwepp-zero-legacy-nonzero
p7,Corn,Ep,0.0,1845.2,defect-openwepp-zero-legacy-nonzero
p7,Corn,Es,4955.597901717885,2757.7,both-nonzero
p7,Corn,Er,0.0,0.0,expected-config-zero
p7,Corn,Interception,0.0,,legacy-term-unavailable
p7,Corn,Q,2.4313233717987437e-14,768.0111629,defect-openwepp-zero-legacy-nonzero
p7,Corn,QOFE,2.4313233717987437e-14,768.0111629,defect-openwepp-zero-legacy-nonzero
p8,Corn,Ep,0.0,1830.76,defect-openwepp-zero-legacy-nonzero
p8,Corn,Es,4885.777644960282,2764.02,both-nonzero
p8,Corn,Er,0.0,0.0,expected-config-zero
p8,Corn,Interception,0.0,,legacy-term-unavailable
p8,Corn,Q,3.930232875259954e-15,760.428990777,defect-openwepp-zero-legacy-nonzero
p8,Corn,QOFE,3.930232875259954e-15,760.428990777,defect-openwepp-zero-legacy-nonzero
p9,Corn,Ep,0.0,1767.7,defect-openwepp-zero-legacy-nonzero
p9,Corn,Es,4043.875334070571,2611.86,both-nonzero
p9,Corn,Er,0.0,0.0,expected-config-zero
p9,Corn,Interception,0.0,,legacy-term-unavailable
p9,Corn,Q,1.8295911660692887e-14,619.1762847,defect-openwepp-zero-legacy-nonzero
p9,Corn,QOFE,1.8295911660692887e-14,619.1762847,defect-openwepp-zero-legacy-nonzero
p10,Corn,Ep,0.0,1818.0,defect-openwepp-zero-legacy-nonzero
p10,Corn,Es,4603.3845859373,2704.77,both-nonzero
p10,Corn,Er,0.0,0.0,expected-config-zero
p10,Corn,Interception,0.0,,legacy-term-unavailable
p10,Corn,Q,2.4313233717987437e-14,707.52643295,defect-openwepp-zero-legacy-nonzero
p10,Corn,QOFE,2.4313233717987437e-14,707.52643295,defect-openwepp-zero-legacy-nonzero
p12,Corn,Ep,0.0,1782.78,defect-openwepp-zero-legacy-nonzero
p12,Corn,Es,4381.816238668992,2672.4,both-nonzero
p12,Corn,Er,0.0,0.0,expected-config-zero
p12,Corn,Interception,0.0,,legacy-term-unavailable
p12,Corn,Q,1.4772254600114998e-14,684.70953813,defect-openwepp-zero-legacy-nonzero
p12,Corn,QOFE,1.4772254600114998e-14,684.70953813,defect-openwepp-zero-legacy-nonzero
p13,Corn,Ep,0.0,1829.57,defect-openwepp-zero-legacy-nonzero
p13,Corn,Es,4827.888122192583,2746.52,both-nonzero
p13,Corn,Er,0.0,0.0,expected-config-zero
p13,Corn,Interception,0.0,,legacy-term-unavailable
p13,Corn,Q,5.285485590866835e-15,755.0901016,defect-openwepp-zero-legacy-nonzero
p13,Corn,QOFE,5.285485590866835e-15,755.0901016,defect-openwepp-zero-legacy-nonzero
p14,Corn,Ep,0.0,1768.91,defect-openwepp-zero-legacy-nonzero
p14,Corn,Es,4117.315436451606,2624.75,both-nonzero
p14,Corn,Er,0.0,0.0,expected-config-zero
p14,Corn,Interception,0.0,,legacy-term-unavailable
p14,Corn,Q,3.211948935988307e-14,613.2841779,defect-openwepp-zero-legacy-nonzero
p14,Corn,QOFE,3.211948935988307e-14,613.2841779,defect-openwepp-zero-legacy-nonzero
p15,Corn,Ep,0.0,1819.78,defect-openwepp-zero-legacy-nonzero
p15,Corn,Es,4773.39363201982,2723.77,both-nonzero
p15,Corn,Er,0.0,0.0,expected-config-zero
p15,Corn,Interception,0.0,,legacy-term-unavailable
p15,Corn,Q,1.1953328951652686e-14,748.2024132,defect-openwepp-zero-legacy-nonzero
p15,Corn,QOFE,1.1953328951652686e-14,748.2024132,defect-openwepp-zero-legacy-nonzero
p16,Corn,Ep,0.0,1815.67,defect-openwepp-zero-legacy-nonzero
p16,Corn,Es,4575.882634891249,2698.53,both-nonzero
p16,Corn,Er,0.0,0.0,expected-config-zero
p16,Corn,Interception,0.0,,legacy-term-unavailable
p16,Corn,Q,1.3037531124138191e-14,710.91715713,defect-openwepp-zero-legacy-nonzero
p16,Corn,QOFE,1.3037531124138191e-14,710.91715713,defect-openwepp-zero-legacy-nonzero
p17,Corn,Ep,0.0,1774.57,defect-openwepp-zero-legacy-nonzero
