prefix,wepp_id,management_group
p1,1,Tah_4899
p2,2,Tah_4899
p3,3,Tah_4899
p4,4,Corn
p5,5,Corn
p6,6,Corn
p7,7,Corn
p8,8,Corn
p9,9,Corn
p10,10,Corn
p12,12,Corn
p13,13,Corn
p14,14,Corn
p15,15,Corn
p16,16,Corn
p17,17,Corn
p18,18,Corn
p19,19,Corn
p20,20,Tah_4899
p21,21,Tah_4899
p22,22,Corn
p23,23,Corn
p24,24,Corn
p25,25,Corn
p26,26,Corn
p27,27,Corn
p28,28,Corn
p29,29,Corn
p30,30,Corn
p31,31,Corn
p32,32,Tah_4899
p33,33,Corn
p34,34,Corn
p35,35,Corn
p36,36,Corn
p37,37,Corn
p38,38,Corn
p39,39,Corn
p40,40,Corn
p41,41,Corn
p42,42,Corn
p43,43,Corn
