site,years,mass_ceiling_ratio,fraction_mass_ceiling_below_one,observed_date_storage_ratio,cold_events,cold_all_phase_ratio,cold_snowfall_ratio,dry_annuals,dry_modeled_minus_observed_loss_m,fraction_dry_difference_positive,mass_signal,dry_loss_signal
Mica Creek,34,1.5393522064605736,0.0,0.5440973746819306,234,1.6595191226096733,1.4634194842399437,18,0.00494474838719127,0.6111111111111112,false,false
Niwot,44,1.1982030590431083,0.045454545454545456,0.29854543217389484,383,1.322834645669291,1.2992085423293747,34,0.03416926271088114,0.8529411764705882,false,true
Paradise,41,1.1045144356955379,0.0975609756097561,0.4161163064764024,391,1.2393700787401576,1.1104344194175073,29,0.08647852044322751,0.9310344827586207,false,true
Snowbird,35,0.8226677054060823,0.9714285714285714,0.19957763393995998,209,1.2335958005249266,1.1666268804422326,10,0.01862041009423232,0.9,true,true
