bench_strict_projection	cargo test -p openwepp-hillslope-orchestrator all_open_topology_projects_empty_canonical_v8_passes	FAIL	101	2026-08-18T05:12:50Z	2026-08-18T05:13:21Z	31385458170	null	null	null
bench_one_open_tile	cargo test --test land_surface_energy_real_hydrology_shadow_contract public_v8_endpoint_closes_an_all_open_ofe	FAIL	101	2026-08-18T05:13:21Z	2026-08-18T05:14:00Z	38710287324	null	null	null
bench_single_rank_covered	cargo test -p openwepp-land-surface-energy covered_single_rank_potential_fixed_cap_and_alternate_start_match_frozen_oracle	PASS	0	2026-08-18T05:14:00Z	2026-08-18T05:14:09Z	9553765766	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;
bench_two_rank_covered	cargo test -p openwepp-land-surface-energy covered_multirank_potential_fixed_cap_and_alternate_start_match_frozen_oracle	PASS	0	2026-08-18T05:14:09Z	2026-08-18T05:14:12Z	-1608327044597751078	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;
bench_mixed_open_covered	cargo test --test land_surface_energy_real_hydrology_shadow_contract public_v8_endpoint_closes_mixed_open_and_covered_owners_once	FAIL	101	2026-08-18T05:14:12Z	2026-08-18T05:14:21Z	1608327056108475344	null	null	null
bench_complete_public_envelope	cargo test --test land_surface_energy_real_hydrology_shadow_contract	FAIL	101	2026-08-18T05:14:21Z	2026-08-18T05:14:29Z	8216364798	null	null	null
bench_actual_byte_rollback	cargo test -p openwepp-hillslope-orchestrator every_injected_phase_preserves_all_six_actual_owner_byte_records	FAIL	101	2026-08-18T05:14:29Z	2026-08-18T05:14:39Z	9703274996	null	null	null
child4_48_intervals_replace	cargo test -p openwepp-hillslope-orchestrator forty_eight_interval_day_replaces_only_complete_shadow_state	PASS	0	2026-08-18T05:14:39Z	2026-08-18T05:15:12Z	33006609764	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;
child4_48_late_failure	cargo test -p openwepp-hillslope-orchestrator failed_late_interval_rolls_back_every_shadow_and_production_byte	PASS	0	2026-08-18T05:15:12Z	2026-08-18T05:15:16Z	4415533765	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;
child4_48_half_day_restart	cargo test -p openwepp-hillslope-orchestrator retained_half_day_restart_is_byte_identical_to_uninterrupted_day	PASS	0	2026-08-18T05:15:16Z	2026-08-18T05:15:24Z	8121750736	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;
child4_48_explicit_scheduler_equivalence	cargo test -p openwepp-hillslope-orchestrator explicit_scheduler_consumer_advances_shadow_without_changing_production	PASS	0	2026-08-18T05:15:24Z	2026-08-18T05:15:29Z	4315864124	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;
child4_48_downstream_failure_rollback	cargo test -p openwepp-hillslope-orchestrator downstream_scheduler_failure_discards_production_and_complete_shadow_candidate	PASS	0	2026-08-18T05:15:29Z	2026-08-18T05:15:33Z	4024248509	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;	test result: ok. 1 passed; 0 failed; 0 ignored;
