lane_id,role,response,units,status,B,L,S,LS,longwave_main,sublimation_main,combined,interaction
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,mean_swe_m,m,AVAILABLE,0.09569593004067213,0.09569593004067213,0.09020614494521316,0.09129407364449002,0.0,-0.005489785095458971,-0.0044018563961821106,0.0010879286992768605
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,peak_swe_m,m,AVAILABLE,1.021347605467768,1.021347605467768,0.9811992792064678,0.9867091804378585,0.0,-0.04014832626130016,-0.034638425029909437,0.005509901231390835
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.2509885138122195,0.2509885138122195,0.23560777996735724,0.23848231244061108,0.0,-0.015380733844862243,-0.012506201371608405,0.002874532473253838
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,total_sublimation_m,m,AVAILABLE,0.0,0.0,0.6257050539809874,0.45915674117802596,0.0,0.6257050539809874,0.45915674117802596,-0.16654831280296145
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,AVAILABLE,24.661804718278262,24.661804718278262,23.905023997770385,24.081359907526995,0.0,-0.7567807205078765,-0.580444810751267,0.1763359097566095
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,total_refreeze_m,m,AVAILABLE,0.02807934103653404,0.5161549858269748,0.6787748042637108,0.6801036020384021,0.4880756447904408,0.6506954632271768,0.652024261001868,-0.4867468470157495
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,AVAILABLE,195.0,195.0,194.0,194.0,0.0,-1.0,-1.0,0.0
snotel_mica_creek_st_joe_id,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,129.0,129.0,127.0,127.5,0.0,-2.0,-1.5,0.5
snotel_paradise_wa,INDEPENDENT_VALIDATION,mean_swe_m,m,AVAILABLE,0.3624828877245203,0.3624828877245203,0.347027672471268,0.348638709924219,0.0,-0.01545521525325233,-0.013844177800301283,0.0016110374529510474
snotel_paradise_wa,INDEPENDENT_VALIDATION,peak_swe_m,m,AVAILABLE,2.253408391562869,2.253408391562869,2.1876476184975084,2.192732084930666,0.0,-0.06576077306536066,-0.060676306632203136,0.0050844664331575196
snotel_paradise_wa,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.8736835458214097,0.8736835458214097,0.8321849989269025,0.8360718835799218,0.0,-0.04149854689450727,-0.03761166224148793,0.00388688465301934
snotel_paradise_wa,INDEPENDENT_VALIDATION,total_sublimation_m,m,AVAILABLE,0.0,0.0,0.9611033629323065,0.7681327383852654,0.0,0.9611033629323065,0.7681327383852654,-0.19297062454704106
snotel_paradise_wa,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,AVAILABLE,72.45995666188261,72.45995666188261,70.91814027074575,71.11225293042001,0.0,-1.5418163911368623,-1.3477037314626017,0.1941126596742606
snotel_paradise_wa,INDEPENDENT_VALIDATION,total_refreeze_m,m,AVAILABLE,0.173424379742778,1.617820061778956,1.7657496762222173,2.1397050652813205,1.444395682036178,1.5923252964794394,1.9662806855385426,-1.0704402929770749
snotel_paradise_wa,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,AVAILABLE,248.0,248.0,247.0,247.0,0.0,-1.0,-1.0,0.0
snotel_paradise_wa,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,156.0,156.0,154.0,154.5,0.0,-2.0,-1.5,0.5
snotel_css_lab_ca,INDEPENDENT_VALIDATION,mean_swe_m,m,AVAILABLE,0.11885571248045336,0.11885571248045336,0.11335314993720993,0.11385858468771257,0.0,-0.005502562543243425,-0.004997127792740794,0.0005054347505026313
snotel_css_lab_ca,INDEPENDENT_VALIDATION,peak_swe_m,m,AVAILABLE,1.2314413776278104,1.2314413776278104,1.189261017564039,1.1926874169008501,0.0,-0.04218036006377135,-0.038753960726960246,0.0034263993368111034
snotel_css_lab_ca,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.30169729776722937,0.30169729776722937,0.2869128925688912,0.28816047200029266,0.0,-0.01478440519833818,-0.013536825766936711,0.0012475794314014688
snotel_css_lab_ca,INDEPENDENT_VALIDATION,total_sublimation_m,m,AVAILABLE,0.0,0.0,0.6866846253552737,0.5789201080180875,0.0,0.6866846253552737,0.5789201080180875,-0.10776451733718628
snotel_css_lab_ca,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,AVAILABLE,43.86053147559688,43.86053147559688,42.97115803474669,43.07805610777773,0.0,-0.8893734408501857,-0.7824753678191456,0.10689807303104004
