% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 73.49    1.923600        3941       488        14 wait4
  5.87    0.153546           1    101789      6680 newfstatat
  5.10    0.133452         224       595         2 futex
  3.53    0.092358           1     84600           pread64
  1.84    0.048173           0     57627         4 close
  1.82    0.047551           1     26585           getdents64
  1.72    0.044932           0     49966           openat2
  1.40    0.036532           0     50169           fstat
  1.12    0.029317           1     26403         2 read
  0.69    0.017930         338        53        33 execve
  0.67    0.017593           1      9299      1134 openat
  0.67    0.017563           0     25453           write
  0.58    0.015225           0     28379         2 fcntl
  0.48    0.012554          27       456         1 clock_nanosleep
  0.41    0.010755          22       481           madvise
  0.14    0.003620           3      1095           mmap
  0.12    0.003140           0      3442       479 statx
  0.06    0.001538           0      2130           mprotect
  0.05    0.001181           0      1318           readlinkat
  0.03    0.000906          13        69           munmap
  0.03    0.000734          43        17           clone
  0.03    0.000701           2       318           rt_sigprocmask
  0.02    0.000584           0      1187           poll
  0.02    0.000528          25        21           clone3
  0.01    0.000372           1       260           brk
  0.01    0.000335           8        39           rseq
  0.01    0.000271           1       242           lseek
  0.01    0.000270           2       102        98 mkdir
  0.01    0.000237           0       297        43 access
  0.01    0.000202           0       244           rt_sigaction
  0.01    0.000179           3        54         8 prctl
  0.01    0.000156           0       159           getcwd
  0.00    0.000130           2        56           set_robust_list
  0.00    0.000115           6        18           sendfile
  0.00    0.000081          40         2           sendto
  0.00    0.000077           1        44           prlimit64
  0.00    0.000075           3        24           unlinkat
  0.00    0.000059           2        29        26 ioctl
  0.00    0.000055          11         5           recvmsg
  0.00    0.000047          47         1           fsync
  0.00    0.000046           0        52           pwrite64
  0.00    0.000043           2        19           dup2
  0.00    0.000042           1        29           getrandom
  0.00    0.000035           1        20           arch_prctl
  0.00    0.000033           1        25           getgid
  0.00    0.000029           0        34           getuid
  0.00    0.000029           1        20           set_tid_address
  0.00    0.000028           1        17        14 readlink
  0.00    0.000028           0        48           geteuid
  0.00    0.000028           1        18           sigaltstack
  0.00    0.000026           1        15         1 rt_sigreturn
  0.00    0.000026           1        25           getegid
  0.00    0.000024           2        10           fchmod
  0.00    0.000022           1        15         4 statfs
  0.00    0.000020           0        48        25 unlink
  0.00    0.000017           8         2           open
  0.00    0.000017           0        65           getpid
  0.00    0.000016           0        17           linkat
  0.00    0.000015           1         8           sched_getaffinity
  0.00    0.000013           3         4           socket
  0.00    0.000013           0        19           chdir
  0.00    0.000012          12         1           socketpair
  0.00    0.000011           1        10           pipe2
  0.00    0.000011           1         9         9 copy_file_range
  0.00    0.000009           0        23           flock
  0.00    0.000009           4         2           sysinfo
  0.00    0.000009           3         3           getpgrp
  0.00    0.000008           1         6           gettid
  0.00    0.000007           7         1           connect
  0.00    0.000007           1         7           getppid
  0.00    0.000006           6         1           recvfrom
  0.00    0.000006           1         5           uname
  0.00    0.000004           0         6           umask
  0.00    0.000004           4         1           setpgid
  0.00    0.000004           2         2           getgroups
  0.00    0.000003           1         2         2 fadvise64
  0.00    0.000002           0         4           dup
  0.00    0.000002           2         1           bind
  0.00    0.000001           1         1           getsockname
  0.00    0.000001           0         2           getresuid
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           fdatasync
  0.00    0.000000           0         4           ftruncate
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         2           personality
  0.00    0.000000           0         1           fstatfs
  0.00    0.000000           0         1           fchmodat
  0.00    0.000000           0         2           eventfd2
  0.00    0.000000           0         1           faccessat2
------ ----------- ----------- --------- --------- ------------------
100.00    2.617340           5    474128      8581 total
