% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 73.39    1.754711        3581       490        14 wait4
  5.91    0.141293           1    101789      6680 newfstatat
  5.19    0.124034         210       589         2 futex
  3.49    0.083515           0     84606           pread64
  1.88    0.044901           0     57627         4 close
  1.83    0.043693           1     26585           getdents64
  1.76    0.042200           0     49966           openat2
  1.44    0.034374           0     50169           fstat
  1.18    0.028146           1     26402         2 read
  0.74    0.017800         335        53        33 execve
  0.71    0.017040           0     25450           write
  0.63    0.015050           1      9299      1134 openat
  0.62    0.014808           0     28379         2 fcntl
  0.32    0.007536          16       454           madvise
  0.29    0.006884          15       458         1 clock_nanosleep
  0.14    0.003342           0      3442       479 statx
  0.13    0.003140           2      1095           mmap
  0.05    0.001261           0      2045           mprotect
  0.05    0.001242           0      1318           readlinkat
  0.03    0.000826          11        69           munmap
  0.02    0.000521           0      1187           poll
  0.02    0.000474           1       318           rt_sigprocmask
  0.02    0.000402          19        21           clone3
  0.01    0.000354          20        17           clone
  0.01    0.000301           1       242           lseek
  0.01    0.000266           1       260           brk
  0.01    0.000257           0       297        43 access
  0.01    0.000253          10        24           unlinkat
  0.01    0.000251           6        39           rseq
  0.01    0.000216          12        18           sendfile
  0.01    0.000199           1       102        98 mkdir
  0.01    0.000161           3        48        25 unlink
  0.01    0.000148         148         1           fdatasync
  0.01    0.000146           2        54         8 prctl
  0.01    0.000129           0       244           rt_sigaction
  0.00    0.000110           0       159           getcwd
  0.00    0.000109           2        52           pwrite64
  0.00    0.000105           1        56           set_robust_list
  0.00    0.000066          33         2           sendto
  0.00    0.000065           3        17           linkat
  0.00    0.000057           1        30           getrandom
  0.00    0.000050           1        44           prlimit64
  0.00    0.000043           8         5           recvmsg
  0.00    0.000037           3        10           fchmod
  0.00    0.000033           0        48           geteuid
  0.00    0.000032           1        17        14 readlink
  0.00    0.000030           1        29        26 ioctl
  0.00    0.000028           1        19           dup2
  0.00    0.000028          28         1           fsync
  0.00    0.000026           1        18           sigaltstack
  0.00    0.000024           1        20           set_tid_address
  0.00    0.000022           0        65           getpid
  0.00    0.000022           0        34           getuid
  0.00    0.000022           1        20           arch_prctl
  0.00    0.000022          22         1           fchmodat
  0.00    0.000020           0        25           getegid
  0.00    0.000019           2         9         9 copy_file_range
  0.00    0.000017           0        25           getgid
  0.00    0.000017           2         8           sched_getaffinity
  0.00    0.000016           1        15         1 rt_sigreturn
  0.00    0.000016           8         2           getgroups
  0.00    0.000015           0        23           flock
  0.00    0.000014           7         2           open
  0.00    0.000013           3         4           ftruncate
  0.00    0.000011           1        10           pipe2
  0.00    0.000007           1         6           gettid
  0.00    0.000006           1         4           socket
  0.00    0.000006           1         5           uname
  0.00    0.000005           0        19           chdir
  0.00    0.000005           0         7           getppid
  0.00    0.000004           0        15         4 statfs
  0.00    0.000003           0         6           umask
  0.00    0.000003           1         3           getpgrp
  0.00    0.000002           0         4           dup
  0.00    0.000002           2         1           bind
  0.00    0.000002           1         2           sysinfo
  0.00    0.000002           1         2           personality
  0.00    0.000002           1         2         2 fadvise64
  0.00    0.000001           1         1           mremap
  0.00    0.000001           1         1           getsockname
  0.00    0.000001           0         2           getresuid
  0.00    0.000001           0         2           getresgid
  0.00    0.000001           1         1           faccessat2
  0.00    0.000000           0         1           connect
  0.00    0.000000           0         1           recvfrom
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           setpgid
  0.00    0.000000           0         1           fstatfs
  0.00    0.000000           0         2           eventfd2
------ ----------- ----------- --------- --------- ------------------
100.00    2.391017           5    474017      8581 total
