command_id,timestamp_utc,stage,command,working_directory,exit_code,evidence_path,notes
CMD-001,2026-07-26T23:00:00Z,INTAKE,tools/agents/find-agents --for docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/package.md,/home/workdir/openWEPP,0,artifacts/required-reading-map.md,Applicable chain root plus work-packages
CMD-002,2026-07-26T23:00:00Z,INTAKE,sha256sum -c SHA256SUMS,/home/workdir/openWEPP/references/canopy_phenology/authority_admission,0,artifacts/gate-evidence.md,All 20 authority objects passed
CMD-003,2026-07-26T23:00:00Z,INTAKE,sha256sum -c SHA256SUMS,/home/workdir/openWEPP/tests/fixtures/cancov_forest/observations/canopy_phenology,0,artifacts/gate-evidence.md,All four corpus objects passed
CMD-004,2026-07-26T23:00:00Z,INTAKE,".venv/bin/python docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/tools/extract_authority.py references/canopy_phenology/authority_admission/hubbard_brook_edi/HBEF_pheno_1989-2025.csv references/canopy_phenology/authority_admission/harvard_forest_hf003/hf003-spring-individual-dates.csv references/canopy_phenology/authority_admission/harvard_forest_hf003/hf003-fall-individual-dates.csv /tmp/cal04-timing-windows-rebuild.csv",/home/workdir/openWEPP,1,artifacts/gate-evidence.md,Retained invocation error: summarized date files do not implement extractor raw-row schema; no repository artifact changed
CMD-005,2026-07-26T23:00:00Z,INTAKE,".venv/bin/python docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/tools/extract_authority.py references/canopy_phenology/authority_admission/hubbard_brook_edi/HBEF_pheno_1989-2025.csv references/canopy_phenology/authority_admission/harvard_forest_hf003/hf003-spring-raw.csv references/canopy_phenology/authority_admission/harvard_forest_hf003/hf003-fall-raw.csv /tmp/cal04-timing-windows-rebuild.csv",/home/workdir/openWEPP,0,artifacts/gate-evidence.md,Wrote 1251 rows
CMD-006,2026-07-26T23:00:00Z,INTAKE,cmp /tmp/cal04-timing-windows-rebuild.csv docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/artifacts/cal04-timing-windows.csv,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,Byte-identical rebuild
CMD-007,2026-07-26T23:00:00Z,INTAKE,"sha256sum docs/specifications/science-contracts/contracts/SC-PLANT-001.md docs/specifications/science-contracts/contracts/SC-INFILE-MANAGEMENT-YAML-001.md docs/work-packages/20260726-canopy-cal-03-observation-native-research-001/artifacts/pre-calibration-protocol.md docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/artifacts/cal04-partition-and-objective.md docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/artifacts/cal04-prior-disposition.md docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/artifacts/cal04-timing-windows.csv docs/work-packages/20260726-canopy-cal-04-05-authority-evidence-admission-001/tools/extract_authority.py tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.native.run.toml tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.man.yaml tests/fixtures/cancov_forest/harvard_deciduous_ma/p6.native.run.toml tests/fixtures/cancov_forest/harvard_deciduous_ma/p6.man.yaml references/canopy_phenology/authority_admission/SHA256SUMS tests/fixtures/cancov_forest/observations/canopy_phenology/SHA256SUMS target/release/openwepp-cli-hill",/home/workdir/openWEPP,0,artifacts/input-and-authority-manifest.csv,Exact identities retained
CMD-008,2026-07-27T00:55:28Z,CLOSURE,.venv/bin/python docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/tools/validate_hold.py,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,"0 candidates failures ensemble and holdout rows; 7 held stages; 12 operands"
CMD-009,2026-07-27T00:55:28Z,CLOSURE,.venv/bin/python docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/tools/validate_roles.py,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,932 Hubbard calibration and 319 Harvard holdout; disjoint; Harvard fall 1992 absent
CMD-010,2026-07-27T00:55:28Z,CLOSURE,markdown-doc lint --path docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,17 Markdown files; zero errors and warnings
CMD-011,2026-07-27T00:55:28Z,CLOSURE,git diff --check,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,No diff hygiene errors
CMD-012,2026-07-27T00:55:28Z,CLOSURE,.venv/bin/python docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/tools/validate_write_set.py,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,All visible status paths inside declared write set
CMD-013,2026-07-27T00:55:28Z,CLOSURE,"test -z ""$(find docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/prompts/active -type f -print)"" && test -f docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/prompts/archived/kickoff.md",/home/workdir/openWEPP,0,artifacts/gate-evidence.md,Active empty and kickoff archived
CMD-014,2026-07-27T01:20:00Z,POST_VERIFICATION,.venv/bin/python docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/tools/validate_hold.py,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,Post-verification empty-ledger stage inventory and embargo reconciliation passed
CMD-015,2026-07-27T01:20:00Z,POST_VERIFICATION,.venv/bin/python docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/tools/validate_roles.py && .venv/bin/python docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/tools/validate_write_set.py,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,Post-verification roles and exact write set passed
CMD-016,2026-07-27T01:20:00Z,POST_VERIFICATION,markdown-doc lint --path docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001,/home/workdir/openWEPP,0,artifacts/gate-evidence.md,Post-verification package Markdown passed
CMD-017,2026-07-27T01:20:00Z,POST_VERIFICATION,"git diff --check && test -z ""$(find docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/prompts/active -type f -print)"" && test -f docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/prompts/archived/kickoff.md",/home/workdir/openWEPP,0,artifacts/gate-evidence.md,Post-verification diff hygiene and prompt state passed
CMD-018,2026-07-27T01:20:00Z,POST_VERIFICATION,.venv/bin/python docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/tools/validate_terminal_hashes.py,/home/workdir/openWEPP,0,artifacts/terminal-artifact-hashes.csv,Terminal scientific ledgers tools reviews and verifications checksum-bound
