year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2024,rising,10-02,10-15,11-07,276,289,312
2024,falling,07-04,06-22,05-16,186,174,137
2025,rising,09-28,10-18,11-07,271,291,311
2025,falling,06-15,06-01,04-29,166,152,119
2026,falling,05-07,04-27,04-10,127,117,100
