year,archive,contact,project,type,size,lat,long,obs.exp,treatment,treat.year,tract,site,plot,nbasket,bask.area,foliar.gcm2,nonfoliar.gcm2,total.gcm2,notes
1994,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,158.05,NA,NA,9 baskets averaged
1994,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,173.95,NA,NA,9 baskets averaged
1994,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,169.7,NA,NA,9 baskets averaged
1994,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,193.7,NA,NA,9 baskets averaged
1995,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,221.25,NA,NA,9 baskets averaged
1995,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,273.35,NA,NA,9 baskets averaged
1995,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,285.6,NA,NA,9 baskets averaged
1995,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,307.1,NA,NA,9 baskets averaged
1995,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,157.5,NA,NA,9 baskets averaged
1995,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,176.5,NA,NA,9 baskets averaged
1995,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,7,0.2345,198,NA,NA,7 baskets averaged
1995,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,196.3,NA,NA,9 baskets averaged
1996,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,113.65,NA,NA,9 baskets averaged
1996,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,145.55,NA,NA,9 baskets averaged
1996,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,154.6,NA,NA,9 baskets averaged
1996,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,164.1,NA,NA,9 baskets averaged
1996,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,155.05,NA,NA,9 baskets averaged
1996,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,150.9,NA,NA,9 baskets averaged
1996,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,190.5,NA,NA,9 baskets averaged
1996,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,139.1,NA,NA,9 baskets averaged
1997,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,176.1,NA,NA,9 baskets averaged
1997,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,217.8,NA,NA,9 baskets averaged
1997,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,223.95,NA,NA,9 baskets averaged
1997,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,8,0.2345,202.15,NA,NA,8 baskets averaged
1997,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,148.9,NA,NA,9 baskets averaged
1997,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,6,0.2345,152.95,NA,NA,6 baskets averaged
1997,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,8,0.2345,159.25,NA,NA,8 baskets averaged
1997,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,135.25,NA,NA,9 baskets averaged
1998,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,169.65,NA,NA,9 baskets averaged
1998,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,196.5,NA,NA,9 baskets averaged
1998,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,209.75,NA,NA,9 baskets averaged
1998,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,171.5,NA,NA,9 baskets averaged
