year,month,day,doy,project,archive,contact,lat,long,plot,site,type,obs.exp,treatment,treat.year,tract,species,sample,sublot.replicate,horizon,depth,soil.mass,bulk.density,rock.volume,per.om,n,per.c,per.c.se,per.n,per.n.se,c.mass,c.mass.rocks,use.not,notes
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,12,ems_snow_removal,hardwood,exp,snow_removal,2010,PH,DECD,226,1,organic,5.3,7.8,NA,0,NA,1,36.28,NA,1.542,NA,2.83,2.829707871,0,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,12,ems_snow_removal,hardwood,exp,snow_removal,2010,PH,DECD,227,2,organic,5.3,14.272,NA,0,NA,1,28.795,NA,1.035,NA,4.11,4.109587907,0,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,12,ems_snow_removal,hardwood,exp,snow_removal,2010,PH,DECD,228,3,organic,5.3,9.448,NA,0,NA,1,49.762,NA,1.903,NA,4.702,4.701559669,0,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,13,ems_snow_removal,hardwood,exp,control,2010,PH,DECD,229,1,organic,4.7,13.234,NA,0,NA,1,26.387,NA,1.116,NA,3.492,3.491998,1,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,13,ems_snow_removal,hardwood,exp,control,2010,PH,DECD,230,2,organic,4.7,17.289,NA,0,NA,1,20.831,NA,0.853,NA,3.601,3.601377448,1,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,13,ems_snow_removal,hardwood,exp,control,2010,PH,DECD,231,3,organic,4.7,11.173,NA,0,NA,1,25.778,NA,1.024,NA,2.88,2.880238362,1,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,14,ems_snow_removal,hardwood,exp,snow_removal,2010,PH,DECD,232,1,organic,6.6,9.036,NA,0,NA,1,41.038,NA,1.523,NA,3.708,3.708387014,0,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,14,ems_snow_removal,hardwood,exp,snow_removal,2010,PH,DECD,233,2,organic,6.6,7.252,NA,0,NA,1,40.664,NA,1.554,NA,2.949,2.949048894,0,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,14,ems_snow_removal,hardwood,exp,snow_removal,2010,PH,DECD,234,3,organic,6.6,8.78,NA,0,NA,1,48.419,NA,1.913,NA,4.251,4.251463295,0,
2012,5,23,144,snow_removal,unpublished,sorensen,42.54,-72.18,15,ems_snow_removal,hardwood,exp,control,2010,PH,DECD,235,1,organic,5.416666667,10.199,NA,0,NA,1,35.484,NA,1.479,NA,3.619,3.618989347,1,
