arm_id,site,day,month,year,precipitation_mm,runoff_mm,sediment_delivery_kg_m
hubbard_hardwood_095,HUBBARD_BROOK,9,8,44,126.0,75.1,2.8
hubbard_hardwood_095,HUBBARD_BROOK,10,8,44,57.3,7.5,0.0
hubbard_hardwood_095,HUBBARD_BROOK,24,8,45,115.6,10.0,0.0
hubbard_hardwood_095,HUBBARD_BROOK,13,8,47,171.1,44.6,0.0
hubbard_hardwood_095,HUBBARD_BROOK,15,8,47,96.4,8.4,0.0
hubbard_hardwood_095,HUBBARD_BROOK,24,6,56,174.3,50.9,2.3
hubbard_hardwood_095,HUBBARD_BROOK,4,5,59,110.7,100.8,0.0
hubbard_hardwood_095,HUBBARD_BROOK,5,5,59,51.6,39.2,0.0
hubbard_hardwood_095,HUBBARD_BROOK,10,7,62,48.3,0.0,0.0
hubbard_hardwood_095,HUBBARD_BROOK,7,5,63,0.0,5.9,0.0
hubbard_hardwood_095,HUBBARD_BROOK,9,5,68,0.0,1.0,0.0
hubbard_hardwood_095,HUBBARD_BROOK,10,5,68,0.0,9.1,0.0
hubbard_hardwood_095,HUBBARD_BROOK,12,10,68,79.5,24.7,0.0
hubbard_hardwood_095,HUBBARD_BROOK,13,10,68,89.1,83.2,0.0
hubbard_hardwood_095,HUBBARD_BROOK,22,9,69,97.3,11.5,0.3
hubbard_hardwood_095,HUBBARD_BROOK,10,10,70,228.8,21.3,0.0
hubbard_hardwood_095,HUBBARD_BROOK,3,5,71,0.0,12.6,0.0
hubbard_hardwood_095,HUBBARD_BROOK,19,8,76,143.0,25.9,0.0
hubbard_hardwood_095,HUBBARD_BROOK,22,8,76,130.6,20.8,0.0
hubbard_hardwood_095,HUBBARD_BROOK,15,4,80,150.5,64.7,0.0
hubbard_hardwood_095,HUBBARD_BROOK,9,10,84,115.7,0.3,0.0
hubbard_hardwood_095,HUBBARD_BROOK,14,10,85,169.0,46.5,0.0
hubbard_hardwood_095,HUBBARD_BROOK,8,5,87,31.1,24.5,0.0
hubbard_hardwood_095,HUBBARD_BROOK,2,10,90,195.8,87.3,0.0
hubbard_hardwood_095,HUBBARD_BROOK,20,10,92,109.5,30.2,0.0
hubbard_hardwood_092,HUBBARD_BROOK,26,3,5,0.3,23.1,0.0
hubbard_hardwood_092,HUBBARD_BROOK,30,9,10,63.6,0.2,0.0
hubbard_hardwood_092,HUBBARD_BROOK,29,8,12,79.7,4.1,0.1
hubbard_hardwood_092,HUBBARD_BROOK,11,10,12,112.8,1.6,0.0
hubbard_hardwood_092,HUBBARD_BROOK,28,4,21,44.2,4.6,0.0
hubbard_hardwood_092,HUBBARD_BROOK,30,6,21,81.5,20.3,0.4
hubbard_hardwood_092,HUBBARD_BROOK,4,4,23,96.7,20.4,0.0
hubbard_hardwood_092,HUBBARD_BROOK,2,9,23,84.3,13.0,0.0
hubbard_hardwood_092,HUBBARD_BROOK,20,10,23,114.8,2.7,0.0
hubbard_hardwood_092,HUBBARD_BROOK,8,7,28,70.5,0.0,0.0
hubbard_hardwood_092,HUBBARD_BROOK,27,4,30,1.7,12.8,0.0
hubbard_hardwood_092,HUBBARD_BROOK,17,8,30,77.9,8.5,0.3
hubbard_hardwood_092,HUBBARD_BROOK,1,5,31,0.0,12.6,0.0
hubbard_hardwood_092,HUBBARD_BROOK,2,5,31,0.0,8.1,0.0
hubbard_hardwood_092,HUBBARD_BROOK,15,6,32,63.8,0.0,0.0
hubbard_hardwood_092,HUBBARD_BROOK,6,10,34,132.9,51.0,2.2
hubbard_hardwood_092,HUBBARD_BROOK,9,4,36,96.3,33.3,0.0
hubbard_hardwood_092,HUBBARD_BROOK,10,4,36,89.7,71.2,0.0
hubbard_hardwood_092,HUBBARD_BROOK,7,9,38,129.1,18.1,0.0
hubbard_hardwood_092,HUBBARD_BROOK,10,9,38,130.4,21.6,0.0
hubbard_hardwood_092,HUBBARD_BROOK,16,10,40,180.1,53.2,0.0
hubbard_hardwood_092,HUBBARD_BROOK,8,8,44,139.4,21.3,1.1
hubbard_hardwood_092,HUBBARD_BROOK,9,8,44,126.0,75.1,2.8
hubbard_hardwood_092,HUBBARD_BROOK,10,8,44,57.3,7.5,0.0
hubbard_hardwood_092,HUBBARD_BROOK,24,8,45,115.6,10.0,0.0
hubbard_hardwood_092,HUBBARD_BROOK,13,8,47,171.1,44.6,0.0
hubbard_hardwood_092,HUBBARD_BROOK,15,8,47,96.4,8.3,0.0
hubbard_hardwood_092,HUBBARD_BROOK,24,6,56,174.3,50.9,2.3
hubbard_hardwood_092,HUBBARD_BROOK,4,5,59,110.7,100.8,0.0
hubbard_hardwood_092,HUBBARD_BROOK,5,5,59,51.6,39.2,0.0
hubbard_hardwood_092,HUBBARD_BROOK,10,7,62,48.3,0.0,0.0
hubbard_hardwood_092,HUBBARD_BROOK,7,5,63,0.0,5.9,0.0
hubbard_hardwood_092,HUBBARD_BROOK,9,5,68,0.0,2.3,0.0
hubbard_hardwood_092,HUBBARD_BROOK,10,5,68,0.0,9.1,0.0
hubbard_hardwood_092,HUBBARD_BROOK,14,5,68,0.0,0.0,0.0
hubbard_hardwood_092,HUBBARD_BROOK,12,10,68,79.5,24.8,0.0
hubbard_hardwood_092,HUBBARD_BROOK,13,10,68,89.1,83.2,0.0
hubbard_hardwood_092,HUBBARD_BROOK,22,9,69,97.3,11.5,0.3
hubbard_hardwood_092,HUBBARD_BROOK,10,10,70,228.8,21.3,0.0
hubbard_hardwood_092,HUBBARD_BROOK,3,5,71,0.0,12.6,0.0
hubbard_hardwood_092,HUBBARD_BROOK,19,8,76,143.0,25.9,0.0
hubbard_hardwood_092,HUBBARD_BROOK,22,8,76,130.6,20.8,0.0
hubbard_hardwood_092,HUBBARD_BROOK,15,4,80,150.5,64.7,0.0
hubbard_hardwood_092,HUBBARD_BROOK,9,10,84,115.7,0.3,0.0
hubbard_hardwood_092,HUBBARD_BROOK,14,10,85,169.0,46.5,0.0
hubbard_hardwood_092,HUBBARD_BROOK,8,5,87,31.1,24.6,0.0
hubbard_hardwood_092,HUBBARD_BROOK,2,10,90,195.8,87.3,0.0
hubbard_hardwood_092,HUBBARD_BROOK,20,10,92,109.5,30.2,0.0
santee_constant,SANTEE,20,9,1,61.1,3.1,0.0
santee_constant,SANTEE,1,1,2,74.7,34.0,0.0
santee_constant,SANTEE,12,1,2,45.4,2.5,0.0
santee_constant,SANTEE,23,6,2,47.5,4.3,0.0
santee_constant,SANTEE,23,7,2,64.0,9.9,0.0
santee_constant,SANTEE,15,8,2,52.5,0.1,0.0
santee_constant,SANTEE,13,9,3,102.8,55.0,0.0
santee_constant,SANTEE,27,10,3,65.1,21.3,0.0
santee_constant,SANTEE,25,11,3,46.2,4.3,0.0
santee_constant,SANTEE,26,11,3,55.5,34.2,0.0
santee_constant,SANTEE,12,8,4,65.2,16.9,0.0
santee_constant,SANTEE,15,8,4,106.5,55.9,0.0
santee_constant,SANTEE,30,5,5,51.5,7.0,0.0
santee_constant,SANTEE,18,6,5,69.2,18.1,0.0
santee_constant,SANTEE,1,8,6,49.8,11.7,0.0
santee_constant,SANTEE,1,9,6,93.2,60.2,0.0
santee_constant,SANTEE,13,9,6,182.1,116.1,0.0
santee_constant,SANTEE,22,10,6,57.8,8.0,0.0
santee_constant,SANTEE,1,4,7,44.5,1.9,0.0
santee_constant,SANTEE,18,6,7,64.8,10.4,0.0
santee_constant,SANTEE,25,8,7,51.0,1.7,0.0
santee_constant,SANTEE,31,10,7,71.3,26.9,0.0
santee_constant,SANTEE,24,5,8,68.4,11.2,0.0
santee_constant,SANTEE,21,9,8,98.8,44.8,0.0
santee_constant,SANTEE,17,10,8,75.5,34.8,0.0
santee_constant,SANTEE,11,1,9,59.5,14.6,0.0
santee_constant,SANTEE,2,2,9,61.5,6.8,0.0
santee_constant,SANTEE,6,8,9,59.6,6.9,0.0
santee_constant,SANTEE,7,8,9,69.9,47.6,0.0
santee_constant,SANTEE,14,8,9,115.2,56.9,0.0
santee_constant,SANTEE,5,4,10,52.6,15.8,0.0
santee_constant,SANTEE,30,7,10,102.0,77.7,0.0
santee_constant,SANTEE,31,7,10,38.4,16.8,0.0
santee_constant,SANTEE,8,8,10,62.2,12.2,0.0
santee_constant,SANTEE,29,8,10,45.7,10.4,0.0
santee_constant,SANTEE,3,10,10,70.0,30.1,0.0
santee_constant,SANTEE,29,1,11,48.7,5.2,0.0
santee_constant,SANTEE,17,5,11,79.8,19.0,0.0
santee_constant,SANTEE,22,5,11,52.9,0.5,0.0
santee_constant,SANTEE,28,6,11,64.7,8.8,0.0
santee_constant,SANTEE,1,7,11,48.0,14.7,0.0
santee_constant,SANTEE,4,2,12,96.9,50.8,0.0
santee_constant,SANTEE,6,2,12,64.3,25.4,0.0
santee_constant,SANTEE,27,7,12,52.4,0.8,0.0
santee_constant,SANTEE,26,8,12,53.1,17.1,0.0
santee_constant,SANTEE,10,7,13,47.4,0.1,0.0
